ProcessID	Phylum	CarrierMAGs	MeanRecoveredMAGAbundance	Element	Process
cbb	Chloroflexota	14	0.018623194	Carbon	Calvin-Benson-Bassham fixation
cbb	Cyanobacteriota	99	0.10106686200000001	Carbon	Calvin-Benson-Bassham fixation
cbb	Deinococcota	3	0.005717155999999999	Carbon	Calvin-Benson-Bassham fixation
cbb	Pseudomonadota	16	0.027035100000000003	Carbon	Calvin-Benson-Bassham fixation
cbb	Thermodesulfobiota	1	0.00021471800000000003	Carbon	Calvin-Benson-Bassham fixation
cbb	Zhuqueibacterota	1	0.00076498	Carbon	Calvin-Benson-Bassham fixation
rtca	Aquificota	5	0.0037624860000000006	Carbon	Reverse TCA fixation
rtca	Nitrospirota	2	0.00174829	Carbon	Reverse TCA fixation
wood_ljungdahl	Bipolaricaulota	5	0.016953745999999995	Carbon	Wood-Ljungdahl fixation
wood_ljungdahl	CALINM01	1	0.0006203920000000001	Carbon	Wood-Ljungdahl fixation
wood_ljungdahl	Chloroflexota	5	0.026146192	Carbon	Wood-Ljungdahl fixation
wood_ljungdahl	Desulfobacterota	4	0.003363638	Carbon	Wood-Ljungdahl fixation
wood_ljungdahl	Nitrospirota	8	0.009615378	Carbon	Wood-Ljungdahl fixation
three_hp	Chloroflexota	30	0.05620660399999999	Carbon	3-hydroxypropionate bicycle
mcr	Halobacteriota	1	0.0009692280000000001	Carbon	Methyl-coenzyme M reductase
cummo	Nitrospirota	1	0.0008201759999999999	Carbon/Nitrogen	Copper membrane monooxygenase
cummo	Thermoproteota	9	0.005449378	Carbon/Nitrogen	Copper membrane monooxygenase
n_fix	Chloroflexota	20	0.03936950399999999	Nitrogen	Nitrogen fixation
n_fix	Cyanobacteriota	32	0.033601366	Nitrogen	Nitrogen fixation
n_fix	Nitrospirota	7	0.009025578000000001	Nitrogen	Nitrogen fixation
n_fix	Pseudomonadota	6	0.008485696	Nitrogen	Nitrogen fixation
n_fix	Zhuqueibacterota	1	0.0013107559999999995	Nitrogen	Nitrogen fixation
nitrate_to_nitrite	Acidobacteriota	1	0.00025065	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Bacteroidota_A	1	0.004245242000000002	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Chloroflexota	2	0.0034062780000000004	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Deinococcota	4	0.013446235999999999	Nitrogen	Respiratory nitrate reduction
nitrate_to_nitrite	Planctomycetota	1	0.0008596140000000002	Nitrogen	Respiratory nitrate reduction
