hotspring	Samples	MedianRecruitment	Q25Recruitment	Q75Recruitment	MedianTemperature	MedianpH
AA01	22	0.115485	0.1014025	0.12394250000000001	51.7	8.23
AA03	24	0.119065	0.09957375	0.15084875	58.65	8.49
AB02	8	0.0828125	0.066585	0.08793	68.5	6.925000000000001
AB03	8	0.10606499999999999	0.08246375	0.14204375	56.05	7.445
AB04	4	0.101915	0.09239875	0.11364625	70.6	6.9390740740000005
AB07	6	0.09461249999999999	0.08292	0.12596249999999998	52.5	7.220000000000001
AB08	10	0.100305	0.08373375	0.12861625	53.150000000000006	7.822222222
AB09	5	0.082555	0.069635	0.085785	44.2	7.73
AB11	18	0.0783025	0.06133	0.12297374999999999	71.15	7.07
AB20	4	0.2439375	0.205145	0.25073	26.5	5.962037037
AB22	24	0.1375775	0.10741375	0.17583374999999998	46.0	7.515000000000001
AB31	4	0.104125	0.09629125	0.11107	73.5	6.85
AB32	4	0.0846475	0.081085	0.086825	68.25	6.915
AB35	5	0.063395	0.047875	0.066605	35.4	6.76
AM01	33	0.13864	0.124935	0.187005	49.9	8.52
AM02	29	0.154195	0.13037	0.179355	55.4	8.5
AR01	11	0.10497	0.0690075	0.15069	74.6	7.751481481
AR08	4	0.1098	0.070345	0.15752875	28.95	7.77
AR10	10	0.21635	0.155225	0.24124625	45.95	6.77
AR11	4	0.07152750000000001	0.03929	0.11158125	49.35	8.33
AW01	2	0.1816125	0.17495125	0.18827375	53.0	6.67
AW03	1	0.00816	0.00816	0.00816	28.8	7.13
AY01	26	0.0824525	0.064715	0.09020875	54.85	8.407711111
AY02	22	0.1350275	0.12111875	0.15038374999999998	57.95	8.67
AY03	29	0.083415	0.078725	0.113705	69.8	9.2
AY04	31	0.10065	0.083595	0.119355	51.8	9.06
AY05	14	0.086115	0.07372625000000001	0.115815	58.3	8.875177778000001
AY06	18	0.0794125	0.068325	0.15564375	40.55	9.08
AY07	30	0.1077125	0.0950675	0.1207125	63.75	7.54
AY08	24	0.0886975	0.08056125	0.11157625	69.75	8.043199999999999
AY10	1	0.597195	0.597195	0.597195	88.8	3.14
AY11	14	0.33938999999999997	0.19039	0.40801	51.5	3.63
AY12	2	0.10005249999999999	0.09887625	0.10122874999999999	67.55000000000001	7.085
LB01	1	0.11444	0.11444	0.11444	63.9	6.78
LB02	1	0.272255	0.272255	0.272255	56.3	7.13
LB04	1	0.09597	0.09597	0.09597	61.8	7.02
LB07	1	0.09446	0.09446	0.09446	52.7	6.78
LC02	1	0.18536	0.18536	0.18536	56.8	7.94
LC04	1	0.20073	0.20073	0.20073	69.0	8.03
LC05	1	0.080205	0.080205	0.080205	55.2	9.02
LD01	2	0.15774749999999998	0.14533375	0.17016125	67.35	8.195
LE01	3	0.169705	0.11334	0.18120999999999998	47.0	7.07
LH02	2	0.13826	0.12603	0.15049	54.9	7.414999999999999
LH03	3	0.12147	0.1082325	0.13568999999999998	62.2	6.53
LP01	1	0.03778	0.03778	0.03778	41.3	7.03
LP02	1	0.076765	0.076765	0.076765	45.0	7.03
LP03	2	0.0811025	0.06981875	0.09238625	42.65	6.9399999999999995
LR01	3	0.129405	0.124675	0.16749999999999998	43.6	7.03
LS01	3	0.108495	0.101785	0.13243749999999999	81.7	6.8
LS02	3	0.083185	0.0831625	0.11386750000000001	82.3	6.8
LT01	3	0.714175	0.3979375	0.7465675	42.7	6.77
LT12	3	0.123445	0.0992475	0.17696499999999998	44.2	6.77
LT16	4	0.15958250000000002	0.14856875	0.19926750000000001	38.575	6.765
LU02	2	0.122725	0.115535	0.129915	59.0	7.32
LU04	3	0.14581	0.133325	0.1534625	61.4	7.02
LV02	4	0.1383675	0.1343625	0.15506625000000002	46.95	6.77
