hotspring	ProcessID	Element	Process	RawCommunityIndex	CommunityIndex	CompleteGateFraction	Samples	Temperature	pH
AA01	anammox	Nitrogen	Anaerobic ammonium oxidation	1.2025283412499998e-06	0.0	0.0	22	51.7	8.23
AA01	cbb	Carbon	Calvin-Benson-Bassham fixation	6.17367241075e-05	6.17367241075e-05	1.0	22	51.7	8.23
AA01	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.0	0.0	22	51.7	8.23
AA01	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	3.45746132074575e-05	3.45746132074575e-05	1.0	22	51.7	8.23
AA01	dsr	Sulfur	DsrAB sulfite/sulfide axis	8.253679014499999e-06	8.253679014499999e-06	0.9545454545454546	22	51.7	8.23
AA01	hao	Nitrogen	Hydroxylamine oxidation	6.5482270675e-06	6.5482270675e-06	0.9545454545454546	22	51.7	8.23
AA01	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0	0.0	22	51.7	8.23
AA01	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	1.7842517695e-05	1.7842517695e-05	1.0	22	51.7	8.23
AA01	n_fix	Nitrogen	Nitrogen fixation	5.838481074333334e-05	5.838481074333334e-05	1.0	22	51.7	8.23
AA01	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	5.919464917e-06	5.919464917e-06	0.9090909090909091	22	51.7	8.23
AA01	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	1.1818407088749999e-05	1.1818407088749999e-05	0.8181818181818182	22	51.7	8.23
AA01	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	3.60758502375e-06	3.60758502375e-06	1.0	22	51.7	8.23
AA01	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	6.00375105525e-06	6.00375105525e-06	0.8181818181818182	22	51.7	8.23
AA01	phs	Sulfur	Thiosulfate/polysulfide reduction	6.534321054999999e-06	0.0	0.0	22	51.7	8.23
AA01	rtca	Carbon	Reverse TCA fixation	9.132033596e-08	0.0	0.0	22	51.7	8.23
