Label	Command	ReturnCode	StartedUTC	EndedUTC	ResourceLog	Stdout	Stderr
bowtie2-build	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2-build --threads 24 ${ARTICLE41_WORK_DIR}/inputs/megahit-coassembly.ge1000.fna ${ARTICLE41_WORK_DIR}/index/megahit-coassembly.ge1000	0	reused-complete-output	reused-complete-output	${ARTICLE41_WORK_DIR}/logs/bowtie2-build.time.txt	${ARTICLE41_WORK_DIR}/logs/bowtie2-build.stdout.log	${ARTICLE41_WORK_DIR}/logs/bowtie2-build.stderr.log
samtools-faidx	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools faidx ${ARTICLE41_WORK_DIR}/inputs/megahit-coassembly.ge1000.fna	0	reused-complete-output	reused-complete-output	${ARTICLE41_WORK_DIR}/logs/samtools-faidx.time.txt	${ARTICLE41_WORK_DIR}/logs/samtools-faidx.stdout.log	${ARTICLE41_WORK_DIR}/logs/samtools-faidx.stderr.log
map-MOCK1	/bin/bash -o pipefail -c '${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2 --very-sensitive --seed 20260741 -p 16 -x ${ARTICLE41_WORK_DIR}/index/megahit-coassembly.ge1000 -1 ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz -2 ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz 2> ${ARTICLE41_WORK_DIR}/logs/map-MOCK1.bowtie2.log | ${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools view -@ 4 -b -F 3588 -q 0 - | ${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools sort -@ 8 -m 2G -T ${ARTICLE41_WORK_DIR}/tmp/MOCK1.sort -o ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam -'	0	2026-07-29T01:52:55.742615+00:00	2026-07-29T01:53:59.013180+00:00	${ARTICLE41_WORK_DIR}/logs/map-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/logs/map-MOCK1.stdout.log	${ARTICLE41_WORK_DIR}/logs/map-MOCK1.pipeline.stderr.log
index-MOCK1	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools index -@ 8 ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam	0	2026-07-29T01:53:59.021953+00:00	2026-07-29T01:53:59.379942+00:00	${ARTICLE41_WORK_DIR}/logs/index-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/logs/index-MOCK1.stdout.log	${ARTICLE41_WORK_DIR}/logs/index-MOCK1.stderr.log
flagstat-MOCK1	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools flagstat -@ 8 ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam	0	2026-07-29T01:53:59.380090+00:00	2026-07-29T01:53:59.679524+00:00	${ARTICLE41_WORK_DIR}/logs/flagstat-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/depth/MOCK1.flagstat.tsv	${ARTICLE41_WORK_DIR}/logs/flagstat-MOCK1.stderr.log
idxstats-MOCK1	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools idxstats -@ 8 ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam	0	2026-07-29T01:53:59.679664+00:00	2026-07-29T01:53:59.707163+00:00	${ARTICLE41_WORK_DIR}/logs/idxstats-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/depth/MOCK1.idxstats.tsv	${ARTICLE41_WORK_DIR}/logs/idxstats-MOCK1.stderr.log
stats-MOCK1	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools stats -@ 8 ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam	0	2026-07-29T01:53:59.707331+00:00	2026-07-29T01:54:10.342858+00:00	${ARTICLE41_WORK_DIR}/logs/stats-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/depth/MOCK1.stats.tsv	${ARTICLE41_WORK_DIR}/logs/stats-MOCK1.stderr.log
coverage-MOCK1	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools coverage -o ${ARTICLE41_WORK_DIR}/depth/MOCK1.coverage.tsv ${ARTICLE41_WORK_DIR}/bam/MOCK1.primary.sorted.bam	0	2026-07-29T01:54:10.343085+00:00	2026-07-29T01:54:20.394901+00:00	${ARTICLE41_WORK_DIR}/logs/coverage-MOCK1.time.txt	${ARTICLE41_WORK_DIR}/logs/coverage-MOCK1.stdout.log	${ARTICLE41_WORK_DIR}/logs/coverage-MOCK1.stderr.log
map-MOCK2	/bin/bash -o pipefail -c '${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2 --very-sensitive --seed 20260741 -p 16 -x ${ARTICLE41_WORK_DIR}/index/megahit-coassembly.ge1000 -1 ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz -2 ${PROJECT_ROOT}/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz 2> ${ARTICLE41_WORK_DIR}/logs/map-MOCK2.bowtie2.log | ${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools view -@ 4 -b -F 3588 -q 0 - | ${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools sort -@ 8 -m 2G -T ${ARTICLE41_WORK_DIR}/tmp/MOCK2.sort -o ${ARTICLE41_WORK_DIR}/bam/MOCK2.primary.sorted.bam -'	0	2026-07-29T01:54:20.395187+00:00	2026-07-29T01:55:19.188383+00:00	${ARTICLE41_WORK_DIR}/logs/map-MOCK2.time.txt	${ARTICLE41_WORK_DIR}/logs/map-MOCK2.stdout.log	${ARTICLE41_WORK_DIR}/logs/map-MOCK2.pipeline.stderr.log
index-MOCK2	${HOME}/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools index -@ 8 ${ARTICLE41_WORK_DIR}/bam/MOCK2.primary.sorted.bam	0	2026-07-29T01:55:19.197102+00:00	2026-07-29T01:55:19.555238+00:00	${ARTICLE41_WORK_DIR}/logs/index-MOCK2.time.txt	${ARTICLE41_WORK_DIR}/logs/index-MOCK2.stdout.log	${ARTICLE41_WORK_DIR}/logs/index-MOCK2.stderr.log
