Label	WallSeconds	PeakRAMGiB	ExitStatus	Command
bowtie2-build	44.89	0.577	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2-build --threads 24 /workspace/wechat/Metagenome/work/article41/inputs/megahit-coassembly.ge1000.fna /workspace/wechat/Metagenome/work/article41/index/megahit-coassembly.ge1000
coverage-MOCK1	10.04	0.005	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools coverage -o /workspace/wechat/Metagenome/work/article41/depth/MOCK1.coverage.tsv /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam
coverage-MOCK2	9.79	0.005	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools coverage -o /workspace/wechat/Metagenome/work/article41/depth/MOCK2.coverage.tsv /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
flagstat-MOCK1	0.29	0.005	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools flagstat -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam
flagstat-MOCK2	0.34	0.005	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools flagstat -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
idxstats-MOCK1	0.02	0.01	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools idxstats -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam
idxstats-MOCK2	0.02	0.01	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools idxstats -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
index-MOCK1	0.35	0.011	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools index -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam
index-MOCK2	0.35	0.011	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools index -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
jgi-depth	3.57	0.023	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/jgi_summarize_bam_contig_depths --outputDepth /workspace/wechat/Metagenome/work/article41/depth/jgi-depth.tsv --pairedContigs /workspace/wechat/Metagenome/work/article41/depth/paired-contigs.tsv --percentIdentity 97 --minMapQual 0 --referenceFasta /workspace/wechat/Metagenome/work/article41/inputs/megahit-coassembly.ge1000.fna /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
map-MOCK1	63.26	1.346	0	/bin/bash -o pipefail -c /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2 --very-sensitive --seed 20260741 -p 16 -x /workspace/wechat/Metagenome/work/article41/index/megahit-coassembly.ge1000 -1 /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz -2 /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz 2> /workspace/wechat/Metagenome/work/article41/logs/map-MOCK1.bowtie2.log | /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools view -@ 4 -b -F 3588 -q 0 - | /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools sort -@ 8 -m 2G -T /workspace/wechat/Metagenome/work/article41/tmp/MOCK1.sort -o /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam -
map-MOCK2	58.79	1.346	0	/bin/bash -o pipefail -c /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/bowtie2 --very-sensitive --seed 20260741 -p 16 -x /workspace/wechat/Metagenome/work/article41/index/megahit-coassembly.ge1000 -1 /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz -2 /workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz 2> /workspace/wechat/Metagenome/work/article41/logs/map-MOCK2.bowtie2.log | /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools view -@ 4 -b -F 3588 -q 0 - | /workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools sort -@ 8 -m 2G -T /workspace/wechat/Metagenome/work/article41/tmp/MOCK2.sort -o /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam -
samtools-faidx	0.27	0.005	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools faidx /workspace/wechat/Metagenome/work/article41/inputs/megahit-coassembly.ge1000.fna
stats-MOCK1	10.63	0.008	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools stats -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK1.primary.sorted.bam
stats-MOCK2	10.24	0.007	0	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/samtools stats -@ 8 /workspace/wechat/Metagenome/work/article41/bam/MOCK2.primary.sorted.bam
