Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	515	123	22	1	0	2021811	981740	298882	28978	0	515	28978	2021811	2178400	48.63	48.58	4805	4555	1979	1331	6204.6	5758.6	129	146	378	462	4	4	23719	3	0	1	0	0 + 1 part	555	92.387	1.002	154.56	85.23	19.14	28978	2016947	4786	4528	1954	1260	6156.1	5713.5	131	148	382	469
spades-short-only_broken	603	96	9	0	0	1947737	702270	119390	0	0	603	22055	1947737	2178400	48.63	48.58	3940	3519	1712	-	4822.0	4311.4	158	190	456	-	4	4	23420	2	0	0	0	0 + 0 part	0	89.104	1.002	0.00	82.83	9.05	22055	1944986	3895	3510	1678	-	4780.2	4274.1	160	191	460	-
spades-illumina-ont	117	86	65	26	8	2159155	2063261	1916264	1279786	639080	117	121931	2159155	2178400	48.62	48.58	32796	32796	8626	8338	42429.1	42054.3	20	20	68	70	8	8	290398	1	0	0	0	0 + 0 part	0	98.752	1.003	10.65	129.91	91.73	121931	2158489	30831	30725	8235	6983	41492.0	41125.5	20	21	71	74
spades-illumina-ont_broken	128	91	66	25	7	2155070	2045251	1870189	1219109	564470	128	121931	2155070	2178400	48.63	48.58	30831	30831	7519	7269	40685.5	40249.7	21	21	74	77	8	8	290398	1	0	0	0	0 + 0 part	0	98.552	1.004	0.00	129.83	91.02	121931	2154400	30439	30282	6841	6252	39749.2	39323.5	21	22	78	81
spades-illumina-hifi	90	64	50	27	14	2165005	2096492	1994710	1592465	1155836	90	145113	2165005	2178400	48.62	48.58	62515	62515	12317	12317	58980.0	58617.4	13	13	47	47	10	9	527822	1	0	0	0	0 + 0 part	0	99.043	1.003	4.90	94.98	7.95	145113	2163559	44985	44985	11068	10711	53268.2	52940.6	15	15	51	52
spades-illumina-hifi_broken	95	67	51	28	13	2164117	2092104	1972567	1570322	1081867	95	145113	2164117	2178400	48.63	48.58	46311	46311	12273	11068	57232.0	56856.8	14	14	49	50	10	9	519126	1	0	0	0	0 + 0 part	0	99.002	1.003	0.00	95.02	7.72	145113	2162671	40917	40917	9951	9668	51551.7	51213.6	16	16	54	55
flye-ont	35	35	35	29	12	2089183	2089183	2089183	1988937	1369162	35	325773	2089183	2178400	49.29	48.58	95765	95765	30262	29191	114541.4	109850.4	8	8	26	28	3	3	206027	1	0	0	0	2 + 9 part	143054	88.284	1.012	0.00	617.10	1784.62	325762	1945403	62078	62078	19590	-	103665.0	99419.4	9	9	31	-
flye-ont-polypolish-default	36	36	36	30	12	2118854	2118854	2118854	2018736	1368539	36	325571	2118854	2178400	49.22	48.58	95673	95673	30235	29817	113269.2	110173.0	8	8	27	28	4	4	224685	1	0	0	0	2 + 8 part	130696	90.249	1.011	0.00	520.74	1383.00	325560	1987346	62013	62013	19596	13213	102609.8	99805.0	9	9	32	35
flye-ont-polypolish-careful	36	36	36	30	12	2118915	2118915	2118915	2018796	1368567	36	325581	2118915	2178400	49.22	48.58	95682	95682	30236	29819	113271.9	110178.8	8	8	27	28	4	4	224703	1	0	0	0	2 + 8 part	130695	90.249	1.011	0.00	522.69	1392.42	325570	1987408	62013	62013	19596	13213	102612.3	99810.3	9	9	32	35
flye-hifi	6	6	6	6	6	2181373	2181373	2181373	2181373	2181373	6	592955	2181373	2178400	48.59	48.58	585503	585503	282541	282541	509265.7	509960.8	2	2	4	4	5	3	962835	0	0	0	0	0 + 0 part	0	99.855	1.003	0.00	1.33	12.33	585502	2181369	570156	570156	69145	69145	461265.0	461894.6	2	2	5	5
