Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	36	25	18	11	9	1806754	1782283	1726731	1627679	1565440	36	346530	1806754	1823511	46.10	46.10	200110	200110	28111	17976	203726.1	201854.0	4	4	11	12	3	2	620513	0	0	1	0	0 + 0 part	0	99.001	1.001	5.53	40.08	1.38	335464	1806517	173632	173632	17876	17191	178837.5	177194.1	4	4	13	14
spades-short-only_broken	37	25	18	11	9	1806654	1777247	1721695	1627679	1565440	37	346530	1806654	1823511	46.10	46.10	200110	200110	28111	17191	203664.7	201782.0	4	4	11	12	3	2	620513	0	0	0	0	0 + 0 part	0	99.001	1.001	0.00	40.08	1.38	335464	1806517	173632	173632	17191	15517	178776.7	177124.0	4	4	13	14
spades-illumina-ont	7	5	5	5	5	2694717	2692535	2692535	2692535	2692535	7	932865	2694717	1823511	46.37	46.10	854511	932865	258134	854511	745968.6	1102364.8	2	1	4	2	5	2	1436666	0	0	0	1	0 + 1 part	873583	99.447	1.001	191.86	56.06	2.42	361186	1815964	229626	348119	-	134278	192347.9	284244.6	5	3	-	6
spades-illumina-ont_broken	6	4	4	4	4	1761852	1759670	1759670	1759670	1759670	6	854511	1761852	1823511	46.18	46.10	582155	582155	258134	258134	647010.7	625133.1	2	2	3	3	5	2	1436666	0	0	0	0	0 + 0 part	0	96.607	1.000	0.00	38.03	1.70	361186	1761852	348119	348119	134278	134278	293786.8	283852.9	3	3	6	6
spades-illumina-hifi	2	2	1	1	1	1800035	1800035	1791319	1791319	1791319	2	1791319	1800035	1823511	46.11	46.10	1791319	1791319	1791319	1791319	1782687.4	1759737.0	1	1	1	1	8	2	1800035	0	1	3	0	0 + 0 part	0	97.116	1.008	868.04	44.44	2.91	844408	1784363	425979	425979	354395	134278	576800.5	569374.8	2	2	3	4
spades-illumina-hifi_broken	10	5	3	3	3	1776378	1768049	1755405	1755405	1755405	10	919304	1776378	1823511	46.10	46.10	919304	919304	290724	290724	690828.9	672972.8	1	1	3	3	4	1	919304	0	0	0	0	0 + 0 part	0	96.728	1.007	0.00	39.97	1.91	545377	1776364	425979	425979	290724	134278	395645.9	385419.5	2	2	4	5
flye-ont	6	6	5	5	4	1838023	1838023	1829173	1829173	1785080	6	856652	1838023	1823511	46.19	46.10	557264	557264	289108	289108	618455.2	623377.1	2	2	3	3	4	1	856652	0	0	0	0	0 + 1 part	4925	99.726	1.008	0.00	38.68	357.54	557264	1833087	354544	357425	133786	133786	366648.4	369566.3	3	2	5	5
flye-ont-polypolish-default	6	6	5	5	4	1844328	1844328	1835450	1835450	1791211	6	859583	1844328	1823511	46.12	46.10	559230	559230	290139	290139	620607.7	627692.5	2	2	3	3	4	1	859583	0	0	0	0	0 + 1 part	4942	99.726	1.011	0.00	25.82	21.69	559230	1839375	355715	358659	134277	134277	367934.5	372134.8	3	2	5	5
flye-ont-polypolish-careful	6	6	5	5	4	1844040	1844040	1835163	1835163	1790970	6	859463	1844040	1823511	46.13	46.10	559113	559113	290112	290112	620513.2	627498.9	2	2	3	3	4	1	859463	0	0	0	0	0 + 1 part	4923	99.726	1.011	0.00	28.71	47.85	559113	1839106	355645	358615	134272	134272	367868.5	372010.0	3	2	5	5
flye-hifi	1	1	1	1	1	1823526	1823526	1823526	1823526	1823526	1	1823526	1823526	1823511	46.10	46.10	1823526	1823526	1823526	1823526	1823526.0	1823541.0	1	1	1	1	4	1	1823526	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	0.99	0.16	1246373	1823526	1246373	1246373	431947	431947	964144.3	964152.2	1	1	2	2
