Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	1218	51	1	0	0	2731586	322840	11091	0	0	1218	11091	2731586	3843301	38.87	38.99	2525	1838	1265	-	2944.5	2092.8	364	624	976	-	6	6	19333	1	0	5	0	1 + 3 part	5075	70.660	1.000	266.33	131.83	19.14	11091	2716363	2502	1812	1240	-	2909.8	2068.1	367	630	988	-
spades-short-only_broken	1245	26	1	0	0	2533630	164520	11091	0	0	1245	11091	2533630	3843301	38.83	38.99	2207	1513	1189	-	2596.1	1711.5	389	747	1014	-	3	3	5431	1	0	0	0	1 + 2 part	3933	65.609	1.000	0.00	130.93	6.70	11091	2522627	2196	1499	1171	-	2579.4	1700.4	390	752	1021	-
spades-illumina-ont	589	211	98	9	0	3344328	2411576	1609571	315495	0	589	47871	3344328	3843301	38.91	38.99	9416	7737	2427	-	12060.5	10494.7	105	134	381	-	10	10	96205	3	1	1	0	0 + 5 part	9140	86.328	1.004	73.44	285.99	261.82	47871	3331292	9279	7479	2354	-	11876.5	10334.6	106	136	391	-
spades-illumina-ont_broken	629	201	94	7	0	3293872	2265776	1505306	242422	0	629	47871	3293872	3843301	38.90	38.99	8561	6841	2190	-	11201.4	9600.0	110	145	409	-	7	7	43220	3	0	0	0	0 + 3 part	2644	85.191	1.004	0.00	286.87	261.14	47871	3288596	8456	6727	2138	-	11142.5	9549.6	110	147	414	-
spades-illumina-hifi	1049	115	26	1	0	2914769	942419	362708	28375	0	1049	28375	2914769	3843301	38.85	38.99	3297	2364	1372	-	4946.8	3751.6	245	412	802	-	7	7	35791	2	0	3	0	1 + 4 part	6798	75.368	1.001	201.29	135.42	21.46	28375	2899044	3261	2347	1349	-	4877.9	3699.4	249	418	815	-
spades-illumina-hifi_broken	1076	94	24	0	0	2756933	785506	329157	0	0	1076	24922	2756933	3843301	38.82	38.99	2875	1980	1295	-	4596.0	3296.9	255	485	834	-	5	5	19090	2	0	0	0	1 + 3 part	6011	71.337	1.001	0.00	135.87	11.99	24922	2744494	2870	1948	1275	-	4555.8	3268.0	257	490	843	-
flye-ont	64	59	44	9	0	983922	963946	854946	282244	0	64	40034	983922	3843301	39.00	38.99	20378	-	8773	-	20436.0	5231.8	19	-	48	-	1	1	12107	1	0	0	0	15 + 9 part	394224	15.171	1.009	0.00	1063.23	1999.87	40028	588489	7470	-	-	-	10009.0	2562.4	32	-	-	-
flye-ont-polypolish-default	70	65	50	10	0	1082945	1062983	954023	308550	0	70	40000	1082945	3843301	38.96	38.99	20370	-	9197	-	20281.7	5714.9	21	-	53	-	1	1	12097	1	0	0	0	10 + 10 part	290919	20.392	1.009	0.00	991.64	1851.19	39994	790409	11890	-	-	-	13039.6	3674.2	27	-	-	-
flye-ont-polypolish-careful	70	65	50	10	0	1083029	1063067	954110	308569	0	70	40003	1083029	3843301	38.96	38.99	20387	-	9197	-	20283.6	5715.8	21	-	53	-	1	1	12101	1	0	0	0	11 + 9 part	298832	20.188	1.009	0.00	1011.53	1879.68	39997	782580	11894	-	-	-	12982.7	3658.5	27	-	-	-
flye-hifi	10	9	4	0	0	107864	103403	62952	0	0	10	20806	107864	3843301	38.32	38.99	11318	-	7104	-	12939.9	363.2	4	-	9	-	0	0	0	0	0	0	0	0 + 0 part	0	2.806	1.000	0.00	127.02	53.77	20806	107858	11317	-	7103	-	12938.9	363.1	4	-	9	-
