Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	17	17	16	13	8	1232660	1232660	1227588	1185762	997494	17	199323	1232660	1243342	31.49	31.64	133914	133914	36937	36937	118505.0	117486.9	4	4	11	11	2	2	120985	2	0	0	0	0 + 0 part	0	99.072	1.001	0.00	3.89	1.30	199323	1232594	133914	133914	28018	25891	115695.5	114701.5	4	4	12	13
spades-short-only_broken	17	17	16	13	8	1232660	1232660	1227588	1185762	997494	17	199323	1232660	1243342	31.49	31.64	133914	133914	36937	36937	118505.0	117486.9	4	4	11	11	2	2	120985	2	0	0	0	0 + 0 part	0	99.072	1.001	0.00	3.89	1.30	199323	1232594	133914	133914	28018	25891	115695.5	114701.5	4	4	12	13
spades-illumina-ont	1	1	1	1	1	1243434	1243434	1243434	1243434	1243434	1	1243434	1243434	1243342	31.64	31.64	1243434	1243434	1243434	1243434	1243434.0	1243526.0	1	1	1	1	1	1	1243434	2	0	0	0	0 + 0 part	0	99.955	1.000	0.80	4.99	2.09	675383	1243398	675383	675383	568015	568015	626316.5	626362.8	1	1	2	2
spades-illumina-ont_broken	2	2	2	2	2	1243424	1243424	1243424	1243424	1243424	2	649488	1243424	1243342	31.64	31.64	649488	649488	593936	593936	622952.9	622994.0	1	1	2	2	1	1	593936	2	0	0	0	0 + 0 part	0	99.955	1.000	0.00	4.99	2.01	649452	1243388	649452	649452	568015	568015	599233.1	599272.6	1	1	2	2
spades-illumina-hifi	1	1	1	1	1	1243347	1243347	1243347	1243347	1243347	1	1243347	1243347	1243342	31.64	31.64	1243347	1243347	1243347	1243347	1243347.0	1243352.0	1	1	1	1	1	1	1243347	2	0	0	0	0 + 0 part	0	99.955	1.000	0.00	4.99	2.01	675296	1243311	675296	675296	568015	568015	626265.8	626268.3	1	1	2	2
spades-illumina-hifi_broken	1	1	1	1	1	1243347	1243347	1243347	1243347	1243347	1	1243347	1243347	1243342	31.64	31.64	1243347	1243347	1243347	1243347	1243347.0	1243352.0	1	1	1	1	1	1	1243347	2	0	0	0	0 + 0 part	0	99.955	1.000	0.00	4.99	2.01	675296	1243311	675296	675296	568015	568015	626265.8	626268.3	1	1	2	2
flye-ont	2	2	2	2	1	1270362	1270362	1270362	1270362	1238711	2	1238711	1270362	1243342	32.46	31.64	1238711	1238711	1238711	1238711	1208637.2	1234903.0	1	1	1	1	1	1	1238711	2	0	0	0	0 + 1 part	26974	100.000	1.000	0.00	5.95	421.68	764750	1243347	764750	764750	473920	473920	637192.1	651039.4	1	1	2	2
flye-ont-polypolish-default	2	2	2	2	1	1275509	1275509	1275509	1275509	1243878	2	1243878	1275509	1243342	32.36	31.64	1243878	1243878	1243878	1243878	1213815.8	1245218.9	1	1	1	1	1	1	1243878	2	0	0	0	0 + 1 part	26934	100.000	1.004	0.00	2.16	2.56	767998	1248534	767998	767998	475839	475839	639952.9	656509.4	1	1	2	2
flye-ont-polypolish-careful	2	2	2	2	1	1275408	1275408	1275408	1275408	1243796	2	1243796	1275408	1243342	32.35	31.64	1243796	1243796	1243796	1243796	1213751.1	1245053.9	1	1	1	1	1	1	1243796	2	0	0	0	0 + 1 part	26935	100.000	1.004	0.00	3.92	14.02	767948	1248432	767948	767948	475807	475807	639919.4	656423.0	1	1	2	2
flye-hifi	1	1	1	1	1	1243911	1243911	1243911	1243911	1243911	1	1243911	1243911	1243342	31.64	31.64	1243911	1243911	1243911	1243911	1243911.0	1244480.3	1	1	1	1	1	1	1243911	2	0	0	0	0 + 0 part	0	100.000	1.000	0.00	1.93	1.53	1091727	1243845	1091727	1091727	152118	152118	976764.2	977211.2	1	1	2	2
