Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	90	73	61	24	11	2212362	2170017	2081727	1509122	1035471	90	157498	2212362	2354886	48.46	48.36	45082	44286	11492	8300	60486.6	56825.7	13	15	53	66	3	3	230817	2	0	1	0	0 + 0 part	0	93.925	1.000	9.04	7.96	0.72	157492	2211923	44286	39722	11361	8300	57191.7	53730.3	14	16	56	69
spades-short-only_broken	92	74	61	24	11	2212162	2165961	2068175	1499526	1035471	92	157498	2212162	2354886	48.46	48.36	45082	41858	11361	8300	60141.5	56496.5	13	15	54	67	2	2	185745	2	0	0	0	0 + 0 part	0	93.925	1.000	0.00	7.96	0.68	157492	2211823	44286	39722	11361	8300	57155.6	53691.5	14	16	56	69
spades-illumina-ont	62	54	48	24	12	2231055	2212304	2169163	1763557	1330626	62	206447	2231055	2354886	48.43	48.36	82503	64669	16564	12048	90135.7	85395.9	9	10	36	44	8	7	585289	2	0	7	0	0 + 0 part	0	94.491	1.001	142.17	27.92	0.90	201587	2227451	60828	54659	14203	10599	76631.8	72602.1	11	12	42	51
spades-illumina-ont_broken	78	65	53	23	12	2227883	2194126	2105955	1638387	1265947	78	201587	2227883	2354886	48.43	48.36	82503	60828	12259	9496	78025.9	73817.9	10	11	45	55	5	4	353571	2	0	0	0	0 + 0 part	0	94.483	1.001	0.00	28.02	0.81	201587	2227119	54007	49220	12120	9496	68880.6	65165.7	12	13	49	59
spades-illumina-hifi	62	55	48	26	13	2242859	2225909	2173146	1812266	1334880	62	206254	2242859	2354886	48.41	48.36	64751	60828	16564	11492	84145.6	80142.6	10	11	36	44	4	3	408948	2	0	1	0	0 + 0 part	0	95.097	1.001	39.73	48.15	0.67	172882	2240783	54659	52813	16267	11170	71939.7	68517.4	12	13	40	48
spades-illumina-hifi_broken	64	57	50	25	12	2241968	2225018	2172255	1767921	1281186	64	206254	2241968	2354886	48.41	48.36	64751	60828	15707	11384	83498.3	79494.5	10	11	38	46	4	3	408948	2	0	0	0	0 + 0 part	0	95.095	1.001	0.00	48.15	0.62	172882	2240773	54659	49139	15656	11170	71329.4	67909.1	12	13	42	50
flye-ont	48	45	38	27	17	2384564	2375095	2321569	2123105	1761896	48	246370	2384564	2354886	48.40	48.36	80968	80968	23642	26023	108314.6	109679.7	8	8	28	27	9	8	985065	3	0	0	0	1 + 15 part	60597	95.852	1.029	0.00	136.46	555.63	159047	2322963	66460	66493	19901	22020	72183.9	73093.6	13	12	37	36
flye-ont-polypolish-default	48	45	38	27	17	2389964	2380508	2326910	2128023	1766004	48	246948	2389964	2354886	48.36	48.36	81127	81127	23706	26070	108575.0	110192.3	8	8	28	27	10	9	1014555	3	0	0	0	0 + 15 part	33014	96.840	1.033	0.00	80.70	138.13	159452	2355711	66598	66670	19920	22067	72529.5	73609.9	13	12	37	36
flye-ont-polypolish-careful	48	45	38	27	17	2389756	2380292	2326708	2127891	1765901	48	246945	2389756	2354886	48.37	48.36	81120	81120	23692	26065	108571.3	110179.0	8	8	28	27	10	9	1014447	3	0	0	0	0 + 15 part	33011	97.013	1.031	0.00	97.22	186.63	159447	2355506	66598	66657	19924	22062	72526.4	73600.4	13	12	37	36
flye-hifi	42	41	38	23	9	1540769	1536738	1513618	1231473	756890	42	166156	1540769	2354886	48.73	48.36	49360	27849	21446	-	62974.5	41203.4	10	21	30	-	5	4	233228	2	0	0	0	0 + 0 part	0	65.161	0.997	0.00	13.72	48.17	166155	1530144	45787	23727	17387	-	57447.9	37587.4	11	24	33	-
