Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	14	11	11	11	9	1956644	1950225	1950225	1950225	1872903	14	700594	1956644	1966858	52.99	52.99	299580	299580	79967	79967	371427.2	369498.3	2	2	8	8	3	2	1000174	0	1	0	0	0 + 0 part	0	99.432	0.999	15.84	8.39	1.59	600580	1953789	257421	257421	79967	63737	298428.1	296878.4	3	3	9	10
spades-short-only_broken	18	15	14	11	9	1956334	1949915	1941638	1883639	1825214	18	700594	1956334	1966858	52.99	52.99	251891	251891	79967	63737	357886.0	355971.1	3	3	8	9	1	1	700594	0	0	0	0	0 + 0 part	0	99.440	1.000	0.00	8.49	1.43	600580	1956219	251891	251891	79967	63737	296476.0	294889.7	3	3	9	10
spades-illumina-ont	5	3	2	2	2	1974074	1967887	1962614	1962614	1962614	5	1485952	1974074	1966858	52.99	52.99	1485952	1485952	476662	476662	1233646.9	1238172.9	1	1	2	2	4	3	1967887	0	0	2	0	0 + 1 part	755	99.969	1.003	30.75	14.66	3.09	1293929	1971543	1293929	1293929	171884	171884	922086.5	925469.5	1	1	4	4
spades-illumina-ont_broken	7	5	4	4	4	1973467	1967280	1962007	1962007	1962007	7	1408671	1973467	1966858	52.99	52.99	1408671	1408671	223252	223252	1066258.4	1069841.3	1	1	3	3	4	3	1637196	0	0	0	0	0 + 1 part	755	99.969	1.003	0.00	14.66	3.09	1216928	1971543	1216928	1216928	171884	171884	820142.7	822898.5	1	1	4	4
spades-illumina-hifi	1	1	1	1	1	1969879	1969879	1969879	1969879	1969879	1	1969879	1969879	1966858	53.00	52.99	1969879	1969879	1969879	1969879	1969879.0	1972904.6	1	1	1	1	3	1	1969879	0	0	0	0	0 + 0 part	0	100.000	1.001	1.02	11.12	1.63	885065	1968949	582940	582940	478805	478805	686795.2	687850.1	2	2	3	3
spades-illumina-hifi_broken	3	3	3	3	3	1969859	1969859	1969859	1969859	1969859	3	780008	1969859	1966858	53.00	52.99	682817	682817	507034	507034	676056.0	677087.5	2	2	3	3	3	2	1287042	0	0	0	0	0 + 0 part	0	100.000	1.001	0.00	11.12	1.52	682744	1968814	582940	582940	197068	197068	490155.7	490903.6	2	2	5	5
flye-ont	1	1	1	1	1	1967597	1967597	1967597	1967597	1967597	1	1967597	1967597	1966858	52.97	52.99	1967597	1967597	1967597	1967597	1967597.0	1968336.3	1	1	1	1	3	1	1967597	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	101.36	479.18	1461879	1966261	1461879	1461879	196312	196312	1147527.7	1147958.9	1	1	3	3
flye-ont-polypolish-default	1	1	1	1	1	1975193	1975193	1975193	1975193	1975193	1	1975193	1975193	1966858	52.99	52.99	1975193	1975193	1975193	1975193	1975193.0	1983563.3	1	1	1	1	3	1	1975193	0	0	0	0	0 + 0 part	0	100.000	1.004	0.00	0.81	4.71	1467667	1973859	1467667	1467667	197035	197035	1152160.2	1157042.7	1	1	3	3
flye-ont-polypolish-careful	1	1	1	1	1	1975163	1975163	1975163	1975163	1975163	1	1975163	1975163	1966858	52.99	52.99	1975163	1975163	1975163	1975163	1975163.0	1983503.1	1	1	1	1	3	1	1975163	0	0	0	0	0 + 0 part	0	100.000	1.004	0.00	5.12	11.80	1467651	1973827	1467651	1467651	197024	197024	1152149.7	1157014.6	1	1	3	3
flye-hifi	1	1	1	1	1	1969527	1969527	1969527	1969527	1969527	1	1969527	1969527	1966858	53.00	52.99	1969527	1969527	1969527	1969527	1969527.0	1972199.6	1	1	1	1	3	1	1969527	0	0	0	0	0 + 0 part	0	100.000	1.001	0.00	0.36	0.41	1467775	1968615	1467775	1467775	191642	191642	1154583.4	1156150.1	1	1	3	3
