Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	171	111	84	35	13	2931184	2783686	2593202	1805659	1009415	171	129781	2931184	3133902	48.14	48.35	37279	31731	8095	3985	45335.6	42403.1	24	27	90	120	1	1	86368	3	4	1	0	0 + 2 part	2339	93.311	1.001	30.19	50.57	3.83	129781	2926783	37279	31731	8095	3854	45024.2	42111.7	24	27	90	121
spades-short-only_broken	203	129	90	36	10	2930299	2738237	2468769	1589484	678035	203	129513	2930299	3133902	48.14	48.35	26856	25335	6519	3356	35189.3	32903.1	32	36	112	149	1	1	86368	3	0	0	0	0 + 2 part	2339	93.307	1.001	0.00	50.30	2.97	129513	2926384	26856	25335	6353	3291	34887.5	32621.0	32	36	113	151
spades-illumina-ont	77	62	51	29	22	3583467	3547112	3466854	3077545	2810516	77	501266	3583467	3133902	48.79	48.35	113212	119749	20871	48355	169178.7	193447.7	9	7	36	23	6	6	263492	6	1	13	0	0 + 4 part	501179	97.152	1.004	626.85	98.62	14.72	260516	3057278	73715	82194	-	15243	96762.9	110643.8	14	11	-	43
spades-illumina-ont_broken	95	68	54	28	20	3060704	3004223	2898769	2455692	2161990	95	260516	3060704	3133902	48.26	48.35	77652	77652	15902	12645	108996.5	106450.7	11	11	43	48	4	4	145163	6	0	0	0	0 + 3 part	2160	97.130	1.004	0.00	98.35	14.59	260516	3056483	77652	77277	15902	12645	107989.3	105467.0	11	12	44	49
spades-illumina-hifi	79	60	52	30	21	3634548	3579190	3518429	3135644	2792454	79	558805	3634548	3133902	48.88	48.35	92379	119266	21889	48355	181509.4	210505.8	9	6	36	22	5	4	241677	6	1	5	0	0 + 2 part	554024	97.369	1.004	312.58	98.79	7.70	260474	3063056	73717	78162	-	16123	93664.3	108627.3	15	11	-	43
spades-illumina-hifi_broken	86	65	54	30	21	3311047	3252579	3169136	2758296	2422596	86	260474	3311047	3133902	48.58	48.35	83229	92379	17912	24538	119269.5	126011.2	10	9	41	33	5	4	229790	6	0	0	0	0 + 2 part	242824	97.369	1.004	0.00	98.81	7.64	260474	3062444	77277	77654	6072	13764	99632.5	105264.2	13	12	63	47
flye-ont	3	3	3	3	3	3124962	3124962	3124962	3124962	3124962	3	2435752	3124962	3133902	48.56	48.35	2435752	2435752	525122	525122	1995405.3	1989713.1	1	1	2	2	7	2	2960874	1	0	0	0	0 + 0 part	0	99.763	0.999	0.00	267.14	805.46	900292	3123426	531426	531426	315484	164088	579512.2	577859.0	3	3	5	6
flye-ont-polypolish-default	3	3	3	3	3	3134831	3134831	3134831	3134831	3134831	3	2443693	3134831	3133902	48.40	48.35	2443693	2443693	526668	526668	2002042.5	2002636.0	1	1	2	2	6	2	2970361	5	0	0	0	0 + 0 part	0	99.763	0.997	0.00	45.90	172.76	903380	3117610	533051	533051	164470	164470	576655.5	576826.5	3	3	6	6
flye-ont-polypolish-careful	3	3	3	3	3	3134056	3134056	3134056	3134056	3134056	3	2443009	3134056	3133902	48.41	48.35	2443009	2443009	526625	526625	2001451.6	2001550.0	1	1	2	2	7	2	2969634	1	0	0	0	0 + 0 part	0	99.763	1.002	0.00	69.88	230.58	903233	3132520	533010	533010	316397	316397	581300.8	581329.4	3	3	5	5
flye-hifi	1	1	1	1	1	3151210	3151210	3151210	3151210	3151210	1	3151210	3151210	3133902	48.39	48.35	3151210	3151210	3151210	3151210	3151210.0	3168613.6	1	1	1	1	6	1	3151210	1	0	0	0	0 + 1 part	570	100.000	1.004	0.00	2.19	0.54	1238330	3146801	903979	903979	316974	316974	884192.9	889076.1	2	2	4	4
