Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	3036	50	1	1	1	5961451	348013	51060	51060	51060	3036	51060	5961451	9731138	62.54	62.63	2071	1331	1178	-	2863.9	1754.5	945	2087	2487	-	16	16	58013	2	0	16	0	0 + 25 part	31494	60.285	1.000	248.61	167.11	21.35	51060	5869351	2034	1282	1131	-	2786.8	1707.3	964	2140	2554	-
spades-short-only_broken	2943	26	2	1	0	5375693	194411	51050	29909	0	2943	29909	5375693	9731138	62.55	62.63	1895	1135	1143	-	2431.6	1343.3	962	2464	2440	-	13	13	41316	1	0	0	0	0 + 12 part	18789	54.603	1.001	0.00	146.51	6.88	29909	5317099	1850	1104	1114	-	2376.2	1312.6	978	2512	2487	-
spades-illumina-ont	1088	544	307	55	6	8924219	7620962	5895569	2031270	386851	1088	113507	8924219	9731138	62.55	62.63	14311	12976	3704	1425	18487.6	16954.6	188	218	640	948	28	27	575894	4	0	3	0	3 + 30 part	227784	88.503	1.007	23.98	450.16	376.72	62418	8675576	13116	12007	2908	-	15906.8	14587.8	206	238	726	-
spades-illumina-ont_broken	1116	541	301	54	6	8846024	7477067	5728979	1981366	386385	1116	113507	8846024	9731138	62.54	62.63	13683	12729	3472	1197	18148.4	16497.7	191	224	656	1035	25	24	540444	3	0	0	0	3 + 24 part	198229	88.025	1.007	0.00	450.98	377.30	62418	8629742	12863	11727	2818	-	15631.4	14209.6	209	245	735	-
spades-illumina-hifi	814	513	332	107	18	9940131	9134240	7800521	4211619	1352994	814	194723	9940131	9731138	62.65	62.63	20637	21035	5826	6604	29177.4	29804.0	141	136	479	449	37	35	954477	2	0	1	0	0 + 39 part	662323	94.692	1.005	8.18	207.75	11.55	76937	9260804	17281	17522	2685	3606	20465.6	20905.1	175	169	662	602
spades-illumina-hifi_broken	843	518	326	105	17	9923662	9053236	7640875	4098998	1281818	843	194723	9923662	9731138	62.65	62.63	20327	20637	5573	6206	28582.8	29148.3	144	139	495	466	35	33	869742	2	0	0	0	0 + 38 part	661715	94.543	1.005	0.00	207.02	10.92	76937	9245928	17120	17444	2554	3414	19946.9	20341.6	179	173	683	625
flye-ont	127	126	112	84	37	5136774	5131947	5026508	4524470	2729761	127	131142	5136774	9731138	62.38	62.63	52148	15804	22587	-	57710.4	30463.6	34	101	89	-	8	7	462594	0	0	0	1	15 + 24 part	1026684	41.678	1.014	0.00	908.18	1705.88	131125	4112061	39291	-	-	-	39875.7	21049.2	45	-	-	-
flye-ont-polypolish-default	148	147	133	95	41	5879035	5874210	5768828	5094022	3011416	148	131030	5879035	9731138	62.39	62.63	51417	30199	21339	-	56681.1	34243.7	40	87	104	-	9	8	500673	0	0	0	1	11 + 30 part	807300	51.279	1.017	0.00	859.12	1611.55	131013	5072870	42404	12001	-	-	43957.9	26557.0	48	120	-	-
flye-ont-polypolish-careful	149	148	134	95	41	5903480	5898655	5793276	5094119	3011484	149	131032	5903480	9731138	62.40	62.63	51420	30199	21339	-	56548.9	34305.9	40	87	105	-	8	7	462274	0	0	0	1	12 + 30 part	836143	51.235	1.017	0.00	862.59	1616.68	131015	5068470	42404	12004	-	-	43774.1	26555.9	48	120	-	-
flye-hifi	3	3	3	3	3	9701489	9701489	9701489	9701489	9701489	3	4870036	9701489	9731138	62.65	62.63	4870036	4870036	1469853	1469853	3832202.8	3820526.8	1	1	3	3	15	3	9701489	0	0	0	0	0 + 0 part	0	99.609	0.998	0.00	4.51	0.41	1764658	9673568	951007	951007	408580	408580	1073210.7	1069940.8	4	4	10	10
