Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
spades-short-only	127	77	53	20	8	1784451	1665642	1487754	929836	513939	127	103460	1784451	1789046	32.86	32.98	29220	29220	6803	6803	34463.5	34374.9	19	19	68	68	1	1	9593	1	1	0	0	0 + 0 part	0	98.948	1.008	30.26	42.38	2.63	103460	1783968	29220	29220	6789	6769	34430.8	34342.3	19	19	68	69
spades-short-only_broken	136	84	57	20	6	1783911	1663549	1467692	865109	375164	136	103460	1783911	1789046	32.86	32.98	23285	23285	6633	6601	30964.6	30875.7	22	22	74	75	1	1	9593	1	0	0	0	0 + 0 part	0	98.927	1.008	0.00	42.33	2.19	103460	1783526	23285	23285	6601	6390	30939.6	30850.8	22	22	75	76
spades-illumina-ont	54	39	34	25	13	1817373	1787906	1748615	1597882	1215956	54	162561	1817373	1789046	32.84	32.98	70753	70753	24326	24452	80093.0	81361.1	8	8	27	26	1	1	30691	2	0	0	0	0 + 2 part	24886	99.137	1.010	16.51	101.73	9.32	162561	1792051	70753	70753	18805	24116	78729.6	79976.2	8	8	29	27
spades-illumina-ont_broken	63	47	38	26	12	1810794	1776466	1708700	1519006	1082384	63	140010	1810794	1789046	32.85	32.98	65882	65882	15616	16881	69529.8	70375.1	9	9	32	31	1	1	30691	2	0	0	0	0 + 2 part	18894	99.120	1.010	0.00	100.20	8.76	140010	1791472	65880	65880	14797	14873	68453.0	69285.1	9	9	34	33
spades-illumina-hifi	58	42	35	23	13	1784423	1746989	1698407	1517590	1189952	58	162560	1784423	1789046	32.91	32.98	79384	79384	16902	14905	75730.8	75535.1	9	9	28	29	1	1	14426	2	0	1	0	0 + 0 part	0	99.039	1.007	38.05	63.30	3.76	162560	1783555	79384	79384	16442	14905	75682.0	75486.4	9	9	28	29
spades-illumina-hifi_broken	69	49	39	25	12	1784287	1737546	1666014	1449219	1000551	69	139845	1784287	1789046	32.95	32.98	56424	56424	14426	13562	63038.1	62870.4	10	10	34	35	1	1	14426	2	0	0	0	0 + 0 part	0	99.029	1.007	0.00	48.32	2.52	139845	1783879	56424	56424	12874	12874	62997.9	62830.3	10	10	35	35
flye-ont	26	26	24	14	11	2378824	2378824	2364175	2193371	2090760	26	569930	2378824	1789046	33.04	32.98	214121	546999	34286	138825	322878.3	429318.5	3	2	13	5	8	4	1339299	0	0	0	2	0 + 8 part	684226	90.103	1.052	0.00	906.64	1073.15	294833	1695936	52219	80592	-	13790	75666.3	100610.5	13	8	-	27
flye-ont-polypolish-default	27	27	25	15	12	2441972	2441972	2427269	2255956	2153097	27	570757	2441972	1789046	32.92	32.98	214528	548028	34387	139213	317022.3	432722.0	3	2	14	5	8	4	1341594	0	0	0	2	0 + 9 part	690503	91.795	1.067	0.00	874.42	347.50	295504	1752810	52313	80800	-	17654	76267.0	104101.2	13	8	-	24
flye-ont-polypolish-careful	27	27	25	15	12	2441356	2441356	2426656	2255549	2152747	27	570744	2441356	1789046	32.94	32.98	214477	547970	34369	139170	317036.1	432631.7	3	2	14	5	8	4	1341472	0	0	0	2	0 + 9 part	690532	91.795	1.067	0.00	897.58	500.12	295475	1752162	52300	80795	-	17640	76253.9	104057.1	13	8	-	24
flye-hifi	2	2	1	1	1	1789053	1789053	1780768	1780768	1780768	2	1780768	1789053	1789046	32.98	32.98	1780768	1780768	1780768	1780768	1772559.7	1772566.7	1	1	1	1	2	2	1789053	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	0.11	0.50	1628511	1789053	1628511	1628511	1628511	1628511	1495365.0	1495370.8	1	1	1	1
