Sample	SampleType	TimePoint	Pair
MV_FEI1_t1Q14	Infant	T1	1
MV_FEI2_t1Q14	Infant	T1	2
MV_FEI3_t1Q14	Infant	T1	3
MV_FEI4_t1Q14	Infant	T1	4
MV_FEI4_t2F15	Infant	T2	4
MV_FEI5_t1Q14	Infant	T1	5
MV_FEI5_t2Q14	Infant	T2	5
MV_FEI5_t3Q15	Infant	T3	5
MV_FEM1_t1Q14	Mother	T1	1
MV_FEM2_t1Q14	Mother	T1	2
MV_FEM3_t1Q14	Mother	T1	3
MV_FEM4_t1Q14	Mother	T1	4
MV_FEM4_t2F15	Mother	T2	4
MV_FEM5_t1Q14	Mother	T1	5
MV_FEM5_t2Q14	Mother	T2	5
MV_FEM5_t3Q15	Mother	T3	5
MV_MIM1_t1M14	Milk	T1	1
MV_MIM2_t1M14	Milk	T1	2
MV_MIM3_t1M14	Milk	T1	3
MV_MIM4_t1M14	Milk	T1	4
MV_MIM4_t2F15	Milk	T2	4
MV_MIM5_t1M14	Milk	T1	5
MV_MIM5_t2M14	Milk	T2	5
MV_MIM5_t3F15	Milk	T3	5
