ThresholdPctExclusive	ThresholdLabel	Infant	InfantPair	TimePoint	Mother	MotherPair	MatchedPair	InfantDetectedSpecies	MotherDetectedSpecies	SharedSpecies	JaccardSimilarity
0.0	>0%	MV_FEI1_t1Q14	1	T1	MV_FEM1_t1Q14	1	True	37	58	4	0.04395604
0.0	>0%	MV_FEI1_t1Q14	1	T1	MV_FEM2_t1Q14	2	False	37	66	7	0.07291667
0.0	>0%	MV_FEI1_t1Q14	1	T1	MV_FEM3_t1Q14	3	False	37	79	8	0.07407407
0.0	>0%	MV_FEI1_t1Q14	1	T1	MV_FEM4_t1Q14	4	False	37	49	9	0.11688312
0.0	>0%	MV_FEI1_t1Q14	1	T1	MV_FEM5_t1Q14	5	False	37	79	8	0.07407407
0.0	>0%	MV_FEI2_t1Q14	2	T1	MV_FEM1_t1Q14	1	False	26	58	4	0.05
0.0	>0%	MV_FEI2_t1Q14	2	T1	MV_FEM2_t1Q14	2	True	26	66	7	0.08235294
0.0	>0%	MV_FEI2_t1Q14	2	T1	MV_FEM3_t1Q14	3	False	26	79	6	0.06060606
0.0	>0%	MV_FEI2_t1Q14	2	T1	MV_FEM4_t1Q14	4	False	26	49	6	0.08695652
0.0	>0%	MV_FEI2_t1Q14	2	T1	MV_FEM5_t1Q14	5	False	26	79	4	0.03960396
0.0	>0%	MV_FEI3_t1Q14	3	T1	MV_FEM1_t1Q14	1	False	27	58	4	0.04938272
0.0	>0%	MV_FEI3_t1Q14	3	T1	MV_FEM2_t1Q14	2	False	27	66	7	0.08139535
0.0	>0%	MV_FEI3_t1Q14	3	T1	MV_FEM3_t1Q14	3	True	27	79	7	0.07070707
0.0	>0%	MV_FEI3_t1Q14	3	T1	MV_FEM4_t1Q14	4	False	27	49	7	0.10144928
0.0	>0%	MV_FEI3_t1Q14	3	T1	MV_FEM5_t1Q14	5	False	27	79	3	0.02912621
0.0	>0%	MV_FEI4_t1Q14	4	T1	MV_FEM1_t1Q14	1	False	11	58	2	0.02985075
0.0	>0%	MV_FEI4_t1Q14	4	T1	MV_FEM2_t1Q14	2	False	11	66	4	0.05479452
0.0	>0%	MV_FEI4_t1Q14	4	T1	MV_FEM3_t1Q14	3	False	11	79	4	0.04651163
0.0	>0%	MV_FEI4_t1Q14	4	T1	MV_FEM4_t1Q14	4	True	11	49	4	0.07142857
0.0	>0%	MV_FEI4_t1Q14	4	T1	MV_FEM5_t1Q14	5	False	11	79	2	0.02272727
0.0	>0%	MV_FEI4_t2F15	4	T2	MV_FEM4_t2F15	4	True	25	70	9	0.10465116
0.0	>0%	MV_FEI4_t2F15	4	T2	MV_FEM5_t2Q14	5	False	25	63	5	0.06024096
0.0	>0%	MV_FEI5_t1Q14	5	T1	MV_FEM1_t1Q14	1	False	24	58	2	0.025
0.0	>0%	MV_FEI5_t1Q14	5	T1	MV_FEM2_t1Q14	2	False	24	66	5	0.05882353
0.0	>0%	MV_FEI5_t1Q14	5	T1	MV_FEM3_t1Q14	3	False	24	79	7	0.07291667
0.0	>0%	MV_FEI5_t1Q14	5	T1	MV_FEM4_t1Q14	4	False	24	49	6	0.08955224
0.0	>0%	MV_FEI5_t1Q14	5	T1	MV_FEM5_t1Q14	5	True	24	79	4	0.04040404
0.0	>0%	MV_FEI5_t2Q14	5	T2	MV_FEM4_t2F15	4	False	49	70	21	0.21428571
0.0	>0%	MV_FEI5_t2Q14	5	T2	MV_FEM5_t2Q14	5	True	49	63	19	0.20430108
0.0	>0%	MV_FEI5_t3Q15	5	T3	MV_FEM5_t3Q15	5	True	53	84	34	0.33009709
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	MV_FEM1_t1Q14	1	True	28	51	4	0.05333333
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	MV_FEM2_t1Q14	2	False	28	62	7	0.08433735
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	MV_FEM3_t1Q14	3	False	28	67	4	0.04395604
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	MV_FEM4_t1Q14	4	False	28	44	7	0.10769231
0.01	>0.01%	MV_FEI1_t1Q14	1	T1	MV_FEM5_t1Q14	5	False	28	60	6	0.07317073
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	MV_FEM1_t1Q14	1	False	17	51	3	0.04615385
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	MV_FEM2_t1Q14	2	True	17	62	7	0.09722222
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	MV_FEM3_t1Q14	3	False	17	67	3	0.03703704
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	MV_FEM4_t1Q14	4	False	17	44	4	0.07017544
0.01	>0.01%	MV_FEI2_t1Q14	2	T1	MV_FEM5_t1Q14	5	False	17	60	3	0.04054054
0.01	>0.01%	MV_FEI3_t1Q14	3	T1	MV_FEM1_t1Q14	1	False	21	51	3	0.04347826
