DatabaseID	ReleaseID	TruthIndex	ExpectedOrganismGTDBRS207	StrainName	AssemblyAccession	NCBITaxID	NCBIOrganismName	SpeciesTaxID	DatabaseSpeciesName	ExpectedGenomePercent	CandidateSequenceAccessions	ExactMatchingSequences	ReferenceStatus
standard8	Standard-8-20260626	1	Desulfobulbus oralis	sp. ONRL	GCA_002952055.1	1986146	Desulfobulbus oralis	1986146	Desulfobulbus oralis	7.350049552255035	2	1	Exact expected assembly
standard8	Standard-8-20260626	2	Methanothermus fervidus	DSM 2088	GCA_000166095.1	523846	Methanothermus fervidus DSM 2088	2180	Methanothermus fervidus	7.183339758983122	2	0	No same-species reference
standard8	Standard-8-20260626	3	Thermotoga petrophila	RKU-1	GCA_000016785.1	390874	Thermotoga petrophila RKU-1	93929	Thermotoga petrophila	6.950263060905706	2	1	Exact expected assembly
standard8	Standard-8-20260626	4	Pyrococcus horikoshii	OT3	GCA_000011105.1	70601	Pyrococcus horikoshii OT3	53953	Pyrococcus horikoshii	5.855518337574474	2	1	Exact expected assembly
standard8	Standard-8-20260626	5	Nitrosomonas europaea	ATCC 19718	GCA_000009145.1	228410	Nitrosomonas europaea ATCC 19718	915	Nitrosomonas europaea	5.683429495108962	2	1	Exact expected assembly
standard8	Standard-8-20260626	6	Methanocaldococcus jannaschii	DSM 2661	GCA_000091665.1	243232	Methanocaldococcus jannaschii DSM 2661	2190	Methanocaldococcus jannaschii	5.645801351648397	6	3	Exact expected assembly
standard8	Standard-8-20260626	7	Desulfovibrio piger	ATCC 29098	GCA_000156375.1	411464	Desulfovibrio piger ATCC 29098	901	Desulfovibrio piger	4.387852857703976	94	0	Alternate same-species reference
standard8	Standard-8-20260626	8	Ignicoccus hospitalis	KIN4/I	GCA_000017945.1	453591	Ignicoccus hospitalis KIN4/I	160233	Ignicoccus hospitalis	2.8386032717915723	2	1	Exact expected assembly
standard8	Standard-8-20260626	9	Fusobacterium nucleatum subsp. nucleatum	ATCC 25586	GCA_003019295.1	190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	851	Fusobacterium nucleatum	2.8088715465274476	2	1	Exact expected assembly
standard8	Standard-8-20260626	10	Persephonella marina	EX-H1	GCA_000021565.1	123214	Persephonella marina EX-H1	309805	Persephonella marina	2.806237421402552	4	2	Exact expected assembly
standard8	Standard-8-20260626	11	Pyrobaculum calidifontis	JCM 11548	GCA_000015805.1	410359	Pyrobaculum calidifontis JCM 11548	181486	Pyrobaculum calidifontis	2.5449546574683057	2	1	Exact expected assembly
standard8	Standard-8-20260626	12	Shewanella baltica OS223	OS223	GCA_000021665.1	407976	Shewanella baltica OS223	62322	Shewanella baltica	2.536452317303562	8	4	Exact expected assembly
standard8	Standard-8-20260626	13	Halobacterium salinarum	NRC-1	GCA_000006805.1	64091	Halobacterium salinarum NRC-1	2242	Halobacterium salinarum	2.5322931915107527	6	3	Exact expected assembly
standard8	Standard-8-20260626	14	Thermoanaerobacter pseudethanolicus	ATCC 33223	GCA_000019085.1	340099	Thermoanaerobacter pseudethanolicus ATCC 33223	496866	Thermoanaerobacter pseudethanolicus	2.4816006004718845	2	1	Exact expected assembly
