BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	InputFragments	ClassifiedFragments	HumanCladeFragments	HumanCompatibleAncestorFragments	UnsupportedClassifiedFragments	UnsupportedClassifiedPer10k	NonHumanSpeciesFragments	NonHumanSpeciesPer10k	BrackenHumanFragments	BrackenNonHumanFragments	BrackenNonHumanPer10k	Boundary
standard8-human-c000-h2	standard8	human	0.0	2	100	Yes	No	20000	15356	6296	5723	3337	1668.5	3336	1668.0	11714	3639	1819.5	Human-rich method control; not an extraction blank
standard8-human-c005-h2	standard8	human	0.05	2	100	Yes	No	20000	10683	42	10640	1	0.5	1	0.5	10682	0	0.0	Human-rich method control; not an extraction blank
standard8-human-c010-h2	standard8	human	0.10	2	100	Yes	No	20000	1010	13	997	0	0.0	0	0.0	1010	0	0.0	Human-rich method control; not an extraction blank
standard8-human-c020-h2	standard8	human	0.20	2	100	Yes	No	20000	5	3	2	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
standard8-human-c050-h2	standard8	human	0.50	2	100	Yes	No	20000	0	0	0	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c000-h2	standard16	human	0.0	2	100	Yes	No	20000	19522	14497	3684	1341	670.5	1340	670.0	18154	1361	680.5	Human-rich method control; not an extraction blank
standard16-human-c005-h2	standard16	human	0.05	2	100	Yes	No	20000	17966	1926	16039	1	0.5	1	0.5	17965	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c010-h2	standard16	human	0.10	2	100	Yes	Yes	20000	10728	69	10658	1	0.5	1	0.5	10727	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c020-h2	standard16	human	0.20	2	100	Yes	No	20000	1382	4	1378	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c050-h2	standard16	human	0.50	2	100	Yes	No	20000	0	0	0	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
pluspf8-human-c000-h2	pluspf8	human	0.0	2	100	Yes	No	20000	12832	5908	6922	2	1.0	1	0.5	12830	0	0.0	Human-rich method control; not an extraction blank
pluspf8-human-c005-h2	pluspf8	human	0.05	2	100	Yes	No	20000	8502	42	8459	1	0.5	1	0.5	8501	0	0.0	Human-rich method control; not an extraction blank
pluspf8-human-c010-h2	pluspf8	human	0.10	2	100	Yes	No	20000	740	13	727	0	0.0	0	0.0	740	0	0.0	Human-rich method control; not an extraction blank
pluspf8-human-c020-h2	pluspf8	human	0.20	2	100	Yes	No	20000	5	3	2	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
pluspf8-human-c050-h2	pluspf8	human	0.50	2	100	Yes	No	20000	0	0	0	0	0.0	0	0.0	0	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c010-h1	standard16	human	0.10	1	100	No	Yes	20000	10728	69	10658	1	0.5	1	0.5	10727	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c010-h3	standard16	human	0.10	3	100	No	Yes	20000	10728	69	10658	1	0.5	1	0.5	10727	0	0.0	Human-rich method control; not an extraction blank
standard16-human-c010-h4	standard16	human	0.10	4	100	No	Yes	20000	10726	69	10656	1	0.5	1	0.5	10725	0	0.0	Human-rich method control; not an extraction blank
