genome,cluster,score
vamb__025.fna,1_1,101.38623758663358
binette__012.fna,2_1,102.18598998436427
binette__008.fna,3_1,98.20534422619248
vamb__002.fna,4_1,102.14092685114908
binette__022.fna,5_1,101.72267014308811
metabat2-multisample__018.fna,6_1,66.76003091191382
binette__025.fna,7_1,100.95237736661407
semibin2__018.fna,8_1,61.31052963110887
binette__015.fna,9_1,79.38848290714738
semibin2__038.fna,10_1,101.81964480840534
taxvamb__008.fna,11_1,100.13575046023432
binette__009.fna,12_1,99.3125656860701
binette__018.fna,13_1,57.33394187217849
semibin2__043.fna,14_1,100.56400236956048
binette__017.fna,15_1,63.848342336310466
binette__001.fna,16_1,102.35418501425355
binette__002.fna,17_1,100.89860476390061
binette__013.fna,18_1,88.29013994731648
binette__005.fna,19_1,101.39349953973738
semibin2__020.fna,20_1,91.64072792348588
binette__011.fna,21_1,80.64301174655871
binette__006.fna,22_1,98.85773410770425
binette__024.fna,23_1,101.68919342868669
binette__007.fna,24_1,99.771973739132
