reference,querry,ani,alignment_coverage,primary_cluster
binette__001.fna,binette__001.fna,1.0,0.9943052391799544,16
binette__001.fna,metabat2-mock1__032.fna,0.999734,0.8621867881548975,16
binette__001.fna,metabat2-multisample__006.fna,0.9997499999999999,0.9191343963553531,16
binette__001.fna,semibin2__028.fna,0.999743,0.8929384965831435,16
metabat2-mock1__032.fna,binette__001.fna,1.0,0.9882352941176471,16
metabat2-mock1__032.fna,metabat2-mock1__032.fna,1.0,0.9934640522875817,16
metabat2-mock1__032.fna,metabat2-multisample__006.fna,1.0,0.9882352941176471,16
metabat2-mock1__032.fna,semibin2__028.fna,1.0,0.9673202614379085,16
metabat2-multisample__006.fna,binette__001.fna,1.0,0.9938347718865598,16
metabat2-multisample__006.fna,metabat2-mock1__032.fna,1.0,0.9321824907521579,16
metabat2-multisample__006.fna,metabat2-multisample__006.fna,1.0,0.9938347718865598,16
metabat2-multisample__006.fna,semibin2__028.fna,1.0,0.9654747225647349,16
semibin2__028.fna,binette__001.fna,0.999733,0.9849246231155779,16
semibin2__028.fna,metabat2-mock1__032.fna,1.0,0.9296482412060302,16
semibin2__028.fna,metabat2-multisample__006.fna,1.0,0.9836683417085427,16
semibin2__028.fna,semibin2__028.fna,1.0,0.9937185929648241,16
binette__002.fna,binette__002.fna,1.0,0.9912790697674418,17
binette__002.fna,metabat2-mock1__020.fna,1.0,0.9912790697674418,17
binette__002.fna,metabat2-multisample__026.fna,1.0,0.9840116279069767,17
binette__002.fna,semibin2__030.fna,1.0,0.9840116279069767,17
metabat2-mock1__020.fna,binette__002.fna,1.0,0.9898403483309144,17
metabat2-mock1__020.fna,metabat2-mock1__020.fna,1.0,0.9912917271407837,17
metabat2-mock1__020.fna,metabat2-multisample__026.fna,1.0,0.9840348330914369,17
metabat2-mock1__020.fna,semibin2__030.fna,1.0,0.9825834542815675,17
metabat2-multisample__026.fna,binette__002.fna,1.0,0.9840116279069767,17
metabat2-multisample__026.fna,metabat2-mock1__020.fna,1.0,0.9854651162790697,17
metabat2-multisample__026.fna,metabat2-multisample__026.fna,1.0,0.9912790697674418,17
metabat2-multisample__026.fna,semibin2__030.fna,1.0,0.9898255813953488,17
semibin2__030.fna,binette__002.fna,1.0,0.9616477272727273,17
semibin2__030.fna,metabat2-mock1__020.fna,1.0,0.9616477272727273,17
semibin2__030.fna,metabat2-multisample__026.fna,1.0,0.9673295454545454,17
semibin2__030.fna,semibin2__030.fna,1.0,0.9914772727272727,17
binette__003.fna,binette__003.fna,1.0,0.998422712933754,14
binette__003.fna,metabat2-mock1__023.fna,1.0,0.9905362776025236,14
binette__003.fna,metabat2-multisample__025.fna,1.0,0.9905362776025236,14
binette__003.fna,semibin2__043.fna,1.0,0.998422712933754,14
binette__003.fna,taxvamb__015.fna,1.0,0.998422712933754,14
binette__003.fna,vamb__009.fna,1.0,0.998422712933754,14
metabat2-mock1__023.fna,binette__003.fna,1.0,0.9984101748807631,14
metabat2-mock1__023.fna,metabat2-mock1__023.fna,1.0,0.9984101748807631,14
metabat2-mock1__023.fna,metabat2-multisample__025.fna,1.0,0.9984101748807631,14
metabat2-mock1__023.fna,semibin2__043.fna,1.0,0.9984101748807631,14
metabat2-mock1__023.fna,taxvamb__015.fna,1.0,0.9984101748807631,14
