exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p	CILower	CIUpper	OR	ORLower	ORUpper
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs1000940	0.454128364946424	0.0584362800786177	7.76584096595864e-15	0.339593255992333	0.568663473900514	1.57480013363592	1.40437625275204	1.76590529499476
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs10132280	0.445052512175256	0.0595972270939815	8.16263279705382e-14	0.328241947071052	0.56186307727946	1.5605721427189	1.38852488117977	1.75393717868492
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs1016287	0.444385533119792	0.059598435277983	8.89665231988866e-14	0.327572599974946	0.561198466264639	1.5595316208269	1.3875957870606	1.75277187999473
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs10182181	0.442781690594434	0.0599459843826844	1.50920489415479e-13	0.325287561204373	0.560275819984495	1.55703238242193	1.38442869672943	1.75115543735677
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs10733682	0.447424365930723	0.0595504548065885	5.76260989413613e-14	0.33070547450981	0.564143257351637	1.56427798473661	1.39194976724222	1.75794103430877
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs10840100	0.443565736083598	0.0595612021781567	9.53232175005778e-14	0.326825779814411	0.560305692352785	1.55825364533812	1.38655988941492	1.75120774929827
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs11030104	0.439803620791156	0.0600369057478528	2.37913040276557e-13	0.322131285525365	0.557475956056948	1.55240232903416	1.38006594674729	1.74625929787685
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs11057405	0.450199003325871	0.0590826593931126	2.54037243125193e-14	0.334396990915371	0.566001015736372	1.56862431588755	1.39709766857884	1.76120989944579
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs11165643	0.448212236870953	0.0596311196420994	5.62986923356545e-14	0.331335242372438	0.565089231369468	1.5655109195362	1.39282664855888	1.75960478766175
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs11672660	0.436089288726226	0.0590117210311901	1.46966034630954e-13	0.320426315505093	0.551752261947358	1.54664688671469	1.37771498041515	1.73629279363967
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs1167827	0.444858911393715	0.0595826358279056	8.25119178558675e-14	0.32807694517102	0.56164087761641	1.56027004397664	1.38829579083683	1.7535474977299
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs11727676	0.454867416148914	0.0581112428747374	4.97553442727393e-15	0.340969380114429	0.5687654521834	1.57596442174964	1.40631017914614	1.76608538816712
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs12286929	0.449358416742074	0.0595112904258745	4.32561176184119e-14	0.33271628750736	0.566000545976788	1.56730630536119	1.39475153389649	1.76120907210075
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs12429545	0.447326527308297	0.0597013549726426	6.74521849046261e-14	0.330311871561918	0.564341183054677	1.5641249454202	1.39140199951909	1.75828901045946
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs12448257	0.446385434394132	0.0596272536510859	7.08611371405125e-14	0.329516017238003	0.56325485155026	1.56265365093819	1.39029508675055	1.75637996283056
Body mass index || id:ieu-a-2	Coronary heart disease || id:ieu-a-7	ieu-a-2	ieu-a-7	184305	rs12940622	0.442749963390415	0.0594221278290559	9.26863242439821e-14	0.326282592845465	0.559217333935365	1.55698298292152	1.38580693266798	1.74930284440134
