Item	Status	Consequence
Genome-wide exposure threshold	Verified in frozen associations	All 79 SNPs have P < 5e-8
Effect-allele harmonisation	Verified with harmonisation ledger	No outcome beta sign flips were required
Palindromic variants	Four retained; none ambiguous	Allele frequencies support action=2 retention
LD clumping reference and release	Not encoded in vignette cache	Do not claim clumping was independently reconstructed
Exposure scale in cache	Recovered from source publication; not encoded in cache	Interpret estimate per original standardized BMI scale
Exposure and outcome ancestry	Not encoded in cache; audit source GWAS	Transportability and LD comparability remain assumptions
Participant overlap	Not encoded in cache	Bias direction depends on overlap and instrument strength
Outcome case/control counts	Recovered from source publication	60,801 cases and 123,504 controls
Outcome population prevalence	Not encoded; sensitivity grid used	Steiger liability R2 depends on prevalence
External replication	Not part of this teaching example	Do not treat this single analysis as final causal proof
