RowIndex	SNP	RSSObserved	PValueText	DistortionOutlier
1	rs1000940	0.00052413349216612	1	FALSE
2	rs10132280	5.44447313325194e-06	1	FALSE
3	rs1016287	1.56421028730086e-05	1	FALSE
4	rs10182181	2.12801911896847e-05	1	FALSE
5	rs10733682	1.49813746694874e-05	1	FALSE
6	rs10840100	2.98284829261335e-05	1	FALSE
7	rs11030104	8.79125521503363e-05	1	FALSE
8	rs11057405	0.000752023654909357	1	FALSE
9	rs11165643	2.26146892759313e-05	1	FALSE
10	rs11672660	0.000584893576618426	1	FALSE
11	rs1167827	7.22976252225715e-06	1	FALSE
12	rs11727676	0.00281500924351388	0.9085	FALSE
13	rs12286929	5.89741457212452e-05	1	FALSE
14	rs12429545	1.50108163921525e-05	1	FALSE
15	rs12448257	1.74261565796511e-06	1	FALSE
16	rs12940622	6.67109258495815e-05	1	FALSE
17	rs12986742	1.0397241812941e-06	1	FALSE
18	rs13021737	0.00011155819697939	1	FALSE
19	rs13078960	0.00110746064989414	0.5135	FALSE
20	rs13107325	0.000781340803642112	1	FALSE
21	rs13130484	0.000187948694745179	1	FALSE
22	rs13191362	0.000582337088457752	1	FALSE
23	rs13201877	0.000376475845459294	1	FALSE
24	rs13329567	2.16072147732442e-07	1	FALSE
25	rs1421085	5.00755335023025e-05	1	FALSE
26	rs1441264	6.70365355757205e-06	1	FALSE
27	rs1460676	0.000173841858269706	1	FALSE
28	rs14810	3.43093188445536e-05	1	FALSE
29	rs1516725	0.000144924298285572	1	FALSE
30	rs1528435	0.000105982440649025	1	FALSE
31	rs16851483	4.93161493910372e-05	1	FALSE
32	rs17001654	3.22726571614484e-05	1	FALSE
33	rs17066856	0.000464891583600285	1	FALSE
34	rs17094222	5.77233221551882e-05	1	FALSE
35	rs17203016	0.000121114048215456	1	FALSE
36	rs17381664	5.29767880785083e-05	1	FALSE
37	rs17724992	2.69910142748703e-05	1	FALSE
38	rs1928295	2.10905810971109e-06	1	FALSE
39	rs2033529	0.000211446481288146	1	FALSE
40	rs2060604	0.0001081905616375	1	FALSE
41	rs2112347	3.07306101776644e-05	1	FALSE
42	rs2176598	0.000320703011850952	1	FALSE
43	rs2183825	0.000143809798207506	1	FALSE
44	rs2365389	4.00570393113862e-05	1	FALSE
45	rs2820292	9.89706931057856e-05	1	FALSE
46	rs2836754	0.000235630542886787	1	FALSE
47	rs2890652	7.19429404439841e-05	1	FALSE
48	rs3736485	7.69442745407887e-05	1	FALSE
49	rs3800229	1.54819397605665e-05	1	FALSE
50	rs3817334	0.000125727826879779	1	FALSE
51	rs3849570	0.000410908138171072	1	FALSE
52	rs3888190	2.90495012887853e-05	1	FALSE
53	rs4740619	1.08388463952315e-06	1	FALSE
54	rs4889606	2.82585856963841e-06	1	FALSE
55	rs543874	0.000227191490810543	1	FALSE
56	rs6091540	3.51710432930735e-05	1	FALSE
57	rs6457796	0.000603088415337108	1	FALSE
58	rs6477694	2.06382576528335e-06	1	FALSE
59	rs6567160	0.00119206571781547	0.079	FALSE
60	rs657452	6.14813260145211e-06	1	FALSE
61	rs6713510	0.00205767549661791	<0.0395	TRUE
62	rs6804842	3.21512985981237e-06	1	FALSE
63	rs7138803	3.87917838110121e-05	1	FALSE
64	rs7144011	8.64264107525853e-05	1	FALSE
65	rs7531118	8.88352778189919e-06	1	FALSE
66	rs7550711	0.00615098008842238	0.79	FALSE
67	rs7599312	0.000296856298722494	1	FALSE
68	rs7715256	2.66071558039404e-05	1	FALSE
69	rs7899106	0.000567837555713402	1	FALSE
70	rs7903146	0.00193564918298594	<0.0395	TRUE
71	rs879620	0.000195615525899878	1	FALSE
72	rs891389	0.000256686338157331	1	FALSE
73	rs9304665	0.000508850393210923	1	FALSE
74	rs9374842	2.34880959433449e-05	1	FALSE
75	rs943005	4.40701913727514e-06	1	FALSE
76	rs9540493	5.26450782081369e-06	1	FALSE
77	rs9579083	0.000122623481998577	1	FALSE
78	rs977747	4.149783709957e-05	1	FALSE
79	rs9926784	0.000214405344780415	1	FALSE
