input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000010505.1	GCF_000010505.1	ASM1050v1	431947	Porphyromonas gingivalis ATCC 33277	strain=ATCC 33277	latest	Complete Genome	70	69	94.59	1.35
GCF_000016545.1	GCF_000016545.1	ASM1654v1	351627	Caldicellulosiruptor saccharolyticus DSM 8903	strain=DSM 8903	latest	Complete Genome	74	72	100.00	2.70
GCF_000010305.1	GCF_000010305.1	ASM1030v1	379066	Gemmatimonas aurantiaca T-27	strain=T-27	latest	Complete Genome	72	71	97.30	2.70
GCA_000018565.1	GCA_000018565.1	ASM1856v1	316274	Herpetosiphon aurantiacus DSM 785	na	latest	Complete Genome	68	65	91.89	4.05
GCF_000016785.1	GCF_000016785.1	ASM1678v1	390874	Thermotoga petrophila RKU-1	strain=RKU-1	latest	Complete Genome	72	72	97.30	0.00
GCF_000018945.1	GCF_000018945.1	ASM1894v1	309803	Thermotoga neapolitana DSM 4359	strain=DSM 4359	latest	Complete Genome	72	72	97.30	0.00
GCF_000019085.1	GCF_000019085.1	ASM1908v1	340099	Thermoanaerobacter pseudethanolicus ATCC 33223	strain=ATCC 33223; 39E	latest	Complete Genome	70	70	94.59	0.00
GCF_000020465.1	GCF_000020465.1	ASM2046v1	290315	Chlorobium limicola DSM 245	strain=DSM 245	latest	Complete Genome	73	73	98.65	0.00
GCF_000020785.1	GCF_000020785.1	ASM2078v1	380749	Hydrogenobaculum sp. Y04AAS1	strain=Y04AAS1	latest	Complete Genome	69	69	93.24	0.00
GCF_000021565.1	GCF_000021565.1	ASM2156v1	123214	Persephonella marina EX-H1	strain=EX-H1	latest	Complete Genome	72	69	97.30	4.05
GCF_002952055.1	GCF_002952055.1	ASM295205v1	1986146	Desulfobulbus oralis	strain=HOT041/ORNL	latest	Complete Genome	72	71	97.30	1.35
GCF_000196115.1	GCF_000196115.1	ASM19611v1	243090	Rhodopirellula baltica SH 1	strain=1	latest	Complete Genome	73	70	98.65	5.41
GCF_003968655.1	GCF_003968655.1	ASM396865v1	1094	Chlorobium phaeovibrioides	strain=BrKhr17	latest	Scaffold	72	71	97.30	1.35
GCF_031191795.1	GCF_031191795.1	ASM3119179v1	851	Fusobacterium nucleatum	strain=LMG 13131	latest	Complete Genome	73	73	98.65	0.00
GCF_900167395.1	GCF_900167395.1	IMG-taxon 2582581324 annotated assembly	915	Nitrosomonas europaea	strain=ATCC 25978	latest	Scaffold	73	73	98.65	0.00
GCF_900456975.1	GCF_900456975.1	50884_G01	62322	Shewanella baltica	strain=NCTC10735	latest	Contig	74	72	100.00	2.70
