cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT106;MT123;MT107;MT120	1.1071409718711798e-11
2	MB049;MB050;MB135;MB165;MB118;MB151;MB006;MB109;MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	7.58429004639855e-11
3	MB138;MB023;MB136;MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018;MB015;MB019;MB020	MT090;MT093	9.963312005546547e-11
4	MB032	MT114	1.3938442776667066e-09
5	MB061;MB047;MB079;MB066;MB073;MB112;MB028;MB092;MB025;MB091;MB090;MB057;MB077;MB065;MB048;MB113;MB117;MB114;MB115;MB093;MB110	MT027;MT035;MT037;MT036;MT038;MT039	2.531929995779597e-09
6	MB135;MB165;MB118;MB151;MB006;MB109;MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT090	5.39303366921673e-09
7	MB065;MB048;MB113;MB117;MB114;MB115	MT023	5.39303366921673e-09
8	MB122	MT042;MT045;MT057;MT131;MT041;MT098;MT136	2.531028590062991e-08
9	MB135;MB165;MB118;MB151;MB006;MB109	MT148;MT149;MT007;MT012;MT044;MT059	2.5812781321798e-08
10	MB116	MT042;MT045;MT057;MT131;MT041;MT098;MT136	2.7646019852495136e-08
11	MB145;MB148;MB149	MT044	3.426548833603373e-08
12	MB008;MB009	MT001	8.076499708384768e-08
13	MB119;MB130;MB046;MB124	MT006	8.39661921656609e-08
14	MB003;MB004	MT071;MT050;MT067;MT096;MT124;MT137;MT052;MT058	1.203545892638609e-07
15	MB165	MT118;MT130;MT146	1.2659271243665948e-07
16	MB119;MB130;MB046;MB124;MB105;MB045;MB100	MT001;MT127;MT128	1.6398847271123807e-07
17	MB116	MT111;MT134;MT105;MT089;MT110;MT054;MT121	1.9087095695243324e-07
18	MB014;MB010;MB018	MT111;MT134;MT105;MT089;MT110;MT054;MT121	2.3918098970067263e-07
19	MB119;MB130;MB046;MB124	MT027;MT035;MT037;MT036;MT038;MT039	5.151134437967515e-07
20	MB055;MB058	MT116	6.559242530964862e-07
21	MB035;MB033;MB037;MB032;MB038;MB034;MB036;MB147;MB049;MB050;MB135;MB165;MB118;MB151;MB006;MB109;MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT026	7.595338179369034e-07
22	MB127;MB121;MB125;MB103;MB133;MB098;MB099	MT073;MT103;MT109	7.762396290441894e-07
23	MB015;MB019;MB020	MT116;MT143;MT099;MT118;MT130;MT146	7.762396290441894e-07
24	MB100	MT038;MT039	7.973982076009863e-07
25	MB065;MB048;MB113;MB117;MB114;MB115	MT150;MT151;MT152	8.812578163129533e-07
26	MB003	MT104	1.1107512595472846e-06
27	MB023	MT031;MT033	1.5266322967937823e-06
28	MB032;MB038;MB034;MB036	MT100;MT090;MT093;MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	1.6266242651234877e-06
29	MB055;MB058	MT143;MT099;MT118;MT130;MT146	1.667676671837226e-06
30	MB065;MB048;MB113;MB117;MB114;MB115	MT006	1.7913251785287342e-06
31	MB055;MB058	MT019;MT020;MT001;MT127;MT128;MT027;MT035;MT037;MT036;MT038;MT039	1.7913251785287342e-06
32	MB149	MT100;MT090;MT093;MT073;MT103;MT109;MT042;MT045;MT057;MT131;MT041;MT098;MT136	1.7913251785287342e-06
33	MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT032;MT097	2.028765151096885e-06
34	MB019;MB020	MT042;MT045;MT057;MT131;MT041;MT098;MT136	2.028765151096885e-06
35	MB133;MB098;MB099	MT131;MT041;MT098;MT136	2.50871781245699e-06
36	MB028;MB092;MB025;MB091;MB090;MB057;MB077;MB065;MB048;MB113;MB117;MB114;MB115	MT148;MT149;MT007;MT012	2.527912546771093e-06
37	MB116;MB120;MB122	MT126;MT104;MT070;MT081	2.8583063205676818e-06
38	MB157	MT051;MT065;MT005;MT018;MT009;MT016;MT024;MT025;MT102;MT079;MT141;MT004;MT043;MT080;MT139;MT084;MT108;MT040;MT066;MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069;MT111;MT134;MT105;MT089;MT110;MT054;MT121	2.8583063205676818e-06
39	MB010;MB018	MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	3.284835791564689e-06
40	MB125	MT146	3.6562556082923945e-06
41	MB106	MT038;MT039	3.722328655066667e-06
42	MB135;MB165;MB118;MB151;MB006;MB109	MT147;MT106;MT123;MT107;MT120	3.733871490707386e-06
43	MB120	MT035;MT037	4.14993718741019e-06
44	MB154;MB155;MB137;MB142;MB003;MB004;MB163;MB164;MB161;MB162	MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	4.155058927334914e-06
45	MB135;MB165;MB118;MB151;MB006;MB109	MT011;MT088;MT021;MT023;MT083;MT142;MT150;MT151;MT152;MT006;MT063;MT003;MT078	4.819510482571288e-06
46	MB017	MT042;MT045;MT057;MT131;MT041;MT098;MT136	5.194576928015119e-06
47	MB087;MB081;MB084;MB076;MB055;MB058	MT040	5.194576928015119e-06
48	MB116;MB120;MB122;MB127;MB121;MB125;MB103;MB133;MB098;MB099	MT106;MT123;MT107;MT120	5.266996949541065e-06
49	MB165	MT100	5.266996949541065e-06
50	MB119;MB130;MB046;MB124	MT148;MT149;MT007;MT012	5.266996949541065e-06
51	MB019;MB020	MT148;MT149;MT007;MT012;MT044;MT059	5.266996949541065e-06
52	MB136	MT084;MT108;MT040;MT066;MT092;MT072;MT115;MT049;MT062;MT055;MT053;MT048;MT069	5.49446220852417e-06
53	MB119;MB130;MB046;MB124	MT151;MT152	6.166294909116369e-06
54	MB116	MT004;MT043;MT080	6.6123446621894895e-06
55	MB131	MT050;MT067	6.714848845989387e-06
56	MB121;MB125;MB103;MB133;MB098;MB099	MT150;MT151;MT152;MT006;MT063;MT003;MT078	7.0287417692814355e-06
57	MB121;MB125	MT057;MT131;MT041;MT098;MT136	7.0287417692814355e-06
58	MB032;MB038;MB034;MB036	MT148;MT149;MT007;MT012	8.23764854845771e-06
59	MB028;MB092;MB025;MB091;MB090;MB057;MB077	MT114	8.775651529444614e-06
60	MB122	MT073;MT103;MT109	9.540866223974264e-06
61	MB149	MT149;MT007;MT012	1.0028310187139698e-05
62	MB001	MT071;MT050;MT067	1.0429615633655387e-05
63	MB136;MB017;MB022;MB021;MB012;MB016;MB011;MB013;MB014;MB010;MB018;MB015;MB019;MB020	MT018;MT009;MT016	1.0635619967600085e-05
64	MB001	MT003	1.0793277228755512e-05
65	MB060;MB062	MT027	1.1146696880292538e-05
66	MB136	MT111;MT134;MT105;MT089;MT110;MT054;MT121	1.2513940545160578e-05
