EvidenceID	ClaimID	CitationKey	DOI	Year	Title	Journal	StudyDesign	PopulationModel	NLabel	ShotgunStrainResolved	IndependentReplication	EvidenceRole	MainObservation	Boundary	Replicated association	Temporality and reversibility	Human causal bridge	Randomized human intervention	Isolation or defined product	Host transfer or perturbation	Molecular perturbation and rescue
E01	C1	vannood2013fmt	10.1056/nejmoa1205037	2013	Duodenal Infusion of Donor Feces for Recurrent Clostridium difficile	New England Journal of Medicine	Open-label randomized controlled trial	Adults with recurrent CDI	42 evaluable: 16 FMT, 13 vancomycin, 13 vancomycin plus lavage	0	0	Direct	Overall cure without relapse was 15/16 after donor FMT versus 4/13 and 3/13 in the two control groups.	Tests a protocol-level donor-feces intervention; it does not isolate the active microbial component.	Supporting	Direct	Not addressed	Direct	Not addressed	Direct	Not addressed
E02	C1	feuerstadt2022ser109	10.1056/nejmoa2106516	2022	SER-109, an Oral Microbiome Therapy for Recurrent Clostridioides difficile Infection	New England Journal of Medicine	Phase 3 double-blind randomized placebo-controlled trial	Adults with recurrent CDI after standard-of-care antibiotics	182: 89 SER-109, 93 placebo	0	1	Direct	Week-8 recurrence was 11/89 with SER-109 and 37/93 with placebo (RR 0.32, 95% CI 0.18-0.58).	Tests a purified donor-derived Firmicutes spore product, not C. scindens as a single active ingredient.	Not addressed	Direct	Not addressed	Direct	Direct	Direct	Supporting
E03	C1	smillie2018engraftment	10.1016/j.chom.2018.01.003	2018	Strain Tracking Reveals the Determinants of Bacterial Engraftment in the Human Gut Following Fecal Microbiota Transplantation	Cell Host & Microbe	Longitudinal shotgun strain-tracking clinical experiment	19 recurrent-CDI FMT recipients and four donors	19 recipients; 4 donors	1	1	Supporting	Donor and recipient strain signatures were tracked over time; engraftment depended on abundance, phylogeny, and recipient context.	Engraftment is a post-treatment event and is not, by itself, a randomized mediator of cure.	Supporting	Direct	Not addressed	Not addressed	Not addressed	Direct	Not addressed
E04	C1	li2016fmtstrains	10.1126/science.aad8852	2016	Durable coexistence of donor and recipient strains after fecal microbiota transplantation	Science	Longitudinal shotgun SNV tracking after FMT	Metabolic-syndrome FMT recipients	Study-specific longitudinal recipients	1	1	Supporting	Donor and recipient strains coexisted for at least three months with recipient-specific transfer patterns.	Shows strain persistence in another indication; it does not estimate recurrent-CDI treatment efficacy.	Supporting	Direct	Not addressed	Not addressed	Not addressed	Direct	Not addressed
E05	C2	buffie2015cscindens	10.1038/nature13828	2015	Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile	Nature	Cross-species association, isolate transfer, metabolomics, and ex-vivo perturbation	Antibiotic-perturbed mice, hospitalized patients, and ex-vivo intestinal content	Multiple linked mouse, human, and ex-vivo experiments	0	0	Direct	C. scindens administration increased resistance, tracked with secondary bile acids, and bile sequestration altered ex-vivo inhibition.	Demonstrates model-system sufficiency; it does not test C. scindens monotherapy in a randomized human trial.	Direct	Direct	Not addressed	Not addressed	Direct	Direct	Direct
E06	C2	theriot2014metabolome	10.1038/ncomms4114	2014	Antibiotic-induced shifts in the mouse gut microbiome and metabolome increase susceptibility to Clostridium difficile infection	Nature Communications	Controlled antibiotic perturbation with microbiome-metabolome profiling and pathogen challenge	Mouse C. difficile susceptibility model	Study-specific mouse experiments	0	1	Supporting	Antibiotic-specific microbiome and bile-acid shifts preceded altered susceptibility to C. difficile challenge.	Supports a bile-acid ecological mechanism but does not isolate C. scindens as the sole causal component.	Supporting	Direct	Not addressed	Not addressed	Not addressed	Supporting	Supporting
E07	C3	wirbel2019crc	10.1038/s41591-019-0406-6	2019	Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer	Nature Medicine	Cross-cohort fecal-shotgun meta-analysis and external prediction	768 fecal metagenomes from eight CRC studies	768 profiles; 8 cohorts	0	1	Supporting	CRC-associated microbial signatures, including Fusobacterium-related signals, transferred across geographically distinct cohorts.	Replicated case-control association remains vulnerable to disease effects, screening, treatment, diet, and stool-versus-tissue differences.	Direct	Not addressed	Not addressed	Not addressed	Not addressed	Not addressed	Not addressed
E08	C3	kostic2013fusobacterium	10.1016/j.chom.2013.07.007	2013	Fusobacterium nucleatum Potentiates Intestinal Tumorigenesis and Modulates the Tumor-Immune Microenvironment	Cell Host & Microbe	Human association plus cultured-bacterium administration in a tumor-prone mouse model	Human adenoma/CRC samples and ApcMin/+ mice	Human cohorts plus controlled mouse experiments	0	1	Direct	F. nucleatum was enriched in human lesions and accelerated tumorigenesis with a pro-inflammatory myeloid signature in ApcMin/+ mice.	Mouse sufficiency does not estimate the effect of removing F. nucleatum from people at risk of CRC.	Supporting	Supporting	Not addressed	Not addressed	Direct	Direct	Supporting
E09	C3	rubinstein2013fada	10.1016/j.chom.2013.07.012	2013	Fusobacterium nucleatum Promotes Colorectal Carcinogenesis by Modulating E-Cadherin/β-Catenin Signaling via its FadA Adhesin	Cell Host & Microbe	Cultured-bacterium, adhesin, receptor-binding, and peptide-block experiments	CRC cells and human colon tissues	Study-specific cell and tissue experiments	0	1	Direct	FadA bound E-cadherin, activated beta-catenin signaling, and an E-cadherin-derived peptide blocked induced growth and signaling.	Mechanistic specificity in cells/tissues does not establish population attributable risk or clinical benefit from targeting FadA.	Supporting	Not addressed	Not addressed	Not addressed	Direct	Not addressed	Direct
E10	C3	bullman2017fusobacterium	10.1126/science.aal5240	2017	Analysis of Fusobacterium persistence and antibiotic response in colorectal cancer	Science	Paired primary-metastasis analysis, culture, xenograft transfer, and antibiotic perturbation	Human CRC tissues and patient-derived xenografts	Paired human tumors plus xenograft experiments	1	1	Direct	Concordant Fusobacterium strains persisted in primary and metastatic tumors; metronidazole reduced Fusobacterium load and xenograft growth.	A broad anaerobe-active antibiotic in xenografts is not a targeted randomized treatment in patients with CRC.	Direct	Supporting	Not addressed	Not addressed	Direct	Direct	Supporting
