PhageID	ConfirmedLifecycle	DeepPLPrediction	PhaTYPPrediction	DeepPLMatchesConfirmed	PhaTYPMatchesConfirmed	EvidenceStatus	PhysicalState	InterpretationBoundary
vB_Eco_SLUR29	Not reported	NA	NA	False	False	Prediction only or not reported	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
PARMAL1	Unknown	Lytic	Lytic	False	False	Prediction only or not reported	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_Eco_mar002J2	Temperate	Lysogenic	Lytic	True	False	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
HP1	Temperate	Lysogenic	Lysogenic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_Vpa_sm033	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_Eco_mar003J3	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_EcoS_swan01	Temperate	Lysogenic	Lytic	True	False	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
KUW1	Unknown	Lytic	Lytic	False	False	Prediction only or not reported	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
DSS3_PM1	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_Eco_mar001J1	Temperate	Lysogenic	Lytic	True	False	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_Eco_mar005P1	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
vB_VpaS_sm032	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
phix174	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
S-RSM4	Virulent	Lytic	Lytic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
CDMH1	Temperate	Lysogenic	Lysogenic	True	True	Experimentally supported label available	Free virion in mock virome	Free-particle recovery does not prove a virulent-only lifecycle
