PhageID	ReferenceLengthBp	MappedRecords	BreadthPct	MeanDepthX	MeanMAPQ	SmokeInput	Interpretation
vB_Eco_SLUR29	48466	98	100	1.01032	46.1	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
PARMAL1	44565	90	99.8541	1	46.5	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_Eco_mar002J2	50343	202	100	2	3.22	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
HP1	32355	65	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_Vpa_sm033	320253	641	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_Eco_mar003J3	115471	231	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_EcoS_swan01	50865	101	99.017	0.99017	46.9	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
KUW1	44509	89	99.9798	0.999798	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
DSS3_PM1	70044	141	99.9372	1	46.7	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_Eco_mar005P1	167773	336	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_VpaS_sm032	79660	160	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
phix174	5386	11	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
S-RSM4	194454	389	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
CDMH1	54279	109	100	1	47	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
vB_Eco_mar001J1	50343	0	0	0	0	the 15 reference FASTA records read back as sequences	implementation check only; not a biological abundance estimate
