PhageID	Library1BreadthPct	Library1MeanDepthX	Library1Present	Library2BreadthPct	Library2MeanDepthX	Library2Present	Library3BreadthPct	Library3MeanDepthX	Library3Present	ReplicatesPresent	PrevalenceFraction
vB_Eco_SLUR29	91.6758	128.229	True	94.0691	163.855	True	90.369	78.8947	True	3	1.0
PARMAL1	100.0	257.51	True	100.0	792.204	True	100.0	283.657	True	3	1.0
vB_Eco_mar002J2	100.0	2232.39	True	100.0	2717.09	True	100.0	1409.77	True	3	1.0
HP1	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0	0.0
vB_Vpa_sm033	100.0	332.182	True	100.0	364.355	True	100.0	210.966	True	3	1.0
vB_Eco_mar003J3	100.0	602.431	True	100.0	805.091	True	100.0	422.613	True	3	1.0
vB_EcoS_swan01	100.0	2314.79	True	100.0	2995.61	True	100.0	1548.88	True	3	1.0
KUW1	99.9978	36.8021	True	100.0	139.115	True	100.0	49.0308	True	3	1.0
DSS3_PM1	98.5509	708.746	True	98.4995	990.308	True	98.5138	531.888	True	3	1.0
vB_Eco_mar001J1	100.0	2228.27	True	100.0	2716.82	True	100.0	1406.65	True	3	1.0
vB_Eco_mar005P1	0.394581	0.0231026	False	0.267027	0.0282882	False	0.163316	0.0196158	False	0	0.0
vB_VpaS_sm032	73.2852	2.3816	False	94.1891	5.24851	True	80.3691	3.07074	True	2	0.666667
phix174	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0	0.0
S-RSM4	69.6391	2.94111	False	98.2973	9.05103	True	61.2587	2.15392	False	1	0.333333
CDMH1	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0	0.0
