VOTURepresentative	MemberCount	Members	MinANIPct	MinTargetCoveragePct	AbundanceRule
vB_Vpa_sm033	1	vB_Vpa_sm033	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
S-RSM4	1	S-RSM4	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
vB_Eco_mar005P1	1	vB_Eco_mar005P1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
vB_Eco_mar003J3	1	vB_Eco_mar003J3	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
vB_VpaS_sm032	1	vB_VpaS_sm032	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
DSS3_PM1	1	DSS3_PM1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
CDMH1	1	CDMH1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
vB_EcoS_swan01	4	vB_EcoS_swan01,vB_Eco_mar002J2,vB_Eco_mar001J1,vB_Eco_SLUR29	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
PARMAL1	1	PARMAL1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
KUW1	1	KUW1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
HP1	1	HP1	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
phix174	1	phix174	95	85	map once to a nonredundant vOTU catalog; do not sum member depths
