PhageID	Accession	VOTURepresentative	VOTUMemberCount	geNomadFamily	geNomadTaxonomyAgreement	geNomadLineage	geNomadVirusScore	geNomadTopology	TaxonomyDatabase
vB_Eco_SLUR29	NC_054895.1	vB_EcoS_swan01	4	Drexlerviridae	0.8257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae	0.9811	No terminal repeats	geNomad DB v1.9; ICTV MSL39
PARMAL1	OQ376858.1	PARMAL1	1	Autographiviridae	0.8479	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae	0.9818	DTR	geNomad DB v1.9; ICTV MSL39
vB_Eco_mar002J2	LR027385.1	vB_EcoS_swan01	4	Drexlerviridae	0.8269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae	0.9811	DTR	geNomad DB v1.9; ICTV MSL39
HP1	NC_001697.1	HP1	1	Unclassified at family	1.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9712	No terminal repeats	geNomad DB v1.9; ICTV MSL39
vB_Vpa_sm033	OV032902.1	vB_Vpa_sm033	1	Unclassified at family	1.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9796	DTR	geNomad DB v1.9; ICTV MSL39
vB_Eco_mar003J3	LR027389.1	vB_Eco_mar003J3	1	Demerecviridae	0.9066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae	0.9827	DTR	geNomad DB v1.9; ICTV MSL39
vB_EcoS_swan01	LT841304.1	vB_EcoS_swan01	4	Drexlerviridae	0.8492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae	0.9801	DTR	geNomad DB v1.9; ICTV MSL39
KUW1	OQ376857.1	KUW1	1	Autographiviridae	0.8059	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae	0.9809	DTR	geNomad DB v1.9; ICTV MSL39
DSS3_PM1	MN602267.1	DSS3_PM1	1	Naomviridae	0.5422	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Naomviridae	0.9817	DTR	geNomad DB v1.9; ICTV MSL39
vB_Eco_mar001J1	LR027388.1	vB_EcoS_swan01	4	Drexlerviridae	0.8250	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae	0.9814	DTR	geNomad DB v1.9; ICTV MSL39
vB_Eco_mar005P1	LR027390.1	vB_Eco_mar005P1	1	Straboviridae	0.9583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae	0.9814	DTR	geNomad DB v1.9; ICTV MSL39
vB_VpaS_sm032	OV032860.1	vB_VpaS_sm032	1	Unclassified at family	1.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9785	DTR	geNomad DB v1.9; ICTV MSL39
phix174	NC_001422.1	phix174	1	Microviridae	1.0000	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	0.9820	No terminal repeats	geNomad DB v1.9; ICTV MSL39
S-RSM4	FM207411.1	S-RSM4	1	Kyanoviridae	0.9092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae	0.9824	No terminal repeats	geNomad DB v1.9; ICTV MSL39
CDMH1	NC_024144.1	CDMH1	1	Unclassified at family	1.0000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9712	No terminal repeats	geNomad DB v1.9; ICTV MSL39
