Dataset	BreadthThresholdPct	MinimumMeanDepthX	PhagesDetected	PhagesTested
lib1_illumina	50	1.0	11	15
lib1_illumina	70	1.0	10	15
lib1_illumina	75	1.0	9	15
lib1_illumina	90	1.0	9	15
lib2_illumina	50	1.0	11	15
lib2_illumina	70	1.0	11	15
lib2_illumina	75	1.0	11	15
lib2_illumina	90	1.0	11	15
lib3_illumina	50	1.0	11	15
lib3_illumina	70	1.0	10	15
lib3_illumina	75	1.0	10	15
lib3_illumina	90	1.0	9	15
pooled_illumina	50	1.0	11	15
pooled_illumina	70	1.0	11	15
pooled_illumina	75	1.0	11	15
pooled_illumina	90	1.0	11	15
