LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT	MediatorDefinition	CohortPrevalence
LKT__s__Faecalibacterium_prausnitzii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii	LKT__s__Faecalibacterium_prausnitzii	Primary: genus Faecalibacterium	0.9893617021276596
LKT__s__Faecalibacterium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_Unclassified_OM04_11BH	LKT__s__Faecalibacterium_Unclassified	Primary: genus Faecalibacterium	0.9680851063829787
LKT__g__Faecalibacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Unclassified	LKT__g__Faecalibacterium	Primary: genus Faecalibacterium	0.9680851063829787
LKT__s__Faecalibacterium_prausnitzii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii	LKT__s__Faecalibacterium_prausnitzii	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Ruminococcus_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_Unclassified_AM41_10BH	LKT__s__Ruminococcus_Unclassified	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Ruminococcaceae_bacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Ruminococcaceae_bacterium	LKT__s__Ruminococcaceae_bacterium	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Eubacterium_siraeum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Eubacterium_siraeum	LKT__s__Eubacterium_siraeum	Sensitivity: family Ruminococcaceae	0.925531914893617
LKT__s__Flavonifractor_plautii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Flavonifractor	s__Flavonifractor_plautii	LKT__s__Flavonifractor_plautii	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Ruminococcus_flavefaciens	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_flavefaciens	LKT__s__Ruminococcus_flavefaciens	Sensitivity: family Ruminococcaceae	0.9680851063829787
LKT__s__Gemmiger_formicilis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger_formicilis	LKT__s__Gemmiger_formicilis	Sensitivity: family Ruminococcaceae	0.9787234042553191
LKT__f__Ruminococcaceae	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Unclassified	s__Unclassified	LKT__f__Ruminococcaceae	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Clostridium_leptum	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Missing	s__Clostridium_leptum	LKT__s__Clostridium_leptum	Sensitivity: family Ruminococcaceae	0.925531914893617
LKT__g__Ruminococcus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Unclassified	LKT__g__Ruminococcus	Sensitivity: family Ruminococcaceae	0.9893617021276596
LKT__s__Subdoligranulum_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Subdoligranulum	s__Subdoligranulum_Unclassified_AM16_9	LKT__s__Subdoligranulum_Unclassified	Sensitivity: family Ruminococcaceae	0.9787234042553191
LKT__s__Ruthenibacterium_lactatiformans	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium_lactatiformans	LKT__s__Ruthenibacterium_lactatiformans	Sensitivity: family Ruminococcaceae	0.9680851063829787
LKT__s__Faecalibacterium_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_Unclassified_OM04_11BH	LKT__s__Faecalibacterium_Unclassified	Sensitivity: family Ruminococcaceae	0.9680851063829787
