Variant	Effect	Estimate	CILower	CIUpper	BootstrapP	ValidBootstrap
Primary	P00	0.588321720140451	0.474118299652044	0.699119608006708	NA	5000
Primary	P10	0.794297624482404	0.607962815744131	0.952131693096085	NA	5000
Primary	P11	0.804170196787868	0.63323436248392	0.953206104359217	NA	5000
Primary	P01	0.60198883983883	0.481396557997952	0.719158235846364	NA	5000
Primary	Direct	0.205975904341953	-0.00276644599231639	0.401464774850973	0.0524	5000
Primary	Indirect	0.00987257230546446	-0.0184810042268863	0.0567649142082103	0.5088	5000
Primary	Total	0.215848476647417	0.0178502370947587	0.407013016542319	0.036	5000
Primary	ProportionMediated	0.0457384386436558	-0.168864965802539	0.556452643491351	NA	5000
Exposure-mediator interaction	P00	0.588786753518905	0.476837181203712	0.703562286894191	NA	1892
Exposure-mediator interaction	P10	0.662120124603512	0.433287596358898	0.933231498231949	NA	1892
Exposure-mediator interaction	P11	0.750100889107579	0.590834110023525	0.93527807847046	NA	1892
Exposure-mediator interaction	P01	0.59755464973116	0.475540295999551	0.719877567420127	NA	1892
Exposure-mediator interaction	Direct	0.073333371084607	-0.180233117287501	0.373263639790199	0.620507399577167	1892
Exposure-mediator interaction	Indirect	0.0879807645040668	-0.0188984775444623	0.214727790921218	0.161733615221987	1892
Exposure-mediator interaction	Total	0.161314135588674	-0.027316665066366	0.379809849498045	0.114164904862579	1892
Exposure-mediator interaction	ProportionMediated	0.545400216682834	-4.85003823801203	5.88417430634207	NA	1892
Sequencing-QC subset	P00	0.581409957732655	0.464185388516079	0.693293377386176	NA	2000
Sequencing-QC subset	P10	0.786734153429786	0.600015781434866	0.95371819885194	NA	2000
Sequencing-QC subset	P11	0.803649672154469	0.633827061929036	0.956446617635801	NA	2000
Sequencing-QC subset	P01	0.604468427216382	0.481681008010862	0.718890358100918	NA	2000
Sequencing-QC subset	Direct	0.205324195697131	0.000268336781239495	0.402533519352042	0.05	2000
Sequencing-QC subset	Indirect	0.0169155187246833	-0.0130183553046157	0.0674536451730466	0.313	2000
Sequencing-QC subset	Total	0.222239714421814	0.0270067349272725	0.406555037504378	0.029	2000
Sequencing-QC subset	ProportionMediated	0.0761138429676769	-0.0991049869527968	0.660978316609121	NA	2000
Ruminococcaceae mediator	P00	0.588421517215042	0.474155652825367	0.696622320523951	NA	2000
Ruminococcaceae mediator	P10	0.798072768456043	0.621223252005677	0.95427654722977	NA	2000
Ruminococcaceae mediator	P11	0.806023021585698	0.627285871062408	0.956842915588158	NA	2000
Ruminococcaceae mediator	P01	0.599513095762008	0.484457138908855	0.707084110296935	NA	2000
Ruminococcaceae mediator	Direct	0.209651251241001	0.0157467291613258	0.406836738153682	0.04	2000
Ruminococcaceae mediator	Indirect	0.00795025312965447	-0.0110816027464895	0.0371977347799762	0.483	2000
Ruminococcaceae mediator	Total	0.217601504370656	0.0213295850269398	0.410490838510383	0.035	2000
Ruminococcaceae mediator	ProportionMediated	0.0365358371609061	-0.109252036299128	0.276939880432484	NA	2000
