Model	Scale	Term	Estimate	StandardError	CILower	CIUpper	TestStatistic	PValue	OddsRatio	OddsRatioLower	OddsRatioUpper
Mediator model	Mediator log2 PPM difference	(Intercept)	13.4582161685105	0.45105992298761	12.5741387194548	14.3422936175662	29.8368697430921	8.43570056486705e-48	NA	NA	NA
Mediator model	Mediator log2 PPM difference	A	1.15311028737366	0.646914797333624	-0.114842715400243	2.42106329014756	1.7824762891905	0.0781204044545421	NA	NA	NA
Mediator model	Mediator log2 PPM difference	PrimarySubtypeMucosal_or_acral	-0.274913773364914	0.702586622020976	-1.65198355252603	1.1021560057962	-0.391288084270848	0.696530128049285	NA	NA	NA
Mediator model	Mediator log2 PPM difference	AdvancedSubstageStage_M1D	0.804905536816919	0.606722541469972	-0.384270644464226	1.99408171809807	1.32664518260157	0.188058514216844	NA	NA	NA
Mediator model	Mediator log2 PPM difference	LDHYes	0.684267678267301	0.633300896829999	-0.557002079519497	1.9255374360541	1.08047798715021	0.282881679782335	NA	NA	NA
Mediator model	Mediator log2 PPM difference	BMIz	-0.209455285297495	0.285807627336483	-0.769638234877001	0.350727664282012	-0.732854078281479	0.465595083644081	NA	NA	NA
Outcome model	Log odds / odds ratio	(Intercept)	-1.31811906181194	1.26505055722392	-3.79761815397082	1.16138003034695	-1.04194971045621	0.297434995185332	0.267638239805913	0.0224241190975176	3.19433851982782
Outcome model	Log odds / odds ratio	A	1.1661531395172	0.656456216402706	-0.120501044632104	2.4528073236665	1.77643704237819	0.0756609101907555	3.20962189189519	0.886476161303437	11.620924666249
Outcome model	Log odds / odds ratio	M	0.0598749678135004	0.0883477067300638	-0.113286537377425	0.233036473004425	0.67771954733858	0.497949530083523	1.06170379109976	0.892894775730192	1.26242752301221
Outcome model	Log odds / odds ratio	PrimarySubtypeMucosal_or_acral	-0.0854449083065761	0.640993863624258	-1.34179288101012	1.17090306439697	-0.133300665038289	0.893955601670397	0.918103721549678	0.261376631043432	3.22490361957149
Outcome model	Log odds / odds ratio	AdvancedSubstageStage_M1D	1.9131904440096	0.598488500863375	0.740152982317389	3.08622790570182	3.19670376498404	0.00139007606061985	6.77466855643464	2.09625618009393	21.8943345214075
Outcome model	Log odds / odds ratio	LDHYes	0.830261673693769	0.555064344714271	-0.257664441946202	1.91818778933374	1.49579356267454	0.134707459396788	2.29391891997213	0.772854526161059	6.80860864921626
Outcome model	Log odds / odds ratio	BMIz	0.185879627407555	0.255216068439573	-0.314343866734009	0.686103121549119	0.728322587774544	0.466416138446508	1.20427728967317	0.730267870151997	1.98596138444473
Total-association model	Log odds / odds ratio	(Intercept)	-0.502336178686623	0.368648478096119	-1.22488719575502	0.22021483838177	-1.3626427573523	0.172995126502811	0.605115349565029	0.2937908393082	1.24634446445447
Total-association model	Log odds / odds ratio	A	1.24822529855463	0.645715085584226	-0.0173762691904553	2.51382686629971	1.9330898819334	0.053225126301266	3.48415413405165	0.982773827543869	12.3521095999958
Total-association model	Log odds / odds ratio	PrimarySubtypeMucosal_or_acral	-0.140407242338552	0.62923913572377	-1.37371594835714	1.09290146368004	-0.223138127251178	0.823428005077235	0.869004267998131	0.253164463431888	2.9829163523266
Total-association model	Log odds / odds ratio	AdvancedSubstageStage_M1D	1.95700760623506	0.59591340558185	0.789017331294638	3.12499788117549	3.28404695699745	0.00102327871429397	7.07811483661044	2.20123228103539	22.7598468693543
Total-association model	Log odds / odds ratio	LDHYes	0.852576631669043	0.55033244952239	-0.226074969394841	1.93122823273293	1.54920290891253	0.121332950427017	2.34568303326751	0.797658299464034	6.89797736230683
Total-association model	Log odds / odds ratio	BMIz	0.170324698256425	0.253851872923736	-0.327224972674098	0.667874369186947	0.670960967491442	0.502245395393913	1.18568978022841	0.72092153713532	1.95008774536613
Outcome interaction sensitivity	Log odds / odds ratio	(Intercept)	-1.00341522225487	1.28890690443991	-3.5296727549571	1.52284231044735	-0.778500928809054	0.436273759290711	0.366625194102196	0.0293145073247837	4.58523936497591
Outcome interaction sensitivity	Log odds / odds ratio	A	-6.84078599367171	7.97698482127936	-22.4756762433792	8.79410425603584	-0.85756537676031	0.391132500315771	0.00106926263560031	1.73355582032378e-10	6595.24527844381
Outcome interaction sensitivity	Log odds / odds ratio	M	0.0382358937948354	0.0902029329905839	-0.138561854866709	0.21503364245638	0.423887478235622	0.671647876610753	1.03897629203367	0.870609398175316	1.2399036096675
Outcome interaction sensitivity	Log odds / odds ratio	PrimarySubtypeMucosal_or_acral	-0.216645495745385	0.661006333041449	-1.51221790850663	1.07892691701586	-0.327751013743767	0.743099928494269	0.805215370988854	0.220420562779733	2.94152136034893
Outcome interaction sensitivity	Log odds / odds ratio	AdvancedSubstageStage_M1D	1.96379980835605	0.606293080640135	0.775465370301384	3.15213424641071	3.23902724781657	0.00119938114787038	7.12635446441021	2.17160249137436	23.3859226788226
Outcome interaction sensitivity	Log odds / odds ratio	LDHYes	0.805998490598139	0.558110353629381	-0.287897802515448	1.89989478371173	1.44415613392001	0.148695060952251	2.23893093459086	0.749838219903292	6.68519101428895
Outcome interaction sensitivity	Log odds / odds ratio	BMIz	0.137896083573967	0.260001894311498	-0.371707629276569	0.647499796424504	0.530365688062101	0.595858410869721	1.14785626295588	0.689555818988902	1.91075756903772
Outcome interaction sensitivity	Log odds / odds ratio	A:M	0.537710998571052	0.539879810026409	-0.520453429080711	1.59587542622281	0.995982788363114	0.319258507994023	1.71208341212971	0.594251036171526	4.93264534963912
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	(Intercept)	11.921468280109	1.5273167840019	8.92792738346526	14.9150091767527	7.80549811603077	1.15449813601382e-11	NA	NA	NA
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	I(FiberGrams/5)	0.498526167418074	0.413551024977439	-0.312033841537706	1.30908617637385	1.20547680288127	0.231250760141818	NA	NA	NA
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	PrimarySubtypeMucosal_or_acral	-0.257136270527073	0.711530062168728	-1.65173519237778	1.13746265132363	-0.361384970500511	0.718677892489205	NA	NA	NA
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	AdvancedSubstageStage_M1D	0.855171259424063	0.612439188809046	-0.345209550641666	2.05555206948979	1.39633660786312	0.166125435739026	NA	NA	NA
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	LDHYes	0.714388274206477	0.639237775550149	-0.538517765871815	1.96729431428477	1.11756266843218	0.266795618197957	NA	NA	NA
Continuous-fiber mediator model	Mediator log2 PPM difference per 5 g/day	BMIz	-0.218703279226151	0.290321216136572	-0.787732862853833	0.350326304401531	-0.753314835672462	0.453271475760594	NA	NA	NA
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	(Intercept)	-3.33643667923627	1.76661872838325	-6.79900938686743	0.1261360283949	-1.88860031065654	0.0589454053513104	0.0355634562123523	0.00111487901479526	1.13443647336044
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	I(FiberGrams/5)	0.580259149051172	0.396139963738588	-0.196175179876461	1.35669347797881	1.46478316293805	0.142980086957118	1.78650134089353	0.821868247288681	3.88333172810038
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	M	0.0739422003764116	0.0879163851864199	-0.0983739145889715	0.246258315341795	0.841051417430583	0.400319130142109	1.07674456826685	0.906309957874086	1.27922997559432
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	PrimarySubtypeMucosal_or_acral	-0.0146801883583749	0.639999697775795	-1.26907959599893	1.23971921928218	-0.0229378051417732	0.981699884178761	0.985427040253394	0.281090219315539	3.4546433313373
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	AdvancedSubstageStage_M1D	1.87718771595305	0.592643121208048	0.715607198385277	3.03876823352083	3.16748418867425	0.00153764071278549	6.53510043638211	2.04542828602298	20.8795087099533
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	LDHYes	0.819318666820536	0.549919088883702	-0.25852274739152	1.89716008103259	1.48988948262134	0.13625329741861	2.26895339753939	0.772191465507806	6.66693397967048
Continuous-fiber outcome model	Log odds / odds ratio per 5 g/day	BMIz	0.191801856173394	0.256987468395843	-0.311893581882458	0.695497294229246	0.746347117120738	0.455457755827987	1.2114304557162	0.732059428469547	2.00470575470199
