Category	CheckID	Status	Detail
Chapter	section-1	PASS	## 这一步对应论文里的哪张图
Chapter	section-2	PASS	## 理论：
Chapter	section-3	PASS	## 准备工作
Chapter	section-4	PASS	## 可复制代码
Chapter	section-5	PASS	## 审计与升级
Chapter	section-6	PASS	## 出版级美化
Chapter	section-7	PASS	## 常见坑
Chapter	section-8	PASS	## 这段 Methods 怎么写
Chapter	section-9	PASS	## 换成你自己的数据怎么做
Chapter	section-10	PASS	## 参考
Chapter	not-draft	PASS	draft
Chapter	eval-false	PASS	eval
Chapter	no-result-placeholder	PASS	placeholder
Chapter	methods-version	PASS	Methods contract
Chapter	seed	PASS	20260733
Chapter	truth-counts	PASS	71/87/1,271
Chapter	hardware	PASS	resource labels
Chapter	no-meta-prose	PASS	[]
Chapter	figure-reference-33-qc-evidence-ladder	PASS	33-qc-evidence-ladder
Chapter	figure-reference-33-n50-na50-correctness	PASS	33-n50-na50-correctness
Chapter	figure-reference-33-recovery-error-tradeoff	PASS	33-recovery-error-tradeoff
Chapter	figure-reference-33-diagnostic-task-gates	PASS	33-diagnostic-task-gates
