Branch	EvaluationSet	EvidenceClass	N50Bp	NA50Bp	GenomeFractionPct	Misassemblies	RecoveredGenomesGe90Pct	Status
sr-megahit-m1	MOCK1	biological	6197	6110	24.072	88	12	PASS
sr-metaspades-m1	MOCK1	biological	7353	7255	25.35	79	13	PASS
sr-megahit-m2	MOCK2	biological	5906	5845	19.275	100	12	PASS
sr-metaspades-m2	MOCK2	biological	6781	6671	20.286	87	14	PASS
sr-megahit-co	MOCK1+MOCK2	biological	15928	15562	29.523	155	20	PASS
sr-metaspades-co	MOCK1+MOCK2	biological	17124	16938	30.953	129	21	PASS
lr-flye-ont	MOCK1	biological	441240	194794	51.572	343	32	PASS
lr-flye-hifi	MOCK1	biological	2013697	903979	70.125	284	43	PASS
lr-hifiasm-hifi	MOCK1	biological	2154824	847090	68.678	264	39	PASS
lr-metamdbg-hifi	MOCK1	biological	2007072	749991	72.573	303	45	PASS
sr-spades-10m	MOCK1	biological	26020	25703	59.717	192	37	PASS
hybrid-illumina-ont	MOCK1	biological	72626	65930	64.653	370	40	PASS
hybrid-illumina-hifi	MOCK1	biological	72242	65182	69.266	517	42	PASS
lr-ont-polypolish	MOCK1	biological	440931	198296	53.149	350	34	PASS
lr-ont-careful	MOCK1	biological	440979	198300	53.066	345	34	PASS
diagnostic-fragmented-50kb	MOCK1	diagnostic	50000	50000	70.129	276	43	PASS
diagnostic-chimeric-rotation	MOCK1	diagnostic	2013697	783687	70.125	323	43	PASS
