SampleID	SubjectID	BroadBodySite	BodySubsite	Habitat	PrimaryHabitatIncluded	NumberReads	CandidateRank	Representative	SelectionReason
SRS011061	HMP_2012_158458797	Stool	stool	Stool	TRUE	90085554	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011084	HMP_2012_158479027	Stool	stool	Stool	TRUE	238641707	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011086	HMP_2012_158458797	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	81664789	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011090	HMP_2012_158458797	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	3857363	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011098	HMP_2012_158458797	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	56414058	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011105	HMP_2012_158458797	Nasal cavity	anterior_nares	Anterior nares	TRUE	4103788	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011111	HMP_2012_158458797	Vagina	posterior_fornix	Posterior fornix	TRUE	83056321	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011115	HMP_2012_158479027	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	166408652	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011126	HMP_2012_158479027	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	108042209	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011132	HMP_2012_158479027	Nasal cavity	anterior_nares	Anterior nares	TRUE	511400	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011134	HMP_2012_158499257	Stool	stool	Stool	TRUE	124345431	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011140	HMP_2012_158499257	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	81772451	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011144	HMP_2012_158499257	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	3602113	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011152	HMP_2012_158499257	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	69319249	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011239	HMP_2012_158742018	Stool	stool	Stool	TRUE	133237582	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011243	HMP_2012_158742018	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	72693775	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011247	HMP_2012_158742018	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	25027018	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011255	HMP_2012_158742018	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	40060319	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011263	HMP_2012_158742018	Nasal cavity	anterior_nares	Anterior nares	TRUE	455125	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011269	HMP_2012_158742018	Vagina	posterior_fornix	Posterior fornix	TRUE	5407699	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011271	HMP_2012_158802708	Stool	stool	Stool	TRUE	132460058	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011302	HMP_2012_158944319	Stool	stool	Stool	TRUE	129846087	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011306	HMP_2012_158944319	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	111715428	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011310	HMP_2012_158944319	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	21006750	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011343	HMP_2012_158944319	Oral cavity	supragingival_plaque	Supragingival plaque	TRUE	45117680	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011355	HMP_2012_158944319	Vagina	posterior_fornix	Posterior fornix	TRUE	10599033	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011397	HMP_2012_158984779	Nasal cavity	anterior_nares	Anterior nares	TRUE	2847663	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011405	HMP_2012_159247771	Stool	stool	Stool	TRUE	129418904	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011452	HMP_2012_159146620	Stool	stool	Stool	TRUE	37700819	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011529	HMP_2012_159166850	Stool	stool	Stool	TRUE	132566003	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS011584	HMP_2012_159247771	Vagina	posterior_fornix	Posterior fornix	TRUE	427897	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
SRS011586	HMP_2012_159733294	Stool	stool	Stool	TRUE	126027880	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012273	HMP_2012_158337416	Stool	stool	Stool	TRUE	115148342	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012279	HMP_2012_158337416	Oral cavity	tongue_dorsum	Tongue dorsum	TRUE	112310475	1	TRUE	maximum finite number_reads; lexical sample_id tie-break
SRS012281	HMP_2012_158337416	Oral cavity	buccal_mucosa	Buccal mucosa	TRUE	1260616	2	FALSE	lower number_reads or lexical tie-break within subject x selected habitat
