Report	Stage	Mate	Module	Status
Clean R1	Clean	R1	Basic Statistics	PASS
Clean R1	Clean	R1	Per base sequence quality	PASS
Clean R1	Clean	R1	Per tile sequence quality	PASS
Clean R1	Clean	R1	Per sequence quality scores	PASS
Clean R1	Clean	R1	Per base sequence content	PASS
Clean R1	Clean	R1	Per sequence GC content	WARN
Clean R1	Clean	R1	Per base N content	PASS
Clean R1	Clean	R1	Sequence Length Distribution	WARN
Clean R1	Clean	R1	Sequence Duplication Levels	PASS
Clean R1	Clean	R1	Overrepresented sequences	PASS
Clean R1	Clean	R1	Adapter Content	PASS
Clean R2	Clean	R2	Basic Statistics	PASS
Clean R2	Clean	R2	Per base sequence quality	PASS
Clean R2	Clean	R2	Per tile sequence quality	PASS
Clean R2	Clean	R2	Per sequence quality scores	PASS
Clean R2	Clean	R2	Per base sequence content	PASS
Clean R2	Clean	R2	Per sequence GC content	WARN
Clean R2	Clean	R2	Per base N content	PASS
Clean R2	Clean	R2	Sequence Length Distribution	WARN
Clean R2	Clean	R2	Sequence Duplication Levels	PASS
Clean R2	Clean	R2	Overrepresented sequences	PASS
Clean R2	Clean	R2	Adapter Content	PASS
Raw R1	Raw	R1	Basic Statistics	PASS
Raw R1	Raw	R1	Per base sequence quality	PASS
Raw R1	Raw	R1	Per tile sequence quality	PASS
Raw R1	Raw	R1	Per sequence quality scores	PASS
Raw R1	Raw	R1	Per base sequence content	PASS
Raw R1	Raw	R1	Per sequence GC content	WARN
Raw R1	Raw	R1	Per base N content	PASS
Raw R1	Raw	R1	Sequence Length Distribution	WARN
Raw R1	Raw	R1	Sequence Duplication Levels	PASS
Raw R1	Raw	R1	Overrepresented sequences	PASS
Raw R1	Raw	R1	Adapter Content	PASS
Raw R2	Raw	R2	Basic Statistics	PASS
Raw R2	Raw	R2	Per base sequence quality	PASS
Raw R2	Raw	R2	Per tile sequence quality	PASS
Raw R2	Raw	R2	Per sequence quality scores	PASS
Raw R2	Raw	R2	Per base sequence content	PASS
Raw R2	Raw	R2	Per sequence GC content	WARN
Raw R2	Raw	R2	Per base N content	PASS
Raw R2	Raw	R2	Sequence Length Distribution	WARN
Raw R2	Raw	R2	Sequence Duplication Levels	PASS
Raw R2	Raw	R2	Overrepresented sequences	PASS
Raw R2	Raw	R2	Adapter Content	PASS
