MAG	X	Y	Taxonomy	Phylum	Class	Genus	Species	Module	Degree	Strength	StableDegree70	StableDegree80	BootstrapExpectedDegree	MeanIncidentStability	WithinModuleDegree	Zi	ZiEstimable	Pi	Role	Betweenness	HarmonicCentrality	TopologyPriority	CandidateEvidence	Label
AA01.MAG15	0.806756862446205	-0.052936290649826	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Thiobacillaceae;JANWZL01	Pseudomonadota	Gammaproteobacteria	JANWZL01	Unclassified	M2	1	0.00782386709731912	0	0	4.065	0.611	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.00373920188527404	FALSE	none	
AA01.MAG18	0.0421356736225913	0.763873893396345	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M6	2	0.0411014569589959	0	0	3.193	0.576	2	0.866025403784439	TRUE	0	Ultra-peripheral	0.00202020202020202	0.00105684205323155	FALSE	none	
AA01.MAG30	-0.164050326994458	0.163273620472089	Bacteria;Chloroflexota;Anaerolineae;B4-G1;DUEL01;SpSt-77	Chloroflexota	Anaerolineae	SpSt-77	Unclassified	M1	1	0.0354092363553083	1	0	4.482	0.7	1	-0.713315875801377	TRUE	0	Ultra-peripheral	0	0.0117865418021698	FALSE	none	
AA01.MAG52	-0.849539283135422	0.165638885329476	Bacteria;Chloroflexota;Anaerolineae;J036;Brachytrichaceae;629B-23;629B-23 sp034434555	Chloroflexota	Anaerolineae	629B-23	629B-23 sp034434555	M3	5	0.356944528994623	2	2	11.044	0.7888	3	0.28347335475692	TRUE	0.48	Peripheral	0.0303030303030303	0.0220131652865118	FALSE	>=2 consensus edges	
AA03.MAG06	-0.216277596113504	-0.870706154497099	Bacteria;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae;CALDSP01	Spirochaetota	Leptospiria	CALDSP01	Unclassified	M5	4	0.136490277135782	1	0	7.645	0.65875	4	1.82574185835055	TRUE	0	Ultra-peripheral	0.105050505050505	0.0116516093359547	FALSE	none	
AA03.MAG56	-0.725726843594666	-0.141365186100363	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M1	11	0.603459327374043	7	5	12.034	0.751636363636364	7	2.42527397772468	TRUE	0.512396694214876	Peripheral	0.271717171717172	0.0263392661455183	TRUE	top-decile degree; >=2 consensus edges	HRBIN16
AA03.MAG56
AB03.MAG30	-0.340531522270602	-0.195315638616449	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M3	8	0.225927750849684	3	1	11.163	0.655	2	-0.377964473009227	TRUE	0.78125	Connector	0.096969696969697	0.0171145825135755	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	HRBIN16
AB03.MAG30
AB07.MAG27	-0.986211251448818	-0.189620317400159	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp000016665	Chloroflexota	Chloroflexia	Roseiflexus	Roseiflexus sp000016665	M1	5	0.331225605834391	3	3	12.084	0.7896	3	0.332880742040642	TRUE	0.56	Peripheral	0.0424242424242424	0.0218412732175013	FALSE	>=2 consensus edges	Roseiflexus
AB07.MAG27
AB22.MAG021	-0.0670242113955136	-0.162471865214898	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Phototrophicaceae;CFX2	Chloroflexota	Anaerolineae	CFX2	Unclassified	M4	11	0.411742688115909	5	1	13.973	0.683818181818182	5	1.96668684412571	TRUE	0.710743801652893	Connector	0.256565656565657	0.019932116843552	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	CFX2
AB22.MAG021
AB22.MAG084	0.475373376227366	-0.513132249964025	Bacteria;Bacteroidota_A;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae	Bacteroidota_A	Ignavibacteria	Unclassified	Unclassified	M2	2	0.0104365706913577	0	0	3.411	0.483	2	0	TRUE	0	Ultra-peripheral	0.0363636363636364	0.00521514421720394	FALSE	none	
AB22.MAG098	1	0.127114907423999	Bacteria;Chloroflexota;Dehalococcoidia;Tepidiformales;Tepidiformaceae;Tepidiforma;Tepidiforma thermophila	Chloroflexota	Dehalococcoidia	Tepidiforma	Tepidiforma thermophila	M7	1	0.0125134804304323	0	0	4.086	0.612	1	-0.866025403784439	TRUE	0	Ultra-peripheral	0	0.000657219601498031	FALSE	none	
AB22.MAG102	0.335725561467622	0.0733178083696315	Bacteria;Desulfobacterota_B;Binatia;DP-6;DP-6	Desulfobacterota_B	Binatia	Unclassified	Unclassified	M4	2	0.102988190410022	1	1	6.663	0.7645	2	-0.207019667802706	TRUE	0	Ultra-peripheral	0.0363636363636364	0.0127586617033004	FALSE	none	
