Source	Target	PartialCorrelation	BootstrapFrequency	Sign	AbsolutePartialCorrelation	X	Y	Xend	Yend
AA01.MAG30	AA03.MAG56	0.0354092363553083	0.7	Positive	0.0354092363553083	-0.164050326994458	0.163273620472089	-0.725726843594666	-0.141365186100363
AA01.MAG52	AA03.MAG56	0.0271944374340334	0.692	Positive	0.0271944374340334	-0.849539283135422	0.165638885329476	-0.725726843594666	-0.141365186100363
AA03.MAG56	AB03.MAG30	0.0553675951940845	0.768	Positive	0.0553675951940845	-0.725726843594666	-0.141365186100363	-0.340531522270602	-0.195315638616449
AA03.MAG56	AB07.MAG27	0.0816585876950628	0.876	Positive	0.0816585876950628	-0.725726843594666	-0.141365186100363	-0.986211251448818	-0.189620317400159
AB03.MAG30	AB22.MAG021	-0.0368352927806944	0.759	Negative	0.0368352927806944	-0.340531522270602	-0.195315638616449	-0.0670242113955136	-0.162471865214898
AB22.MAG021	AB22.MAG102	0.0406256475650763	0.683	Positive	0.0406256475650763	-0.0670242113955136	-0.162471865214898	0.335725561467622	0.0733178083696315
AA01.MAG15	AB31.MAG18	-0.00782386709731912	0.611	Negative	0.00782386709731912	0.806756862446205	-0.052936290649826	0.601950435097702	-0.742735647913657
AA03.MAG56	AB31.MAG19	0.0632803377267362	0.807	Positive	0.0632803377267362	-0.725726843594666	-0.141365186100363	-0.574645292682067	0.239234304150922
AB31.MAG18	AM01.MAG017	0.0394415547509547	0.722	Positive	0.0394415547509547	0.601950435097702	-0.742735647913657	0.824335253669569	-0.554482965876793
AB31.MAG18	AM01.MAG083	-0.0420927525141184	0.835	Negative	0.0420927525141184	0.601950435097702	-0.742735647913657	0.340104541545368	-0.786456608648442
AB03.MAG30	AM02.MAG09	-0.0500762799782784	0.842	Negative	0.0500762799782784	-0.340531522270602	-0.195315638616449	0.143293250944813	-0.467535489675644
AB22.MAG021	AM02.MAG09	0.0795886796998778	0.894	Positive	0.0795886796998778	-0.0670242113955136	-0.162471865214898	0.143293250944813	-0.467535489675644
AB22.MAG084	AM02.MAG09	0.0103651323305877	0.507	Positive	0.0103651323305877	0.475373376227366	-0.513132249964025	0.143293250944813	-0.467535489675644
AB31.MAG18	AM02.MAG09	-0.0225528334599115	0.693	Negative	0.0225528334599115	0.601950435097702	-0.742735647913657	0.143293250944813	-0.467535489675644
AM01.MAG083	AM02.MAG09	0.104408136203833	0.936	Positive	0.104408136203833	0.340104541545368	-0.786456608648442	0.143293250944813	-0.467535489675644
AA03.MAG06	AM02.MAG52	0.0492025711904292	0.755	Positive	0.0492025711904292	-0.216277596113504	-0.870706154497099	0.0529819582635191	-1
AA01.MAG52	AR10.MAG05	-0.0644718408653816	0.915	Negative	0.0644718408653816	-0.849539283135422	0.165638885329476	-0.47650289303922	0.00811681208221038
AB22.MAG021	AR10.MAG05	0.03342120123398	0.593	Positive	0.03342120123398	-0.0670242113955136	-0.162471865214898	-0.47650289303922	0.00811681208221038
AA03.MAG06	AR10.MAG39	0.0271281791345669	0.621	Positive	0.0271281791345669	-0.216277596113504	-0.870706154497099	-0.583361200841456	-0.404946735031059
AA03.MAG56	AR10.MAG39	-0.0535872293775228	0.902	Negative	0.0535872293775228	-0.725726843594666	-0.141365186100363	-0.583361200841456	-0.404946735031059
AB03.MAG30	AR10.MAG39	-0.0255768455941067	0.632	Negative	0.0255768455941067	-0.340531522270602	-0.195315638616449	-0.583361200841456	-0.404946735031059
AB07.MAG27	AR10.MAG39	-0.1052471232772	0.984	Negative	0.1052471232772	-0.986211251448818	-0.189620317400159	-0.583361200841456	-0.404946735031059
AB22.MAG021	AR10.MAG39	0.0639197557314475	0.739	Positive	0.0639197557314475	-0.0670242113955136	-0.162471865214898	-0.583361200841456	-0.404946735031059
AA03.MAG56	AR11.MAG12	0.161296226833804	0.976	Positive	0.161296226833804	-0.725726843594666	-0.141365186100363	-0.885957009339341	-0.42825930465046
AB03.MAG30	AR11.MAG12	0.00259369410231125	0.478	Positive	0.00259369410231125	-0.340531522270602	-0.195315638616449	-0.885957009339341	-0.42825930465046
AB07.MAG27	AR11.MAG12	0.039511510837634	0.681	Positive	0.039511510837634	-0.986211251448818	-0.189620317400159	-0.885957009339341	-0.42825930465046
AR10.MAG39	AR11.MAG12	-0.0670598748076726	0.952	Negative	0.0670598748076726	-0.583361200841456	-0.404946735031059	-0.885957009339341	-0.42825930465046
AB22.MAG098	AR11.MAG18	0.0125134804304323	0.612	Positive	0.0125134804304323	1	0.127114907423999	0.895751914438129	0.381820111706088
AB22.MAG021	AW01.MAG04	-0.0418062271478349	0.738	Negative	0.0418062271478349	-0.0670242113955136	-0.162471865214898	0.130679998337472	0.285189339454037
AB22.MAG084	AY03.MAG59	0.0000714383607700142	0.459	Positive	0.0000714383607700142	0.475373376227366	-0.513132249964025	0.266283875664854	0.935203893469769
AB22.MAG021	AY04.MAG003	0.0181778942981583	0.539	Positive	0.0181778942981583	-0.0670242113955136	-0.162471865214898	0.350597326403661	-0.199697061688021
AA01.MAG52	AY04.MAG035	0.177210356156422	1	Positive	0.177210356156422	-0.849539283135422	0.165638885329476	-1	0.0548050643630957
AA03.MAG56	AY04.MAG035	0.103220338799092	0.892	Positive	0.103220338799092	-0.725726843594666	-0.141365186100363	-1	0.0548050643630957
AB03.MAG30	AY04.MAG035	0.0249643142436301	0.58	Positive	0.0249643142436301	-0.340531522270602	-0.195315638616449	-1	0.0548050643630957
AB07.MAG27	AY04.MAG035	0.0411120066152545	0.596	Positive	0.0411120066152545	-0.986211251448818	-0.189620317400159	-1	0.0548050643630957
AR10.MAG05	AY04.MAG035	-0.0135427958498166	0.602	Negative	0.0135427958498166	-0.47650289303922	0.00811681208221038	-1	0.0548050643630957
AA03.MAG06	AY05.MAG06	0.0277718416688904	0.613	Positive	0.0277718416688904	-0.216277596113504	-0.870706154497099	-0.177354244374174	-0.507735534962848
AB22.MAG021	AY05.MAG06	0.0391288329875994	0.665	Positive	0.0391288329875994	-0.0670242113955136	-0.162471865214898	-0.177354244374174	-0.507735534962848
AR10.MAG05	AY05.MAG06	0.0138432210459439	0.546	Positive	0.0138432210459439	-0.47650289303922	0.00811681208221038	-0.177354244374174	-0.507735534962848
AR10.MAG39	AY05.MAG06	0.027696867406918	0.636	Positive	0.027696867406918	-0.583361200841456	-0.404946735031059	-0.177354244374174	-0.507735534962848
AB03.MAG30	AY06.MAG26	0.0176822682371559	0.632	Positive	0.0176822682371559	-0.340531522270602	-0.195315638616449	-0.108320066428627	0.524644964626511
AB22.MAG021	AY07.MAG42	-0.0236557896925356	0.65	Negative	0.0236557896925356	-0.0670242113955136	-0.162471865214898	-0.417582194579949	-0.658984140632317
AA03.MAG56	AY07.MAG49	0.00252341852589582	0.498	Positive	0.00252341852589582	-0.725726843594666	-0.141365186100363	0.956932758486333	-0.257618163830229
AA01.MAG18	LB01.MAG12	0.0076786159450334	0.551	Positive	0.0076786159450334	0.0421356736225913	0.763873893396345	0.495968267662039	0.800986483713966
AA03.MAG06	LB02.MAG08	0.0323876851418956	0.646	Positive	0.0323876851418956	-0.216277596113504	-0.870706154497099	0.0793327848456544	-0.7626881133604
AR01.MAG32	LB02.MAG08	-0.00754753400650528	0.586	Negative	0.00754753400650528	0.66279629537843	-0.303492833312568	0.0793327848456544	-0.7626881133604
AA03.MAG56	LC04.MAG4	0.00239644830196042	0.563	Positive	0.00239644830196042	-0.725726843594666	-0.141365186100363	-0.765398911528923	-0.657375893759108
AM02.MAG24	LC04.MAG4	0.0495737974554458	0.818	Positive	0.0495737974554458	-0.552307685617919	-0.877816911296723	-0.765398911528923	-0.657375893759108
AR10.MAG39	LC04.MAG4	-0.0463472178246185	0.869	Negative	0.0463472178246185	-0.583361200841456	-0.404946735031059	-0.765398911528923	-0.657375893759108
AR11.MAG12	LC04.MAG4	0.128693552343006	0.994	Positive	0.128693552343006	-0.885957009339341	-0.42825930465046	-0.765398911528923	-0.657375893759108
AY07.MAG42	LC04.MAG4	0.0443171097863472	0.651	Positive	0.0443171097863472	-0.417582194579949	-0.658984140632317	-0.765398911528923	-0.657375893759108
AA01.MAG18	LC04.MAG8	0.0334228410139625	0.601	Positive	0.0334228410139625	0.0421356736225913	0.763873893396345	-0.293828126082575	0.880721213100975
AA01.MAG52	LD01.MAG01	0.026918316558992	0.641	Positive	0.026918316558992	-0.849539283135422	0.165638885329476	-0.70062509628733	0.499292571450612
AB03.MAG30	LD01.MAG01	0.0128314607194224	0.549	Positive	0.0128314607194224	-0.340531522270602	-0.195315638616449	-0.70062509628733	0.499292571450612
AY04.MAG035	LD01.MAG01	0.0639185873381899	0.719	Positive	0.0639185873381899	-1	0.0548050643630957	-0.70062509628733	0.499292571450612
AA01.MAG52	LD01.MAG15	0.0611495779797938	0.696	Positive	0.0611495779797938	-0.849539283135422	0.165638885329476	-0.924909283543664	0.365033377228386
AA03.MAG56	LD01.MAG15	0.0175254711305427	0.594	Positive	0.0175254711305427	-0.725726843594666	-0.141365186100363	-0.924909283543664	0.365033377228386
AB07.MAG27	LD01.MAG15	0.0636963774092399	0.811	Positive	0.0636963774092399	-0.986211251448818	-0.189620317400159	-0.924909283543664	0.365033377228386
LD01.MAG01	LE01.MAG07	-0.00116548085896703	0.441	Negative	0.00116548085896703	-0.70062509628733	0.499292571450612	0.31783616631974	0.56406175960355
LD01.MAG15	LH02.MAG03	0.0567220080003661	0.778	Positive	0.0567220080003661	-0.924909283543664	0.365033377228386	-0.84114585830424	0.69324266648945
LC04.MAG8	LH02.MAG08	0.00800226839606156	0.507	Positive	0.00800226839606156	-0.293828126082575	0.880721213100975	-0.0655669902284519	1
AR11.MAG18	LR01.MAG18	0.0523138840581819	0.698	Positive	0.0523138840581819	0.895751914438129	0.381820111706088	0.622298762782395	0.443696307133829
LE01.MAG05	LR01.MAG18	0.0224318757290588	0.568	Positive	0.0224318757290588	0.743813485237228	0.661413093303213	0.622298762782395	0.443696307133829
LD01.MAG01	LS02.MAG09	0.0918599552038813	0.871	Positive	0.0918599552038813	-0.70062509628733	0.499292571450612	-0.548196338615814	0.793707951267863
