RemovedNodes	RemovedFraction	RandomMedian	RandomLower95	RandomUpper95	TargetedAdaptiveDegree
0	0	0.826086956521739	0.826086956521739	0.826086956521739	0.826086956521739
1	0.0217391304347826	0.804347826086957	0.739130434782609	0.826086956521739	0.739130434782609
2	0.0434782608695652	0.782608695652174	0.652173913043478	0.826086956521739	0.652173913043478
3	0.0652173913043478	0.760869565217391	0.630434782608696	0.804347826086957	0.630434782608696
4	0.0869565217391304	0.717391304347826	0.5875	0.782608695652174	0.456521739130435
5	0.108695652173913	0.695652173913043	0.543478260869565	0.760869565217391	0.434782608695652
6	0.130434782608696	0.673913043478261	0.521739130434783	0.760869565217391	0.434782608695652
7	0.152173913043478	0.652173913043478	0.478260869565217	0.739130434782609	0.217391304347826
8	0.173913043478261	0.608695652173913	0.456521739130435	0.717391304347826	0.152173913043478
9	0.195652173913043	0.58695652173913	0.41304347826087	0.695652173913043	0.152173913043478
10	0.217391304347826	0.565217391304348	0.391304347826087	0.673913043478261	0.108695652173913
11	0.239130434782609	0.543478260869565	0.369565217391304	0.652173913043478	0.0869565217391304
12	0.260869565217391	0.521739130434783	0.326086956521739	0.630434782608696	0.0869565217391304
13	0.282608695652174	0.5	0.304347826086957	0.608695652173913	0.0869565217391304
14	0.304347826086957	0.478260869565217	0.260869565217391	0.58695652173913	0.0869565217391304
15	0.326086956521739	0.434782608695652	0.239130434782609	0.565217391304348	0.0434782608695652
16	0.347826086956522	0.41304347826087	0.217391304347826	0.543478260869565	0.0434782608695652
17	0.369565217391304	0.391304347826087	0.17445652173913	0.521739130434783	0.0434782608695652
18	0.391304347826087	0.369565217391304	0.152173913043478	0.5	0.0434782608695652
19	0.41304347826087	0.347826086956522	0.130434782608696	0.478260869565217	0.0434782608695652
20	0.434782608695652	0.326086956521739	0.130434782608696	0.456521739130435	0.0434782608695652
21	0.456521739130435	0.304347826086957	0.108695652173913	0.434782608695652	0.0217391304347826
22	0.478260869565217	0.282608695652174	0.108695652173913	0.41304347826087	0.0217391304347826
23	0.5	0.260869565217391	0.0869565217391304	0.391304347826087	0.0217391304347826
24	0.521739130434783	0.239130434782609	0.0869565217391304	0.369565217391304	0.0217391304347826
25	0.543478260869565	0.217391304347826	0.0652173913043478	0.369021739130435	0.0217391304347826
26	0.565217391304348	0.195652173913043	0.0652173913043478	0.347826086956522	0.0217391304347826
27	0.58695652173913	0.173913043478261	0.0652173913043478	0.326086956521739	0.0217391304347826
28	0.608695652173913	0.152173913043478	0.0652173913043478	0.304347826086957	0.0217391304347826
29	0.630434782608696	0.152173913043478	0.0434782608695652	0.282608695652174	0.0217391304347826
30	0.652173913043478	0.130434782608696	0.0434782608695652	0.260869565217391	0.0217391304347826
31	0.673913043478261	0.108695652173913	0.0434782608695652	0.239130434782609	0.0217391304347826
32	0.695652173913043	0.108695652173913	0.0434782608695652	0.217391304347826	0.0217391304347826
33	0.717391304347826	0.0869565217391304	0.0434782608695652	0.195652173913043	0.0217391304347826
34	0.739130434782609	0.0869565217391304	0.0434782608695652	0.173913043478261	0.0217391304347826
35	0.760869565217391	0.0652173913043478	0.0217391304347826	0.173913043478261	0.0217391304347826
36	0.782608695652174	0.0652173913043478	0.0217391304347826	0.152173913043478	0.0217391304347826
37	0.804347826086957	0.0434782608695652	0.0217391304347826	0.130434782608696	0.0217391304347826
38	0.826086956521739	0.0434782608695652	0.0217391304347826	0.130434782608696	0.0217391304347826
39	0.847826086956522	0.0434782608695652	0.0217391304347826	0.108695652173913	0.0217391304347826
40	0.869565217391304	0.0434782608695652	0.0217391304347826	0.0869565217391304	0.0217391304347826
41	0.891304347826087	0.0217391304347826	0.0217391304347826	0.0869565217391304	0.0217391304347826
42	0.91304347826087	0.0217391304347826	0.0217391304347826	0.0652173913043478	0.0217391304347826
43	0.934782608695652	0.0217391304347826	0.0217391304347826	0.0434782608695652	0.0217391304347826
44	0.956521739130435	0.0217391304347826	0.0217391304347826	0.0434782608695652	0.0217391304347826
45	0.978260869565217	0.0217391304347826	0.0217391304347826	0.0217391304347826	0.0217391304347826
