Step	RemovedMAG
1	AB22.MAG021
2	AA03.MAG56
3	AR10.MAG39
4	AB03.MAG30
5	AA01.MAG52
6	AB31.MAG18
7	AB07.MAG27
8	LD01.MAG01
9	LC04.MAG4
10	AA03.MAG06
11	LV02.MAG19
12	AM02.MAG09
13	AR10.MAG05
14	LC04.MAG8
15	AR11.MAG18
16	LD01.MAG15
17	LT12.MAG12
18	LB02.MAG08
19	AB22.MAG084
20	LB01.MAG12
21	LE01.MAG05
22	AR11.MAG12
23	AY04.MAG035
24	AY05.MAG06
25	AB22.MAG102
26	AY07.MAG42
27	LS02.MAG09
28	AY04.MAG003
29	AW01.MAG04
30	AY06.MAG26
31	AM02.MAG52
32	AB31.MAG19
33	AM01.MAG083
34	AM01.MAG017
35	AY07.MAG49
36	AA01.MAG30
37	AM02.MAG24
38	AB22.MAG098
39	AA01.MAG15
40	LE01.MAG07
41	LH02.MAG03
42	LH02.MAG08
43	AA01.MAG18
44	LR01.MAG18
45	AY03.MAG59
