Source	Target	PrimaryEdge	PrimaryPartialCorrelation	SelectionFrequency	PositiveFrequency	NegativeFrequency	MeanPartialAcrossAllBootstraps	MeanPartialWhenSelected	SDPartialAcrossAllBootstraps	PrimarySignAgreement	Consensus70	HighStability80	EdgeKey	Sign	AbsolutePartialCorrelation
AA01.MAG52	AY04.MAG035	TRUE	0.177210356156422	1	1	0	0.153365896122337	0.153365896122337	0.0431722532794024	1	TRUE	TRUE	AA01.MAG52||AY04.MAG035	Positive	0.177210356156422
AR11.MAG12	LC04.MAG4	TRUE	0.128693552343006	0.994	0.994	0	0.121577393063477	0.122311260627241	0.0444162032993442	1	TRUE	TRUE	AR11.MAG12||LC04.MAG4	Positive	0.128693552343006
AB07.MAG27	AR10.MAG39	TRUE	-0.1052471232772	0.984	0	0.984	-0.0783451809953424	-0.0796190863773805	0.0303868084240012	1	TRUE	TRUE	AB07.MAG27||AR10.MAG39	Negative	0.1052471232772
AA03.MAG56	AR11.MAG12	TRUE	0.161296226833804	0.976	0.976	0	0.123047072472843	0.126072820156602	0.0553663046700517	1	TRUE	TRUE	AA03.MAG56||AR11.MAG12	Positive	0.161296226833804
AR10.MAG39	AR11.MAG12	TRUE	-0.0670598748076726	0.952	0	0.952	-0.0515319967744044	-0.0541302487126097	0.0260230428077809	1	TRUE	TRUE	AR10.MAG39||AR11.MAG12	Negative	0.0670598748076726
AM01.MAG083	AM02.MAG09	TRUE	0.104408136203833	0.936	0.936	0	0.102049147728661	0.109026867231475	0.0592753320317322	1	TRUE	TRUE	AM01.MAG083||AM02.MAG09	Positive	0.104408136203833
AA01.MAG52	AR10.MAG05	TRUE	-0.0644718408653816	0.915	0	0.915	-0.048371110709553	-0.0528646018683639	0.0290635280015298	1	TRUE	TRUE	AA01.MAG52||AR10.MAG05	Negative	0.0644718408653816
AA03.MAG56	AR10.MAG39	TRUE	-0.0535872293775228	0.902	0	0.902	-0.0390930663365731	-0.0433404283110567	0.0247684037089415	1	TRUE	TRUE	AA03.MAG56||AR10.MAG39	Negative	0.0535872293775228
AB22.MAG021	AM02.MAG09	TRUE	0.0795886796998778	0.894	0.894	0	0.0789547681586906	0.0883162954795196	0.0541149870953176	1	TRUE	TRUE	AB22.MAG021||AM02.MAG09	Positive	0.0795886796998778
AA03.MAG56	AY04.MAG035	TRUE	0.103220338799092	0.892	0.892	0	0.0823907471168986	0.0923663084270164	0.0525493806907738	1	TRUE	TRUE	AA03.MAG56||AY04.MAG035	Positive	0.103220338799092
AA03.MAG56	AB07.MAG27	TRUE	0.0816585876950628	0.876	0.876	0	0.0615466053510834	0.0702586819076295	0.0449025041948947	1	TRUE	TRUE	AA03.MAG56||AB07.MAG27	Positive	0.0816585876950628
LD01.MAG01	LS02.MAG09	TRUE	0.0918599552038813	0.871	0.871	0	0.085876760960931	0.0985955923776475	0.0607165086316853	1	TRUE	TRUE	LD01.MAG01||LS02.MAG09	Positive	0.0918599552038813
AR10.MAG39	LC04.MAG4	TRUE	-0.0463472178246185	0.869	0	0.869	-0.0438456091638923	-0.0504552464486678	0.0297058376251038	1	TRUE	TRUE	AR10.MAG39||LC04.MAG4	Negative	0.0463472178246185
AB22.MAG102	LT12.MAG12	TRUE	0.062362542844946	0.846	0.846	0	0.056565817851824	0.0668626688555839	0.0442361788611133	1	TRUE	TRUE	AB22.MAG102||LT12.MAG12	Positive	0.062362542844946
AB03.MAG30	AM02.MAG09	TRUE	-0.0500762799782784	0.842	0	0.842	-0.0417742854898657	-0.0496131656649237	0.0295823545240293	1	TRUE	TRUE	AB03.MAG30||AM02.MAG09	Negative	0.0500762799782784
AB31.MAG18	AM01.MAG083	TRUE	-0.0420927525141184	0.835	0	0.835	-0.0466452429849603	-0.0558625664490542	0.0353392395615044	1	TRUE	TRUE	AB31.MAG18||AM01.MAG083	Negative	0.0420927525141184
AM02.MAG24	LC04.MAG4	TRUE	0.0495737974554458	0.818	0.818	0	0.0571963819786787	0.069922227357798	0.0456223882238305	1	TRUE	TRUE	AM02.MAG24||LC04.MAG4	Positive	0.0495737974554458
AB07.MAG27	LD01.MAG15	TRUE	0.0636963774092399	0.811	0.811	0	0.0614987459928255	0.0758307595472571	0.0509604364072101	1	TRUE	TRUE	AB07.MAG27||LD01.MAG15	Positive	0.0636963774092399
AA03.MAG56	AB31.MAG19	TRUE	0.0632803377267362	0.807	0.807	0	0.0658123933630596	0.0815519124697145	0.0547332954166469	1	TRUE	TRUE	AA03.MAG56||AB31.MAG19	Positive	0.0632803377267362
LD01.MAG15	LH02.MAG03	TRUE	0.0567220080003661	0.778	0.778	0	0.0640792252460321	0.0823640427326891	0.0562698412772407	1	TRUE	FALSE	LD01.MAG15||LH02.MAG03	Positive	0.0567220080003661
LD01.MAG15	LV02.MAG19	TRUE	0.0961852365322532	0.777	0.777	0	0.0762901515646819	0.0981855232492688	0.0674974564229665	1	TRUE	FALSE	LD01.MAG15||LV02.MAG19	Positive	0.0961852365322532
AA03.MAG56	AB03.MAG30	TRUE	0.0553675951940845	0.768	0.768	0	0.0484272473180868	0.0630563116120921	0.0452787117116666	1	TRUE	FALSE	AA03.MAG56||AB03.MAG30	Positive	0.0553675951940845
AB03.MAG30	AB22.MAG021	TRUE	-0.0368352927806944	0.759	0	0.759	-0.0305746626772054	-0.0402828230266211	0.0264089006778029	1	TRUE	FALSE	AB03.MAG30||AB22.MAG021	Negative	0.0368352927806944
AA03.MAG06	AM02.MAG52	TRUE	0.0492025711904292	0.755	0.755	0	0.0520141682331498	0.0688929380571521	0.0488124349854144	1	TRUE	FALSE	AA03.MAG06||AM02.MAG52	Positive	0.0492025711904292
AB22.MAG021	AR10.MAG39	TRUE	0.0639197557314475	0.739	0.739	0	0.0495912723565705	0.0671059165853458	0.0462030119498915	1	TRUE	FALSE	AB22.MAG021||AR10.MAG39	Positive	0.0639197557314475
AB22.MAG021	AW01.MAG04	TRUE	-0.0418062271478349	0.738	0	0.738	-0.0369524760359106	-0.0500711057397163	0.0333898833622785	1	TRUE	FALSE	AB22.MAG021||AW01.MAG04	Negative	0.0418062271478349
AB31.MAG18	AM01.MAG017	TRUE	0.0394415547509547	0.722	0.722	0	0.055634883309142	0.0770566250819142	0.0540240099640167	1	TRUE	FALSE	AB31.MAG18||AM01.MAG017	Positive	0.0394415547509547
AY04.MAG035	LD01.MAG01	TRUE	0.0639185873381899	0.719	0.719	0	0.0570356049351853	0.0793262933729976	0.0561802374592163	1	TRUE	FALSE	AY04.MAG035||LD01.MAG01	Positive	0.0639185873381899
AB22.MAG021	LV02.MAG19	TRUE	-0.0341918947575887	0.718	0	0.718	-0.029349650734343	-0.040876950883486	0.0271909100766563	1	TRUE	FALSE	AB22.MAG021||LV02.MAG19	Negative	0.0341918947575887
AA01.MAG30	AA03.MAG56	TRUE	0.0354092363553083	0.7	0.7	0	0.0482068275018145	0.0688668964311635	0.0478625423064826	1	TRUE	FALSE	AA01.MAG30||AA03.MAG56	Positive	0.0354092363553083
AR11.MAG18	LR01.MAG18	TRUE	0.0523138840581819	0.698	0.698	0	0.0693760718964924	0.0993926531468373	0.0684833301890811	1	FALSE	FALSE	AR11.MAG18||LR01.MAG18	Positive	0.0523138840581819
AA01.MAG52	LD01.MAG15	TRUE	0.0611495779797938	0.696	0.696	0	0.0558555501884765	0.0802522272822938	0.0547544313928999	1	FALSE	FALSE	AA01.MAG52||LD01.MAG15	Positive	0.0611495779797938
AB31.MAG18	AM02.MAG09	TRUE	-0.0225528334599115	0.693	0	0.693	-0.0263820934965586	-0.038069398984933	0.0263906877168926	1	FALSE	FALSE	AB31.MAG18||AM02.MAG09	Negative	0.0225528334599115
AA01.MAG52	AA03.MAG56	TRUE	0.0271944374340334	0.692	0.692	0	0.0422901842628934	0.0611129830388632	0.042137156818795	1	FALSE	FALSE	AA01.MAG52||AA03.MAG56	Positive	0.0271944374340334
AB22.MAG021	AB22.MAG102	TRUE	0.0406256475650763	0.683	0.683	0	0.0471577754066477	0.0690450591605384	0.0486761893758731	1	FALSE	FALSE	AB22.MAG021||AB22.MAG102	Positive	0.0406256475650763
AB07.MAG27	AR11.MAG12	TRUE	0.039511510837634	0.681	0.681	0	0.0378274702231564	0.0555469459958244	0.0402217362243502	1	FALSE	FALSE	AB07.MAG27||AR11.MAG12	Positive	0.039511510837634
AB22.MAG021	AY05.MAG06	TRUE	0.0391288329875994	0.665	0.665	0	0.0416861469076517	0.0626859351994763	0.0451917412105929	1	FALSE	FALSE	AB22.MAG021||AY05.MAG06	Positive	0.0391288329875994
AY07.MAG42	LC04.MAG4	TRUE	0.0443171097863472	0.651	0.651	0	0.05243112655446	0.0805393649070047	0.0558189697280096	1	FALSE	FALSE	AY07.MAG42||LC04.MAG4	Positive	0.0443171097863472
AB22.MAG021	AY07.MAG42	TRUE	-0.0236557896925356	0.65	0	0.65	-0.0220853445004587	-0.0339774530776288	0.0244362606350464	1	FALSE	FALSE	AB22.MAG021||AY07.MAG42	Negative	0.0236557896925356
AA03.MAG06	LB02.MAG08	TRUE	0.0323876851418956	0.646	0.646	0	0.0489173089805372	0.0757233885147635	0.0555477414937255	1	FALSE	FALSE	AA03.MAG06||LB02.MAG08	Positive	0.0323876851418956
AA01.MAG52	LD01.MAG01	TRUE	0.026918316558992	0.641	0.641	0	0.0424280256362187	0.0661903676072054	0.0476911799194848	1	FALSE	FALSE	AA01.MAG52||LD01.MAG01	Positive	0.026918316558992
AR10.MAG39	AY05.MAG06	TRUE	0.027696867406918	0.636	0.636	0	0.0433202108190531	0.0681135390236684	0.0492437996892728	1	FALSE	FALSE	AR10.MAG39||AY05.MAG06	Positive	0.027696867406918
AB03.MAG30	AR10.MAG39	TRUE	-0.0255768455941067	0.632	0	0.632	-0.0205658467696007	-0.0325408967873428	0.0223360833653174	1	FALSE	FALSE	AB03.MAG30||AR10.MAG39	Negative	0.0255768455941067
AB03.MAG30	AY06.MAG26	TRUE	0.0176822682371559	0.632	0.632	0	0.0476092730846777	0.0753311282985407	0.0526793464348585	1	FALSE	FALSE	AB03.MAG30||AY06.MAG26	Positive	0.0176822682371559
AA03.MAG06	AR10.MAG39	TRUE	0.0271281791345669	0.621	0.621	0	0.04460262915918	0.0718238794833817	0.0496483053344541	1	FALSE	FALSE	AA03.MAG06||AR10.MAG39	Positive	0.0271281791345669
AA03.MAG06	AY05.MAG06	TRUE	0.0277718416688904	0.613	0.613	0	0.0407611068938479	0.0664944647534223	0.0495903705137432	1	FALSE	FALSE	AA03.MAG06||AY05.MAG06	Positive	0.0277718416688904
AB22.MAG098	AR11.MAG18	TRUE	0.0125134804304323	0.612	0.612	0	0.0488959134697381	0.0798952834472845	0.0575156182932448	1	FALSE	FALSE	AB22.MAG098||AR11.MAG18	Positive	0.0125134804304323
AA01.MAG15	AB31.MAG18	TRUE	-0.00782386709731912	0.611	0	0.611	-0.0300830935075687	-0.0492358322546133	0.0343631060497956	1	FALSE	FALSE	AA01.MAG15||AB31.MAG18	Negative	0.00782386709731912
AR10.MAG05	AY04.MAG035	TRUE	-0.0135427958498166	0.602	0	0.602	-0.0199608157773932	-0.0331575012913509	0.0243321209621117	1	FALSE	FALSE	AR10.MAG05||AY04.MAG035	Negative	0.0135427958498166
AA01.MAG18	LC04.MAG8	TRUE	0.0334228410139625	0.601	0.601	0	0.0485512524399776	0.0807841138768346	0.0579080109764353	1	FALSE	FALSE	AA01.MAG18||LC04.MAG8	Positive	0.0334228410139625
AB07.MAG27	AY04.MAG035	TRUE	0.0411120066152545	0.596	0.596	0	0.0376596312301109	0.0631873007216625	0.0455976316460404	1	FALSE	FALSE	AB07.MAG27||AY04.MAG035	Positive	0.0411120066152545
AA03.MAG56	LD01.MAG15	TRUE	0.0175254711305427	0.594	0.594	0	0.0345966753701211	0.0582435612291601	0.0418613496985396	1	FALSE	FALSE	AA03.MAG56||LD01.MAG15	Positive	0.0175254711305427
