BranchID	DatabaseID	ControlID	Confidence	MinimumHitGroups	BrackenReadLength	PrimaryMatrix	HitGroupMatrix	TruthAssemblies	TruthSpecies	ReferencePresentTruthSpecies	DetectedReferencePresentSpecies	DetectedTruthSpecies	ReferenceAwareSpeciesRecall	DetectedSpeciesPrecision	TruthSpeciesFragments	NonTruthSpeciesFragments	TruthSpeciesFragmentPrecision	NonTruthSpeciesPer10k	BrackenTruthFragments	BrackenNonTruthFragments	BrackenTruthFraction	BrackenReferenceAwareTV	ReferenceCoveredExpectedPercent	NoReferenceExpectedPercent
standard8-mock-c000-h2	standard8	mock	0.0	2	150	Yes	No	71	69	63	59	59	0.9365079365079365	0.2757009345794392	56224	4042	0.9329306740118807	404.2363812743147	74092	10055	0.8805067322661533	0.36053462307745804	89.01297472772488	10.999181816871916
standard8-mock-c005-h2	standard8	mock	0.05	2	150	Yes	No	71	69	63	55	55	0.873015873015873	0.8870967741935484	28514	1703	0.9436409967898864	170.31532837955416	51513	4016	0.9276774298114498	0.3665175140041109	89.01297472772488	10.999181816871916
standard8-mock-c010-h2	standard8	mock	0.10	2	150	Yes	No	71	69	63	49	49	0.7777777777777778	0.9607843137254902	5485	269	0.9532499131039277	26.902421217909612	11715	282	0.9764941235308827	0.39784860951608075	89.01297472772488	10.999181816871916
standard8-mock-c020-h2	standard8	mock	0.20	2	150	Yes	No	71	69	63	11	11	0.1746031746031746	1.0	16	0	1.0	0.0	0	0	nan	nan	89.01297472772488	10.999181816871916
standard8-mock-c050-h2	standard8	mock	0.50	2	150	Yes	No	71	69	63	0	0	0.0	nan	0	0	nan	0.0	0	0	nan	nan	89.01297472772488	10.999181816871916
standard16-mock-c000-h2	standard16	mock	0.0	2	150	Yes	No	71	69	63	59	59	0.9365079365079365	0.22180451127819548	62170	4877	0.9272599818038093	487.74389695072557	77646	10798	0.8779114467911899	0.3578352551128526	89.01297472772488	10.999181816871916
standard16-mock-c005-h2	standard16	mock	0.05	2	150	Yes	No	71	69	63	57	57	0.9047619047619048	0.76	48049	3082	0.9397234554379926	308.2277404966447	75319	6379	0.9219197532375334	0.36215013604819873	89.01297472772488	10.999181816871916
standard16-mock-c010-h2	standard16	mock	0.10	2	150	Yes	Yes	71	69	63	55	55	0.873015873015873	0.873015873015873	30028	1738	0.9452874142164579	173.81564340790672	57258	4333	0.9296488123264762	0.3698869715302991	89.01297472772488	10.999181816871916
standard16-mock-c020-h2	standard16	mock	0.20	2	150	Yes	No	71	69	63	50	50	0.7936507936507936	0.9615384615384616	2752	120	0.958217270194986	12.001080097208748	6384	133	0.9795918367346939	0.43999440027510794	89.01297472772488	10.999181816871916
standard16-mock-c050-h2	standard16	mock	0.50	2	150	Yes	No	71	69	63	0	0	0.0	nan	0	0	nan	0.0	0	0	nan	nan	89.01297472772488	10.999181816871916
pluspf8-mock-c000-h2	pluspf8	mock	0.0	2	150	Yes	No	71	69	63	59	59	0.9365079365079365	0.2706422018348624	55228	3949	0.9332679926322727	394.9355441989779	73040	9898	0.8806578407967397	0.3615889789036329	89.01297472772488	10.999181816871916
pluspf8-mock-c005-h2	pluspf8	mock	0.05	2	150	Yes	No	71	69	63	55	55	0.873015873015873	0.8870967741935484	26342	1569	0.9437856042420552	156.91412227100437	48034	3728	0.9279780533982458	0.3661860149979064	89.01297472772488	10.999181816871916
pluspf8-mock-c010-h2	pluspf8	mock	0.10	2	150	Yes	No	71	69	63	48	48	0.7619047619047619	0.96	4391	219	0.9524945770065076	21.90197117740597	9355	232	0.9758005632627517	0.40340599379389025	89.01297472772488	10.999181816871916
pluspf8-mock-c020-h2	pluspf8	mock	0.20	2	150	Yes	No	71	69	63	8	8	0.12698412698412698	1.0	9	0	1.0	0.0	0	0	nan	nan	89.01297472772488	10.999181816871916
pluspf8-mock-c050-h2	pluspf8	mock	0.50	2	150	Yes	No	71	69	63	0	0	0.0	nan	0	0	nan	0.0	0	0	nan	nan	89.01297472772488	10.999181816871916
standard16-mock-c010-h1	standard16	mock	0.10	1	150	No	Yes	71	69	63	55	55	0.873015873015873	0.873015873015873	30028	1738	0.9452874142164579	173.81564340790672	57258	4333	0.9296488123264762	0.3698869715302991	89.01297472772488	10.999181816871916
standard16-mock-c010-h3	standard16	mock	0.10	3	150	No	Yes	71	69	63	55	55	0.873015873015873	0.873015873015873	30024	1738	0.9452805238964801	173.81564340790672	57254	4332	0.9296593381612704	0.3698684897157183	89.01297472772488	10.999181816871916
standard16-mock-c010-h4	standard16	mock	0.10	4	150	No	Yes	71	69	63	55	55	0.873015873015873	0.873015873015873	30023	1737	0.945308564231738	173.71563440709662	57252	4331	0.9296721497815956	0.36985924783998236	89.01297472772488	10.999181816871916
