ControlID	Confidence	MinimumHitGroups	DatabaseA	DatabaseB	BranchA	BranchB	TaxaA	TaxaB	TaxonJaccard	BrackenTotalVariation
mock	0.0	2	standard8	standard16	standard8-mock-c000-h2	standard16-mock-c000-h2	65	74	0.8783783783783784	0.04140804860416655
mock	0.0	2	standard8	pluspf8	standard8-mock-c000-h2	pluspf8-mock-c000-h2	65	63	0.9692307692307692	0.0025298604049535122
mock	0.0	2	standard16	pluspf8	standard16-mock-c000-h2	pluspf8-mock-c000-h2	74	63	0.8513513513513513	0.0433162120230025
mock	0.05	2	standard8	standard16	standard8-mock-c005-h2	standard16-mock-c005-h2	51	54	0.9444444444444444	0.021161892515029306
mock	0.05	2	standard8	pluspf8	standard8-mock-c005-h2	pluspf8-mock-c005-h2	51	50	0.9803921568627451	0.0026571391283837418
mock	0.05	2	standard16	pluspf8	standard16-mock-c005-h2	pluspf8-mock-c005-h2	54	50	0.9259259259259259	0.02219353355284086
mock	0.1	2	standard8	standard16	standard8-mock-c010-h2	standard16-mock-c010-h2	41	49	0.8367346938775511	0.0845840407513026
mock	0.1	2	standard8	pluspf8	standard8-mock-c010-h2	pluspf8-mock-c010-h2	41	39	0.9512195121951219	0.015636953986593025
mock	0.1	2	standard16	pluspf8	standard16-mock-c010-h2	pluspf8-mock-c010-h2	49	39	0.7959183673469388	0.09001460434467311
mock	0.2	2	standard8	standard16	standard8-mock-c020-h2	standard16-mock-c020-h2	0	34	0.0	nan
mock	0.2	2	standard8	pluspf8	standard8-mock-c020-h2	pluspf8-mock-c020-h2	0	0	1.0	nan
mock	0.2	2	standard16	pluspf8	standard16-mock-c020-h2	pluspf8-mock-c020-h2	34	0	0.0	nan
mock	0.5	2	standard8	standard16	standard8-mock-c050-h2	standard16-mock-c050-h2	0	0	1.0	nan
mock	0.5	2	standard8	pluspf8	standard8-mock-c050-h2	pluspf8-mock-c050-h2	0	0	1.0	nan
mock	0.5	2	standard16	pluspf8	standard16-mock-c050-h2	pluspf8-mock-c050-h2	0	0	1.0	nan
human	0.0	2	standard8	standard16	standard8-human-c000-h2	standard16-human-c000-h2	2	2	1.0	0.16728085567622147
human	0.0	2	standard8	pluspf8	standard8-human-c000-h2	pluspf8-human-c000-h2	2	1	0.5	0.237022080375171
human	0.0	2	standard16	pluspf8	standard16-human-c000-h2	pluspf8-human-c000-h2	2	1	0.5	0.06974122469894951
human	0.05	2	standard8	standard16	standard8-human-c005-h2	standard16-human-c005-h2	1	1	1.0	0.0
human	0.05	2	standard8	pluspf8	standard8-human-c005-h2	pluspf8-human-c005-h2	1	1	1.0	0.0
human	0.05	2	standard16	pluspf8	standard16-human-c005-h2	pluspf8-human-c005-h2	1	1	1.0	0.0
human	0.1	2	standard8	standard16	standard8-human-c010-h2	standard16-human-c010-h2	1	1	1.0	0.0
human	0.1	2	standard8	pluspf8	standard8-human-c010-h2	pluspf8-human-c010-h2	1	1	1.0	0.0
human	0.1	2	standard16	pluspf8	standard16-human-c010-h2	pluspf8-human-c010-h2	1	1	1.0	0.0
human	0.2	2	standard8	standard16	standard8-human-c020-h2	standard16-human-c020-h2	0	0	1.0	nan
human	0.2	2	standard8	pluspf8	standard8-human-c020-h2	pluspf8-human-c020-h2	0	0	1.0	nan
human	0.2	2	standard16	pluspf8	standard16-human-c020-h2	pluspf8-human-c020-h2	0	0	1.0	nan
human	0.5	2	standard8	standard16	standard8-human-c050-h2	standard16-human-c050-h2	0	0	1.0	nan
human	0.5	2	standard8	pluspf8	standard8-human-c050-h2	pluspf8-human-c050-h2	0	0	1.0	nan
human	0.5	2	standard16	pluspf8	standard16-human-c050-h2	pluspf8-human-c050-h2	0	0	1.0	nan
