GeneFamily	NativeRPK	CoPM	RelativeAbundance	PrimaryGenomeEquivalents	RPKG	Formula	SequenceUniverse
UniRef90_G2JCE7	2000.0	7588.38	0.00758838	11.571194856644642	172.84299718205162	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A0A162FFU9	1000.0	3794.19	0.00379419	11.571194856644642	86.42149859102581	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A0A1I0BA77	1000.0	3794.19	0.00379419	11.571194856644642	86.42149859102581	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_Q9HHE5	1000.0	3794.19	0.00379419	11.571194856644642	86.42149859102581	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_F6CGK2	900.0	3414.77	0.00341477	11.571194856644642	77.77934873192324	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A0A162FHQ2	500.0	1897.09	0.00189709	11.571194856644642	43.210749295512905	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A4XL99	285.7142857143	1084.05	0.00108405	11.571194856644642	24.691856740294323	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_B2RGN1	285.7142857143	1084.05	0.00108405	11.571194856644642	24.691856740294323	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A0A0B5KXG7	250.0	948.547	0.000948547	11.571194856644642	21.605374647756452	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
UniRef90_A0A0E2LU87	250.0	948.547	0.000948547	11.571194856644642	21.605374647756452	RPK / genome equivalents	ERR9765746_MOCK1 199982 clean reads
