SourceTable	Column	MeasurementObject	FeatureSpace	NativeUnit	Correction	Denominator	ClosureTarget	ZeroMeaning	AllowedUse
Kraken report	direct reads	read assignment	taxonomy node	paired fragments	No	all input fragments	No	0 = no direct assignment	rank-aware count audit
Kraken report	clade reads	subtree assignment	taxonomy subtree	paired fragments	No	all input fragments	No	0 = no subtree assignment	classification ledger
Bracken	kraken_assigned_reads	rank input	species	paired fragments	No	eligible rank model	No	0 = no eligible direct assignment	model input audit
Bracken	added_reads	redistributed mass	species	estimated paired fragments	No	database/read-length model	No	0 = no redistributed mass	redistribution audit
Bracken	new_est_reads	rank abundance estimate	species	estimated paired fragments	No	reported species estimates	No	0 = not estimated at rank	conditional count-like analysis
Bracken	fraction_total_reads	rank composition	species	fraction	No	sum of reported rank estimates	Yes: 1	0 = zero estimated fraction	composition analysis
MetaPhlAn	relative_abundance	marker-model composition	one taxonomic rank	percent	Genome/marker model	terminal clades at declared rank	Yes: 100	0 = not detected/modelled	composition analysis
MetaPhlAn	estimated_number_of_reads_from_the_clade	read-equivalent model	taxonomic clade	estimated reads	Genome/marker model	per-rank model ledger	No raw-count closure	0 = no modelled read equivalents	model diagnostics
HUMAnN	Abundance-RPKs	gene-family abundance	gene family	reads per kilobase	Gene length	none across samples	No	0 = no retained alignment support	length-corrected continuous analysis
HUMAnN	Abundance-CPM	gene-family composition	gene family	copies per million (CoPM)	Gene length	community RPK sum	Yes: 1e6	0 = no retained support	TSS/compositional analysis
HUMAnN	relative abundance	gene-family composition	gene family	fraction	Gene length	community RPK sum	Yes: 1	0 = no retained support	TSS/compositional analysis
HUMAnN	pathway abundance	reconstructed pathway potential	MetaCyc pathway	RPK-derived abundance	Gene/reaction evidence	none before renorm	No	0 = not reconstructed	continuous functional analysis
HUMAnN	pathway coverage	pathway detection/completeness evidence	MetaCyc pathway	bounded score	Pathway rule	none	No; bounded 0-1	0 = no sufficient pathway evidence	detection/coverage analysis
MicrobeCensus	average_genome_size	community genome-size estimate	sample	bp per genome	Universal marker model	marker-hit model	No	NA when marker evidence fails	library calibration
MicrobeCensus	genome_equivalents	aggregate sequenced genome coverage	sample	genome coverage	Average genome size	total bp / AGS	No	0 only for empty sequence input	gene-abundance denominator
Derived	RPKG	gene abundance per genome coverage	gene family	reads/kb/genome equivalent	Gene length and AGS	same sequence universe GE	No	0 = no retained gene support	genome-calibrated continuous analysis
