Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
binette__001	o__Thermoanaerobacterales (UID1420)	32	488	209	3	485	0	0	0	0	99.46	0.00	0.00
binette__002	o__Thermoanaerobacterales (UID1420)	32	488	209	5	483	0	0	0	0	98.09	0.00	0.00
binette__003	k__Bacteria (UID3060)	138	338	246	1	330	7	0	0	0	99.80	1.63	0.00
binette__004	p__Euryarchaeota (UID3)	148	188	125	0	188	0	0	0	0	100.00	0.00	0.00
binette__005	p__Euryarchaeota (UID4)	45	299	202	1	298	0	0	0	0	99.75	0.00	0.00
binette__006	k__Bacteria (UID2495)	2993	147	91	1	142	4	0	0	0	98.90	4.40	0.00
binette__007	k__Bacteria (UID209)	5443	101	56	0	101	0	0	0	0	100.00	0.00	0.00
binette__008	f__Porphyromonadaceae (UID2622)	35	475	318	8	466	1	0	0	0	97.88	0.31	0.00
binette__009	k__Bacteria (UID2329)	174	149	89	1	145	3	0	0	0	99.44	2.30	33.33
binette__011	k__Bacteria (UID2565)	2921	140	85	6	132	2	0	0	0	94.64	0.18	50.00
binette__012	c__Betaproteobacteria (UID3959)	235	414	211	1	410	3	0	0	0	99.97	0.26	0.00
binette__013	k__Archaea (UID2)	207	149	107	41	108	0	0	0	0	67.21	0.00	0.00
binette__014	g__Shewanella (UID4838)	26	989	339	49	881	57	2	0	0	93.54	8.67	88.89
binette__015	c__Thermoprotei (UID148)	41	245	158	26	213	6	0	0	0	88.35	3.24	16.67
binette__017	k__Bacteria (UID3060)	138	338	246	91	241	6	0	0	0	75.94	2.44	16.67
binette__018	p__Euryarchaeota (UID5)	32	308	210	68	228	12	0	0	0	81.31	3.39	83.33
binette__019	c__Thermoprotei (UID148)	41	245	158	86	154	5	0	0	0	63.51	1.66	0.00
binette__021	k__Bacteria (UID2570)	433	273	183	3	269	1	0	0	0	98.36	0.55	0.00
binette__022	k__Bacteria (UID2570)	433	271	181	1	270	0	0	0	0	99.45	0.00	0.00
binette__023	p__Euryarchaeota (UID5)	32	308	210	1	307	0	0	0	0	99.52	0.00	0.00
binette__024	k__Bacteria (UID209)	5443	101	56	0	101	0	0	0	0	100.00	0.00	0.00
binette__025	k__Bacteria (UID1452)	924	161	110	2	157	2	0	0	0	98.18	1.82	0.00
binette__026	c__Deltaproteobacteria (UID3217)	62	280	168	3	277	0	0	0	0	98.78	0.00	0.00
