Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
binette__001	99.99	0.02	Neural Network (Specific Model)	11	0.891	67435	298.9325598259608	2770249	0.35	2758	92	161417	None
binette__002	99.98	0.31	Neural Network (Specific Model)	11	0.894	68740	296.51039260969975	2151032	0.34	2165	57	177391	None
binette__003	100.0	0.49	Neural Network (Specific Model)	11	0.952	672984	307.4919110212336	1910339	0.37	1978	6	708053	None
binette__004	99.79	0.53	Neural Network (Specific Model)	11	0.855	41813	290.50273768043803	2045345	0.28	2009	106	154393	None
binette__005	99.47	0.19	Neural Network (Specific Model)	11	0.919	443866	283.7448275862069	1736697	0.42	1885	14	660252	None
binette__006	99.94	0.79	Neural Network (Specific Model)	11	0.93	432090	359.7513134851138	4629413	0.64	3997	13	1064594	None
binette__007	99.5	0.45	Neural Network (Specific Model)	11	0.956	88409	314.74016620498617	1772843	0.47	1805	31	307522	None
binette__008	98.69	0.55	Neural Network (Specific Model)	11	0.867	26973	334.2723669309173	2039351	0.49	1766	126	77642	None
binette__009	98.68	0.29	Neural Network (Specific Model)	11	0.913	11618	295.71215544509715	2147088	0.27	2213	283	52178	None
binette__011	97.85	3.87	Neural Network (Specific Model)	11	0.888	15347	353.0388716890265	6915991	0.55	5814	682	86083	None
binette__012	100.0	0.04	Neural Network (Specific Model)	11	0.883	47024	311.9416	2643322	0.51	2500	77	196262	None
binette__013	87.33	0.21	Neural Network (Specific Model)	11	0.951	8323	242.64065335753176	418156	0.32	551	70	18077	None
binette__014	99.58	7.36	Neural Network (Specific Model)	11	0.854	6633	282.5369284876905	5073077	0.46	5118	996	32023	None
binette__015	78.95	0.29	Neural Network (Specific Model)	11	0.933	4753	230.6408689748812	1083632	0.57	1473	272	16743	None
binette__017	69.48	1.49	Neural Network (Specific Model)	11	0.946	3441	242.00136239782017	1122363	0.35	1468	361	14790	None
binette__018	72.13	3.33	Neural Network (Specific Model)	11	0.887	4054	223.40309221424627	1366218	0.33	1811	380	14671	None
binette__019	59.42	0.0	Neural Network (Specific Model)	11	0.912	3170	221.0847975553858	946551	0.45	1309	324	8558	None
binette__021	100.0	0.06	Neural Network (Specific Model)	11	0.922	48450	326.83447488584477	1859642	0.53	1752	48	157083	None
binette__022	100.0	0.14	Neural Network (Specific Model)	11	0.885	55634	307.5891807134457	2653984	0.51	2551	94	192840	None
binette__023	99.91	0.12	Neural Network (Specific Model)	11	0.883	79303	272.4456289978678	1733559	0.31	1876	43	209565	None
binette__024	99.93	0.15	Neural Network (Specific Model)	11	0.955	82868	312.28275862068966	1698339	0.46	1740	54	249950	None
binette__025	99.97	0.28	Neural Network (Specific Model)	11	0.888	46222	339.2507504856083	6481038	0.51	5663	306	224039	None
binette__026	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	325.89213579716375	2595739	0.6	2327	65	181610	None
