
/// MultiQC 🔍 v1.35

     update_config | Report title: ERR9765746 read QC: raw versus clean
     update_config | Prepending directory to sample names
     update_config | Not cleaning sample names
       file_search | Search path: ${FROZEN_DIR}/raw_fastqc
       file_search | Search path: ${FROZEN_DIR}/clean_fastqc
       file_search | Search path: ${FROZEN_DIR}/fastp
       file_search | Only using modules: fastp, fastqc
             fastp | Found 1 reports
            fastqc | Found 4 reports
       file_search | Only using modules: fastp, fastqc
     write_results | Data        : data/small/13-qc-frozen/multiqc/13-multiqc-report_data
     write_results | Report      : data/small/13-qc-frozen/multiqc/13-multiqc-report.html
           multiqc | MultiQC complete
