Completeness	AnnotationState	Genes	WithinCompletenessPercent
Complete	No seed ortholog	6254	9.643942080833938
Complete	Orthology only	4929	7.600734012860645
Complete	Broad/family only	17411	26.848525035081497
Complete	Specific identifier	36255	55.90679887122392
Partial	No seed ortholog	2993	11.034508184633534
Partial	Orthology only	1261	4.64901931868456
Partial	Broad/family only	6951	25.626751216634716
Partial	Specific identifier	15919	58.68972128004719
Incomplete	No seed ortholog	24	1.3266998341625207
Incomplete	Orthology only	53	2.9297954671089
Incomplete	Broad/family only	603	33.333333333333336
Incomplete	Specific identifier	1129	62.41017136539524
