Parameter	PipelineDefault5.5.0	PublicationOverride	Reason
coassemble_group	false	false	One assembly per biological sample; group remains metadata
binning_map_mode	group	own	Keep the abundance/coverage unit aligned to each sample
skip_spades	false	true	Avoid silently comparing two assemblers inside the primary run
skip_megahit	false	false	MEGAHIT is the prespecified short-read assembler
skip_metabat2	false	false	MetaBAT2 is the prespecified primary binner
skip_maxbin2	false	true	Alternative binners require a separate benchmark plan
skip_concoct	false	true	Alternative binners require a separate benchmark plan
run_busco	true	false	Use the project MAG acceptance pair below
run_checkm2	false	true	Estimate completeness and contamination
run_gunc	false	true	Audit lineage inconsistency/chimerism independently
gtdb_db	GTDB R232 URL	local checksum-locked R232	Prevent implicit re-download or release drift
metabat_rng_seed	1	1	Preserve deterministic MetaBAT2 execution
semibin_rng_seed	1	1	Preserve deterministic setting even while SemiBin is disabled
