	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
UniRef90_A0A069A530	-3	-3	-3	-3	-3	1	-1	1	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-2	-2	1	-3
UniRef90_A0A076YZQ3	1	-3	-1	-3	-2	-2	1	-2	1	-2	1	-3	-3	-3	-2	-2	1	-3	-2	-3	1	1
UniRef90_A0A095XLP0	-1	-3	1	1	1	-2	-3	-2	-2	-3	1	-3	-2	-3	1	1	-1	-3	-2	-2	-3	-1
UniRef90_A0A095XNF2	-1	-3	-1	1	1	-3	-2	-2	-2	-3	1	-3	-2	-3	1	1	-1	-3	-2	-2	-3	-1
UniRef90_A0A095ZX26	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0D0SCG4	-3	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A0D1AIV7	-2	-3	1	1	-3	-3	1	-3	1	-2	-1	-2	-3	-3	-1	-1	1	-3	-3	-3	-2	-1
UniRef90_A0A0D8IZG0	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	1	-3	-3	-3	1
UniRef90_A0A0D8J402	1	-3	-2	-2	1	-3	-3	-2	-2	-3	-2	-2	1	1	-3	1	-1	-2	-3	-2	-3	-1
UniRef90_A0A0E2H0J4	-2	-3	-2	-1	-3	1	-1	1	1	-2	1	-3	-3	-3	1	1	-3	1	1	-3	-3	1
UniRef90_A0A0E2H2A6	1	-3	-1	-2	-2	1	-2	1	-1	-1	-1	-2	-2	1	-1	1	1	-3	1	-2	-2	-1
UniRef90_A0A0E2H2C3	1	-3	-3	1	-3	-2	-3	-2	1	-2	-3	1	-3	-3	-2	-1	1	1	1	-3	-3	-1
UniRef90_A0A0E2H2C7	1	-3	-3	1	-3	-3	-3	-3	1	-2	-2	-2	-3	-3	-2	-1	1	1	1	-3	-3	-1
UniRef90_A0A0E2H347	1	-2	-3	1	-3	-2	-3	1	1	-2	-3	1	-3	-3	1	-1	1	1	1	-3	-3	-1
UniRef90_A0A0E2H3K6	-3	-3	-3	-3	-3	-3	-3	-3	1	-2	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A0E2H3X5	-2	-3	-2	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A0E2H7K2	-3	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-2	-3	-3	-2	-3	-3	-3
UniRef90_A0A0E2H824	-3	-3	-2	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2
UniRef90_A0A0E2HG87	1	-2	-3	1	-3	-3	-3	-2	1	-2	-3	-2	-3	-3	-2	-1	1	1	1	-3	-3	-1
UniRef90_A0A0E2HGP2	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	-2	-3
UniRef90_A0A0E2HH31	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-1	-3	-3	-3	-3	-2	-3	-3
UniRef90_A0A0E9FSE3	1	-1	-1	-1	1	-1	-2	-1	-1	-1	-1	-2	1	1	-1	-1	-1	-1	-1	1	-2	-1
UniRef90_A0A0J0U668	-2	-2	1	-1	1	-1	-1	-1	-1	1	-1	-3	-3	-2	-1	1	-1	1	-1	-1	-1	1
