Figure	Format	Exists	Bytes	SHA256
28-meta-signature	pdf	TRUE	25273	1c80a8c0acf1fa7638f4a28228f5339937e0516bb199f57506de3777f6ecf4d0
28-meta-signature	png	TRUE	171548	257820aade321c53cedba2688b4cb90f6a889f96816a3f2af781794893147d63
28-meta-signature	tiff	TRUE	614976	c2c4dd6dda4b4e0ae8f52cdabd0d80d15e7ab569df4859f2fb7da0f94bf85c9d
28-single-study-transfer	pdf	TRUE	17850	bdb4d48c72af339da41e8fdb732546c0232b14e5f66c0da72a3b315c48b1a5a6
28-single-study-transfer	png	TRUE	226112	11104b2b8d7b5e1bd622840a9122472062a6cffe8faa7d7d7faa2abce10d17e1
28-single-study-transfer	tiff	TRUE	567366	ee21f5082b999deb322ec493cfdbe71a95b42376fe8233dbbb059d65bfa82885
28-lodo-forest	pdf	TRUE	16419	49f5270f49950761bcbfb93046de1115ec0bb87c915d7ff05abc252ee84bad18
28-lodo-forest	png	TRUE	113748	8924ea75f7276ffddf048c9b2a4e6bdac0bf5b02bb5588501dd915b93ebd4985
28-lodo-forest	tiff	TRUE	131806	1401ad62eb9dcd3d86dfaf77cb8646cfc3f2425cfccc70100d39c3ddd72342ae
28-lodo-roc	pdf	TRUE	26634	b77d04af76d4327e436fd22ef66c6f48c7665fbaa1e755dfb18fc9eb99583ad0
28-lodo-roc	png	TRUE	129887	bd888d17e78400286df269c359e0f89f3705270e489715ce99394590aec5a751
28-lodo-roc	tiff	TRUE	234292	cd81a9f0011da34ec4442728b652c936a302c5dcafb6a768d66b86618f145ec3
28-validation-stability	pdf	TRUE	30451	a700f2f62e1fba4c4023fd4fdcc7a9b560fe2987b5117de753e84519742d0041
28-validation-stability	png	TRUE	240844	40820845da33231de09ce505dc6b645caf3678c457051c4658ef338c7b511c6d
28-validation-stability	tiff	TRUE	566576	9ccc0a5d3047c89ad709fcb4dae14102e09d8962a0381edfcc063446eb9424a2
