TrainingCohort	TestCohort	ValidationType	TrainingSamples	TestSamples	FeaturesKept	SelectedLambda	AUROC
FR	FR	Within-cohort 5-fold CV	114	114	266	0.1	0.813795236622332
FR	AT	External single-study transfer	114	107	266	0.1	0.771204561653599
FR	CN	External single-study transfer	114	128	266	0.1	0.805805805805806
FR	US	External single-study transfer	114	104	266	0.1	0.670488165680473
FR	DE	External single-study transfer	114	125	266	0.1	0.768717948717949
FR	IT-A	External single-study transfer	114	53	266	0.1	0.728448275862069
FR	IT-B	External single-study transfer	114	60	266	0.1	0.681919642857143
FR	JP	External single-study transfer	114	80	266	0.1	0.738125
AT	FR	External single-study transfer	107	114	254	0.0398107170553497	0.717290442313641
AT	AT	Within-cohort 5-fold CV	107	107	254	0.0398107170553497	0.904133998574483
AT	CN	External single-study transfer	107	128	254	0.0398107170553497	0.640890890890891
AT	US	External single-study transfer	107	104	254	0.0398107170553497	0.58542899408284
AT	DE	External single-study transfer	107	125	254	0.0398107170553497	0.57948717948718
AT	IT-A	External single-study transfer	107	53	254	0.0398107170553497	0.581896551724138
AT	IT-B	External single-study transfer	107	60	254	0.0398107170553497	0.639508928571429
AT	JP	External single-study transfer	107	80	254	0.0398107170553497	0.774375
CN	FR	External single-study transfer	128	114	241	0.158489319246111	0.664243736467677
CN	AT	External single-study transfer	128	107	241	0.158489319246111	0.710263720598717
CN	CN	Within-cohort 5-fold CV	128	128	241	0.158489319246111	0.76514014014014
CN	US	External single-study transfer	128	104	241	0.158489319246111	0.699334319526627
CN	DE	External single-study transfer	128	125	241	0.158489319246111	0.812564102564103
CN	IT-A	External single-study transfer	128	53	241	0.158489319246111	0.663793103448276
CN	IT-B	External single-study transfer	128	60	241	0.158489319246111	0.754464285714286
CN	JP	External single-study transfer	128	80	241	0.158489319246111	0.76375
US	FR	External single-study transfer	104	114	243	0.0398107170553497	0.784101453758119
US	AT	External single-study transfer	104	107	243	0.0398107170553497	0.835709194583036
US	CN	External single-study transfer	104	128	243	0.0398107170553497	0.668168168168168
US	US	Within-cohort 5-fold CV	104	104	243	0.0398107170553497	0.733727810650888
US	DE	External single-study transfer	104	125	243	0.0398107170553497	0.68974358974359
US	IT-A	External single-study transfer	104	53	243	0.0398107170553497	0.864942528735632
US	IT-B	External single-study transfer	104	60	243	0.0398107170553497	0.680803571428571
US	JP	External single-study transfer	104	80	243	0.0398107170553497	0.60625
DE	FR	External single-study transfer	125	114	216	0.125892541179417	0.681719764924219
DE	AT	External single-study transfer	125	107	216	0.125892541179417	0.729508196721312
DE	CN	External single-study transfer	125	128	216	0.125892541179417	0.814314314314314
DE	US	External single-study transfer	125	104	216	0.125892541179417	0.549186390532544
DE	DE	Within-cohort 5-fold CV	125	125	216	0.125892541179417	0.887948717948718
DE	IT-A	External single-study transfer	125	53	216	0.125892541179417	0.439655172413793
DE	IT-B	External single-study transfer	125	60	216	0.125892541179417	0.839285714285714
DE	JP	External single-study transfer	125	80	216	0.125892541179417	0.785
IT-A	FR	External single-study transfer	53	114	178	0.125892541179417	0.593257036807918
IT-A	AT	External single-study transfer	53	107	178	0.125892541179417	0.597291518175339
IT-A	CN	External single-study transfer	53	128	178	0.125892541179417	0.594344344344344
IT-A	US	External single-study transfer	53	104	178	0.125892541179417	0.645340236686391
IT-A	DE	External single-study transfer	53	125	178	0.125892541179417	0.614358974358974
IT-A	IT-A	Within-cohort 5-fold CV	53	53	178	0.125892541179417	0.660919540229885
IT-A	IT-B	External single-study transfer	53	60	178	0.125892541179417	0.696428571428571
IT-A	JP	External single-study transfer	53	80	178	0.125892541179417	0.546875
IT-B	FR	External single-study transfer	60	114	254	0.199526231496888	0.631302196102691
IT-B	AT	External single-study transfer	60	107	254	0.199526231496888	0.724518888096935
IT-B	CN	External single-study transfer	60	128	254	0.199526231496888	0.78978978978979
IT-B	US	External single-study transfer	60	104	254	0.199526231496888	0.606878698224852
IT-B	DE	External single-study transfer	60	125	254	0.199526231496888	0.821538461538462
IT-B	IT-A	External single-study transfer	60	53	254	0.199526231496888	0.586925287356322
IT-B	IT-B	Within-cohort 5-fold CV	60	60	254	0.199526231496888	0.790736607142857
IT-B	JP	External single-study transfer	60	80	254	0.199526231496888	0.7946875
JP	FR	External single-study transfer	80	114	229	0.199526231496888	0.579647386328487
JP	AT	External single-study transfer	80	107	229	0.199526231496888	0.702066999287242
JP	CN	External single-study transfer	80	128	229	0.199526231496888	0.702952952952953
JP	US	External single-study transfer	80	104	229	0.199526231496888	0.548076923076923
JP	DE	External single-study transfer	80	125	229	0.199526231496888	0.69948717948718
JP	IT-A	External single-study transfer	80	53	229	0.199526231496888	0.545977011494253
JP	IT-B	External single-study transfer	80	60	229	0.199526231496888	0.748883928571429
JP	JP	Within-cohort 5-fold CV	80	80	229	0.199526231496888	0.8128125
