Dataset	Tool	RegionID	SequenceID	Start0	End0	LengthBp	Products	Categories	AtSequenceEdge	MeanProbability	MaximumProbability	TopMIBiGAccession	TopMIBiGDescription	TopMIBiGRiQ	TopKnownClusterAccession	TopKnownClusterDescription	TopKnownClusterSimilarityPercent	FractionalGenes	MappedFractionalGenes	MOCK1FractionalRawReads	MOCK2FractionalRawReads	MOCK1AssignedReadPercent	MOCK2AssignedReadPercent
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c000611::r1	megahit-co__c000611	239862	249950	10088	RiPP-like	RiPP	yes									15.00000000	15.00000000	1099.00000000	1159.00000000	0.0394722570	0.0417290292
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c000689::r1	megahit-co__c000689	2262	23159	20897	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.46519696				27.00000000	27.00000000	1903.00000000	1849.00000000	0.0683491402	0.0665720233
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c000804::r1	megahit-co__c000804	6565	25285	18720	phosphonate	Other	no			BGC0000904.5	FR-900098	0.43852317	BGC0001411.3	polysaccharide B	6	21.00000000	21.00000000	785.00000000	739.00000000	0.0281944693	0.0266072067
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c001263::r1	megahit-co__c001263	19833	35554	15721	terpene	Terpene	yes			BGC0000647.3	carotenoid	0.57222011				17.00000000	17.00000000	384.00000000	378.00000000	0.0137919442	0.0136096402
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c002523::r1	megahit-co__c002523	0	53642	53642	T1PKS;lanthipeptide-class-ii;NRP-metallophore;NRPS	PKS;NRPS;RiPP	yes			BGC0002135.2	bovienimide A	0.70922107	BGC0002484.3	scytocyclamide A/scytocyclamide B/scytocyclamide B3/scytocyclamide C/scytocyclamide A2/scytocyclamide B2	46	28.00000000	28.00000000	1494.00000000	1574.00000000	0.0536592829	0.0566708300
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c002529::r1	megahit-co__c002529	449894	470212	20318	RRE-containing	RiPP	no			BGC0001596.3	fluostatin M, fluostatin N, fluostatin O, fluostatin P, fluostatin Q	0.19926940				18.00000000	18.00000000	965.00000000	825.00000000	0.0346594431	0.0297035799
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c002532::r1	megahit-co__c002532	39679	60603	20924	terpene-precursor	Terpene	no			BGC0002397.2	astallatene	0.46599207				18.00000000	18.00000000	780.00000000	791.00000000	0.0280148867	0.0284794323
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003063::r1	megahit-co__c003063	797	31848	31051	NRPS;T1PKS	PKS;NRPS	yes			BGC0001276.3	6-methylsalicyclic acid	0.65531205				16.00000000	16.00000000	663.00000000	686.00000000	0.0238126537	0.0246989767
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003272::r1	megahit-co__c003272	18417	59671	41254	arylpolyene	PKS	no			BGC0002171.2	pyrophen, campyrone B	0.42813922				31.00000000	31.00000000	1380.00000000	1411.00000000	0.0495647995	0.0508021227
coassembly-ge20kb	antiSMASH	coassembly-ge20kb::megahit-co__c003376::r1	megahit-co__c003376	3879	24857	20978	terpene-precursor	Terpene	no			BGC0002400.2	boleracene	0.43328073				19.00000000	19.00000000	497.00000000	478.00000000	0.0178505111	0.0172100742
