Dataset	Tool	RegionID	SequenceID	Start0	End0	LengthBp	Products	Categories	AtSequenceEdge	MeanProbability	MaximumProbability	TopMIBiGAccession	TopMIBiGDescription	TopMIBiGRiQ	TopKnownClusterAccession	TopKnownClusterDescription	TopKnownClusterSimilarityPercent
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r14	salinispora-chromosome	3097969	3256633	158664	T1PKS;RRE-containing;arylpolyene;NRPS	PKS;NRPS;RiPP	no			BGC0000142.3	salinilactam	0.95370702	BGC0000142.3	salinilactam	100
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r15	salinispora-chromosome	3475061	3525952	50891	NRPS-like;T1PKS;RiPP-like	PKS;NRPS;RiPP	no			BGC0001006.5	lymphostin, neolymphostinol B, lymphostinol, neolymphostin B	0.98386815	BGC0001006.5	lymphostin/neolymphostinol B/lymphostinol/neolymphostin B	100
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r5	salinispora-chromosome	1957836	1980841	23005	guanidinotides	RiPP	no			BGC0001633.3	ketomemicin B3, ketomemicin B4	0.65137523	BGC0001633.3	ketomemicin B3/ketomemicin B4	100
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r13	salinispora-chromosome	3011961	3092736	80775	T1PKS;NRPS-like	PKS;NRPS	no			BGC0000150.4	sporolide A, sporolide B	0.92211260	BGC0000150.4	sporolide A/sporolide B	93
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r4	salinispora-chromosome	1131284	1181131	49847	transAT-PKS-like;NRPS-like;T1PKS	PKS;NRPS	no			BGC0000145.5	salinosporamide A	0.90791469	BGC0001041.4	salinosporamide A	90
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r18	salinispora-chromosome	4811592	4852642	41050	T3PKS	PKS	no			BGC0001077.4	6-anteisoheptadecyl-4-O-dihydrogeranyl-2-methoxyhydroquinone, 6-isoheptadecyl-4-O-dihydrogeranyl-2-methoxyhydroquinone, 6-isopalmityl-4-O-geranyl-2-methoxyhydroquinone, 6-palmityl-4-O-geranyl-2-methoxyhydroquinone, 6-anteisoheptadecyl-4-O-geranyl-2-methoxyhydroquinone, 6-isoheptadecyl-4-O-geranyl-2-methoxyhydroquinone, 6-isopalmityl-4-O-dihydrofarnesyl-2-methoxyhydroquinone, 6-palmityl-4-O-dihydrofarnesyl-2-methoxyhydroquinone, 6-anteisoheptadecyl-4-O-dihydrofarnesyl-2-methoxyhydroquinone, 6-isoheptadecyl-4-O-dihydrofarnesyl-2-methoxyhydroquinone	0.77827717	BGC0002362.3	loseolamycin A1/loseolamycin A2	80
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r6	salinispora-chromosome	2480835	2553375	72540	T2PKS	PKS	no			BGC0000241.5	lomaiviticin A, lomaiviticin C, lomaiviticin D, lomaiviticin E	0.78747235	BGC0000241.5	lomaiviticin A/lomaiviticin C/lomaiviticin D/lomaiviticin E	70
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r17	salinispora-chromosome	4719612	4730572	10960	butyrolactone	Other	no			BGC0001458.4	salinipostin G, Salinipostin G, Salinipostin A, Salinipostin B, Salinipostin C, Salinipostin D, Salinipostin E, Salinipostin F, Salinipostin H, Salinipostin I, Salinipostin J, Salinipostin K	0.75289739	BGC0001458.4	salinipostin G/Salinipostin G/Salinipostin A/Salinipostin B/Salinipostin C/Salinipostin D/Salinipostin E/Salinipostin F/Salinipostin H/Salinipostin I/Salinipostin J/Salinipostin K	66
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r11	salinispora-chromosome	2852870	2882661	29791	NI-siderophore	Other	no			BGC0001478.5	desferrioxamine E	0.78817705	BGC0002690.2	FW0622	62
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r19	salinispora-chromosome	4978726	5046389	67663	NRPS;terpene	NRPS;Terpene	no			BGC0001249.5	dimethylcoprogen	0.73080574	BGC0001456.3	isorenieratene	25
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r10	salinispora-chromosome	2773927	2846443	72516	T2PKS	PKS	no			BGC0000272.3	spore pigment	0.61909025	BGC0001590.5	formicamycin A/formicamycin B/formicamycin C/formicamycin D/formicamycin E/formicamycin F/formicamycin G/formicamycin H/formicamycin I/formicamycin J/formicamycin K/formicamycin L/formicamycin M/fasamycin C/fasamycin D/fasamycin E	16
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r7	salinispora-chromosome	2580350	2592255	11905	RiPP-like	RiPP	no			BGC0002631.2	Myxarylin	0.53376235	BGC0000382.5	lipstatin	14
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r2	salinispora-chromosome	736486	779678	43192	NRPS	NRPS	no			BGC0001251.4	epichloenin A	0.68177319	BGC0000202.5	azicemicin B	13
salinispora-full	antiSMASH	salinispora-full::salinispora-chromosome::r1	salinispora-chromosome	653312	699168	45856	T1PKS	PKS	no			BGC0000056.3	esperamicin	0.70061525	BGC0001060.5	dynemicin A	10
