Branch	Assembler	Platform	JunctionID	ContigID	LengthBp	JunctionEligible	JunctionFlankBp	SequenceSHA256	OriginalHeader	IdentityFloor	IdentityComputation	AuditedPrimaryPAFRecords	BaseLevelCigarPAFRecords	JunctionSpanningReads	SupportedByGE3Reads
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000001	contig_1039	21342	TRUE	5000	ca75711c4888e168dc7956e40ad0b2f9958eff6113053e6a9b97421abb16aede	contig_1039	0.75	minimap2-c-paf-matches-over-block	33	33	3	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000002	contig_1166	711	FALSE	0	6a4b2d3c1088117cd8bbf416bfcdb5730d4f637cff9085472b2cbf05b0e34165	contig_1166	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000003	contig_1281	1732286	TRUE	5000	cf7648d0dddf7b1af0629718c5d401d327c70fefe8bc0888544581cf98461f61	contig_1281	0.75	minimap2-c-paf-matches-over-block	146	146	14	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000004	contig_1513	31511	TRUE	5000	21b9d579f24b8ec1907d79e6dcaaffc8957965ddca6f24428dfae54c5976ae0b	contig_1513	0.75	minimap2-c-paf-matches-over-block	55	55	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000005	contig_1826	856	FALSE	0	02ef553ae4dddb49c6005fe6cb90ff20c8eac7170bfaf0ce3503d81fc6b9f825	contig_1826	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000006	contig_1928	9430	FALSE	0	2c4700b489d2c8009c763579677bd7b80c8216014f2921fcfe353bb7334852e2	contig_1928	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000007	contig_2054	1660695	TRUE	5000	0cf1b0433e6c1cb3e5958f764d8c6927fbc45277497c1419c13421c1830dc1f0	contig_2054	0.75	minimap2-c-paf-matches-over-block	802	802	42	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000008	contig_2109	45289	TRUE	5000	4bac6e06ad6a0a9b7b91053904b3b393462380ae2c180e68f087860daa34abc8	contig_2109	0.75	minimap2-c-paf-matches-over-block	85	85	12	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000009	contig_2152	11491	TRUE	5000	726079d88554f21d17dcdae968e24acb6350ddb1245bd2d09817aca448b91940	contig_2152	0.75	minimap2-c-paf-matches-over-block	155	155	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000010	contig_2153	1394050	TRUE	5000	7e081be188506d81f55d996174ef495a35ed6e64982f2b1f6f2366a980b58aa6	contig_2153	0.75	minimap2-c-paf-matches-over-block	38	38	7	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000011	contig_2215	7410	FALSE	0	cdf1536dc27de3cd54a2ceec5cbcfec8fd951eadad44887ccaac0cb6af2ba24b	contig_2215	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000012	contig_2288	10655	TRUE	5000	b0ef87ec94495232305d32aad2a158f3561424fd4827d4c55e65da266898628d	contig_2288	0.75	minimap2-c-paf-matches-over-block	47	47	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000013	contig_2445	52811	TRUE	5000	909ea47f122d93c7a50245872c319deb9668c38857d07a318371a5eec8fb39b6	contig_2445	0.75	minimap2-c-paf-matches-over-block	230	230	52	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000014	contig_2461	98690	TRUE	5000	6c218bcf7cc7dbce0a979db30980984e0dc4f0db41a4486dda6da4619f379432	contig_2461	0.75	minimap2-c-paf-matches-over-block	437	437	9	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000015	contig_2484	339133	TRUE	5000	3af97bd1d3542e9ad22551ffc63888715bb47a13369a492ee6ae66789d78b3da	contig_2484	0.75	minimap2-c-paf-matches-over-block	251	251	33	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000016	contig_2487	7249	FALSE	0	5fe03f1d1ec78099b8da4ff2a5ccfcc437e40432639810f93aa1b933743d0a19	contig_2487	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000017	contig_2498	1923922	TRUE	5000	9e6a0cd82403d167d20db64e9336166638f72e4cf28eec206be92554f8932501	contig_2498	0.75	minimap2-c-paf-matches-over-block	100	100	29	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000018	contig_2502	9213	FALSE	0	8686bc07e79b2e0e78a957a20edbd9f21f4810cd9160069bace948c7c340db44	contig_2502	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000019	contig_2507	4632881	TRUE	5000	9de498548313b1710d6c5d957724a09d24184040775d4e393deded0d1898ea2b	contig_2507	0.75	minimap2-c-paf-matches-over-block	181	181	51	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000020	contig_2513	16489	TRUE	5000	23eae2847434613a44750bc7c07480f2e58801f750aecf4f5dd25752ebc4e936	contig_2513	0.75	minimap2-c-paf-matches-over-block	254	254	53	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000021	contig_2514	40256	TRUE	5000	f2c276fa4fb0f79fadb33a8640810d9beff6568bb79761b03b446fa3cf28723a	contig_2514	0.75	minimap2-c-paf-matches-over-block	49	49	10	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000022	contig_2515	20378	TRUE	5000	16b1746d4e042c75e223dac02ced9b76d7c823edeaed9ddd529c720a366437ad	contig_2515	0.75	minimap2-c-paf-matches-over-block	237	237	7	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000023	contig_2516	4015	FALSE	0	1ab7425ec68369b16e9ddde950becdc988558793138c9a913163011319e86c66	contig_2516	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000024	contig_2517	8249	FALSE	0	0a37c94de2f68842eb40b43af6c5944f86b5891d1bb8fc1f4dd1b2a0ada20cf9	contig_2517	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000025	contig_2519	8206	FALSE	0	6f7a1affa9dd6487c1569db4093432fcc863a7c66cb1c416c4aaea6b8e8dc903	contig_2519	0.75	minimap2-c-paf-matches-over-block	0	0	0	FALSE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000026	contig_2520	58379	TRUE	5000	6f0e7b85f0ec9f945bd8d7c087d7fef0b0b6076b64ffa5884c800a476239882d	contig_2520	0.75	minimap2-c-paf-matches-over-block	279	279	45	TRUE
flye-ont-r9	Flye	ONT R9	flye-ont-r9__junction_000027	contig_304	407398	TRUE	5000	0c6484b6448bc1dd511f48753294b076cd87d021924413c587c5e7e02ac42bea	contig_304	0.75	minimap2-c-paf-matches-over-block	407	407	13	TRUE
