Branch	CandidateID	Contigs	Bytes	SHA256	Status
MetaBAT2-MOCK1-only	metabat2-mock1__001	7	248751	7109433f775033fef145a4a57b10987501e0b4a9aaf1425fa3e2795b430e8ee5	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__002	516	1410794	c552742b948de6d6bfbe957f318da6ff3314983cb98c521567ea57f386183cdc	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__003	242	6093126	e7c1729037547241904dfa9e8057913208a207ba2d0036f499dd2603bbfe194a	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__004	1051	5357639	43dc910a95795aaafb1a79e6e0e85fbfdac683cbf551de6a9e19e130550de8e9	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__005	38	1674576	2bfaaaac9fcd6467133b135a8d13de48439241c4be99021ca803a557f561803e	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__006	195	2000360	3333babd1055dd471540e40bf69e167d30e32617973847e641a152b7c0e1063e	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__007	272	2149209	2431254278bb892e93da17694172f57f5968df6670ea6e5de0e29760d8fdcb1a	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__008	62	1489203	6df1edb36a68bc13f5abb04783e18d09bada8ba809db2c139efa209a0e3e2689	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__009	120	2049779	9affb9532013f27ad75e9fb6dface5a8b0250e21b74aca75120892dccec809f6	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__010	157	320526	eb53d06842b476824427a3fd95cb9f0c7d00f1ca0e6004a717b4c41b44997e85	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__011	362	1135587	828a7d33a358ca5b8cde8812b1a428af22bb5164bf084f93a0124ca8cdc6f94a	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__012	12	1755087	612656befe4ad9c56f9f56189eaeb44b409775bc837f51c78f49b9bcf46c5bd9	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__013	138	278318	9fd2492f17f890ce609afec49a0434698e8aa5435865fa5665b45fe5c6d42c0a	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__014	516	1723698	df314ac9842866cba940a59245fa0f03c7e08b6e537daa2e049ad60f5c86af2d	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__015	2000	4738927	4af7cd7f6b1356ca2af4c5181774d1bb0703f5297bc283f82092651e2193709d	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__016	479	1490158	2f548a9897e919ae39ab01d211a8e1ec33518e278f4a8ae1be590caf8521b580	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__017	108	2089853	c6d9e4fc727fc7bd5d61a041ceafade1f80f86e064f3e345e06ffbf487c56778	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__018	669	6978346	d6fef3bdb22d717b2e97a85e0fd7c0b6bd6a86bcebc4494af210988876f006a0	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__019	60	2542487	b2280a4dabcb1d9e96399256074a5e48117c031d1e421d3dba750df703dfa599	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__020	59	2183712	fd75bb028d9b3b393e4b15d07af7767db21cfe1dffc1bb0e7e3cdbadde5b803b	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__021	137	320684	9fae76e67fcb0dbb58461941d99899f68c081e5752227c731739d8a0ad5d6f86	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__022	20	381880	8cf5aff5f18df7bcd0488b1e62cd4152548c195e64ccaab994b1a840c3fe135d	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__023	5	1917528	6368094fa97d5c7e70b54e062f6cda83c8571fab20175eca0d2ffea82607eaf6	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__024	42	1656270	45f15ad380e366b00eacb985584780c4f5e533aae2a844b7d4208ce5a38e7523	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__025	50	1920341	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__026	65	2628987	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__027	13	4687441	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__028	34	1892368	3b86b0135bf7ad4366c7c5b75eed359561f1a607a3245bbcd7cde2079c8cdabe	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__029	76	2522231	4aba2925fa45e4482b691964bcc94f921ab8b76dc0734078e84e8d7457dda4f8	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__030	70	424236	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__031	230	710414	6df3a3746dc5777b62727310341cdc9da864bebb121b62c1f125b9da4399f494	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__032	71	2427029	57130e9d7c3920cf4845912633053c12214347e7f057b776e7cdd49911825450	PASS
MetaBAT2-MOCK1-only	metabat2-mock1__033	268	1090075	8156c5a438368382f3e8ae0c244044381aae18a12adb9dc9d687d53ca599107d	PASS
MetaBAT2-multisample	metabat2-multisample__001	2025	4776058	93d58dbb298168a764dbc8820ebc74a27813b1b541d2f9d0d7e87b0c7a80454d	PASS
MetaBAT2-multisample	metabat2-multisample__002	505	1367015	d05bae8f37dab52bacf74576e8d0018aedd6ba9bd45d8f7f79bc17ad95973589	PASS
MetaBAT2-multisample	metabat2-multisample__003	50	1920341	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d	PASS
MetaBAT2-multisample	metabat2-multisample__004	74	219114	80c3c1399faf4553817c59d6bef4ae856fa81e668fcbabf248712be98b8513d9	PASS
MetaBAT2-multisample	metabat2-multisample__005	269	1095607	000638abaf26cf2654bf9700f9830b8b31fd367f6be9d608b604033ce9fef676	PASS
MetaBAT2-multisample	metabat2-multisample__006	87	2594068	7d6bf807688130c9a891d4d715a608f94513340da7ccf7183500adcb0ca59018	PASS
MetaBAT2-multisample	metabat2-multisample__007	528	1730152	2598b36faa15688cd0b1ba852e12d26ebf2e410f9d5b7bc5e1d2ad7e7be5f68f	PASS
MetaBAT2-multisample	metabat2-multisample__008	72	2608283	81abc5afae69006fdfca04e97708181a09331fca546adf115b78fd7ae40b90bd	PASS
MetaBAT2-multisample	metabat2-multisample__009	173	351025	753bb1abb9c15432abc4301a0a41824c454e34254d74a31d5c13562369f72315	PASS
MetaBAT2-multisample	metabat2-multisample__010	147	294557	e628570295d8b8bc5653473fa02fa88c6799b7aca10188fb8095c34bb00d6d26	PASS
MetaBAT2-multisample	metabat2-multisample__011	672	6992630	b8ada533b2a7d7b93fc9e6bd09da7a5ddc3137f6dca040d263ab7cbf2cbbf196	PASS
MetaBAT2-multisample	metabat2-multisample__012	65	2628987	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	PASS
MetaBAT2-multisample	metabat2-multisample__013	262	2126051	fef9ca05fc3001568955367326c61f18e78bc3c4b98d7ff9ea838f5b360a5767	PASS
