SampleID	TerminalSpeciesSumBeforeRenormalization	TerminalSpeciesSumAfterRenormalization
CSM5FZ3N_P	0.9999995	0.9999999999999999
CSM5FZ3R_P	0.9993027000000001	1.0000000000000004
CSM5YRY7_P	0.9999996000000001	0.9999999999999997
CSM5FZ3V_P	1.0000006000000001	0.9999999999999999
CSM5FZ4C_P	0.9999994000000001	0.9999999999999998
CSM5MCVD_P	0.9994146	0.9999999999999998
CSM5MCVF_P	0.9999995000000002	0.9999999999999996
CSM5MCVV_P	0.9999996	1.0
CSM5MCWI_P	1.0000001	0.9999999999999998
CSM5MCXD	0.9995726	1.0000000000000002
CSM5MCYS	0.9999998	1.0000000000000002
CSM67U9J	0.9999999	1.0000000000000002
CSM67UA2	1.0000004	1.0
CSM67UGC	0.9983255	1.0000000000000002
CSM79HG5	1.0000002000000001	1.0
CSM79HGP	0.9999997	1.0
CSM5FZ3T_P	0.9540390000000001	1.0
CSM5FZ3X_P	0.9358746	0.9999999999999997
CSM5FZ3Z_P	0.9561715	0.9999999999999999
CSM5FZ42_P	0.9247679000000001	0.9999999999999999
CSM5FZ44_P	0.9262850999999999	1.0000000000000004
CSM5FZ46_P	0.9441913	1.0
CSM5MCVJ_P	0.9490722	1.0
CSM5MCVL	0.9146405	0.9999999999999998
CSM5MCVN	0.9436487	1.0
CSM67UBF	0.9494614000000001	0.9999999999999999
CSM67UBH	0.9286874000000002	0.9999999999999999
CSM67UBN	0.9610592	1.0
CSM67UBR	0.8967203000000001	0.9999999999999999
CSM79HJW	0.9517688999999999	1.0000000000000002
CSM79HJY	0.9420489000000001	0.9999999999999999
CSM5FZ4E_P	1.0000003	0.9999999999999994
CSM5FZ4G_P	1.0000003000000002	0.9999999999999998
CSM5FZ4K_P	0.9999996999999999	0.9999999999999999
CSM5FZ4M	0.9974365000000001	1.0000000000000002
CSM5MCWM_P	0.9999994999999999	0.9999999999999997
CSM5MCWQ	0.9999998999999999	1.0000000000000002
CSM67UBX	0.9948319999999999	0.9999999999999997
CSM67UBZ	0.9997575	0.9999999999999997
CSM67UC6	0.9999992	0.9999999999999997
CSM79HLM	0.9937403	0.9999999999999999
CSM5FZ4A_P	0.9999998999999999	1.0000000000000002
CSM5MCU8_P	0.9999792999999999	0.9999999999999999
CSM5MCUA_P	1.0000001	0.9999999999999997
CSM5MCUC_P	0.9999993000000001	0.9999999999999996
CSM5MCUE_P	1.0000000999999998	1.0000000000000002
CSM5MCXH	0.9999998000000001	0.9999999999999999
CSM5MCXJ	0.9999995999999999	0.9999999999999998
CSM5MCXL	0.9998502	1.0
CSM5MCXN	0.9968376000000001	1.0
CSM5MCXP	1.0000004	0.9999999999999997
