FeatureID	Taxon	Species	Prevalence	MeanRelativeAbundance	SelectedForMixedModel
S001	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	s__Methanobrevibacter_smithii	0.04727511490479317	0.0005770019409159519	False
S002	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	s__Methanobrevibacter_unclassified	0.04005252790544977	0.00016889018433207032	False
S003	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	s__Granulicella_unclassified	0.006565988181221274	1.771901123524388e-06	False
S004	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_unclassified	s__Terriglobus_unclassified	0.0	0.0	False
S005	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii	s__Actinobaculum_schaalii	0.0006565988181221273	1.252134947866855e-07	False
S006	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_unclassified	s__Actinobaculum_unclassified	0.0006565988181221273	2.2521357478674946e-07	False
S007	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus	s__Actinomyces_europaeus	0.001969796454366382	5.693840290311101e-06	False
S008	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	s__Actinomyces_graevenitzii	0.0006565988181221273	1.9291778922258298e-07	False
S009	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	s__Actinomyces_odontolyticus	0.0006565988181221273	3.203357865954689e-06	False
S010	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	s__Actinomyces_turicensis	0.003282994090610637	6.768795650312377e-06	False
S011	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	s__Actinomyces_urogenitalis	0.0006565988181221273	1.9570460881368857e-05	False
S012	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	s__Varibaculum_cambriense	0.003282994090610637	4.1553732755678905e-06	False
S013	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_mcbrellneri	s__Brevibacterium_mcbrellneri	0.0	2.9546958634279187e-09	False
S014	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	s__Brevibacterium_unclassified	0.0006565988181221273	9.732957147648134e-08	False
S015	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	s__Corynebacterium_accolens	0.0	9.19791238069063e-08	False
S016	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	s__Corynebacterium_amycolatum	0.0	5.060436138170668e-08	False
S017	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii	s__Corynebacterium_kroppenstedtii	0.0006565988181221273	1.1516751331588047e-07	False
S018	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	s__Corynebacterium_matruchotii	0.0026263952724885093	1.9013452992439616e-06	False
S019	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	s__Corynebacterium_tuberculostearicum	0.0	2.4933426845782792e-08	False
