Diagnosis	LagBin	Subjects	SubjectMedianBrayCurtis	CILower	CIUpper
Control	0–2	27	0.3188139195859726	0.26046723236707703	0.3393493300036673
Control	>2–4	27	0.3149985855849312	0.28406736489329887	0.36174074782349813
Control	>4–8	27	0.3665591955446899	0.31337364832526093	0.40394928068379865
Control	>8–16	26	0.36045157195558153	0.30473469371995954	0.4122435062740843
Control	>16–32	26	0.39373568869088243	0.34281656470740773	0.4591177774946504
Control	>32–60	26	0.42165581266397845	0.3677469650359324	0.4624289733928379
CD	0–2	50	0.31477204928908153	0.2874913006460131	0.35304158306470096
CD	>2–4	50	0.3469694419098481	0.317163320524559	0.37708140712132243
CD	>4–8	50	0.3436944464528419	0.31268461905843675	0.3746780186261608
CD	>8–16	50	0.39018743642759846	0.3230361800301626	0.4069290400799056
CD	>16–32	50	0.39440334710474284	0.3561706868095254	0.4815432409793752
CD	>32–60	48	0.42645389605755557	0.38041523507406333	0.5204972351579973
UC	0–2	29	0.29425445382377263	0.26585264107718853	0.3505023254488051
UC	>2–4	30	0.3356706702837631	0.2954169599847337	0.3794992217120651
UC	>4–8	29	0.35188762718436545	0.3178167315136762	0.40646700388171386
UC	>8–16	30	0.3800502998618126	0.3159696434282617	0.4874884078952186
UC	>16–32	30	0.37950647306762064	0.3218448325086206	0.4386601431499177
UC	>32–60	30	0.41590005911775685	0.3663966046960485	0.44865116228065915
