FeatureID	Species	Success	Singular	MaxAbsGradient	Message
S031	s__Bifidobacterium_adolescentis	TRUE	FALSE	1.46883394336328e-06	
S039	s__Bifidobacterium_longum	TRUE	FALSE	5.47515810467303e-06	
S049	s__Collinsella_aerofaciens	TRUE	FALSE	7.36690708436072e-07	
S064	s__Bacteroides_caccae	TRUE	FALSE	4.4110493035987e-07	
S065	s__Bacteroides_cellulosilyticus	TRUE	FALSE	3.45607986673713e-07	
S069	s__Bacteroides_dorei	TRUE	FALSE	3.09228198602796e-07	
S071	s__Bacteroides_faecis	TRUE	FALSE	9.73159330897033e-06	
S072	s__Bacteroides_finegoldii	TRUE	FALSE	2.69210431724787e-06	
S074	s__Bacteroides_fragilis	TRUE	FALSE	2.72393663180992e-06	
S077	s__Bacteroides_massiliensis	TRUE	FALSE	4.59294824395329e-07	
S080	s__Bacteroides_ovatus	TRUE	FALSE	2.63753463514149e-07	
S090	s__Bacteroides_stercoris	TRUE	FALSE	1.09821485239081e-05	
S091	s__Bacteroides_thetaiotaomicron	TRUE	FALSE	3.91082721762359e-07	
S092	s__Bacteroides_uniformis	TRUE	FALSE	7.18500814400613e-07	
S093	s__Bacteroides_vulgatus	TRUE	FALSE	3.95630195271224e-06	
S094	s__Bacteroides_xylanisolvens	TRUE	FALSE	6.18456397205591e-07	
S095	s__Bacteroidales_bacterium_ph8	TRUE	FALSE	1.60525814862922e-06	
S096	s__Barnesiella_intestinihominis	TRUE	FALSE	3.1377567211166e-07	
S103	s__Odoribacter_splanchnicus	TRUE	FALSE	6.73026079311967e-07	
S105	s__Parabacteroides_distasonis	TRUE	FALSE	2.50111042987555e-07	
S108	s__Parabacteroides_merdae	TRUE	FALSE	4.85670170746744e-06	
S111	s__Parabacteroides_unclassified	TRUE	FALSE	2.68300937023014e-06	
S129	s__Prevotella_copri	TRUE	FALSE	3.69254848919809e-06	
S144	s__Alistipes_finegoldii	TRUE	FALSE	1.16415321826935e-06	
S146	s__Alistipes_onderdonkii	TRUE	FALSE	1.50066625792533e-07	
S147	s__Alistipes_putredinis	TRUE	FALSE	3.37422534357756e-06	
S149	s__Alistipes_shahii	TRUE	FALSE	2.41016095969826e-07	
S248	s__Clostridium_bolteae	TRUE	FALSE	1.00953911896795e-06	
S252	s__Clostridium_clostridioforme	TRUE	FALSE	3.51974449586123e-06	
S253	s__Clostridium_hathewayi	TRUE	FALSE	8.23547452455387e-06	
S255	s__Clostridium_leptum	TRUE	FALSE	1.06865627458319e-05	
S267	s__Clostridium_symbiosum	TRUE	FALSE	1.36424205265939e-06	
S281	s__Flavonifractor_plautii	TRUE	FALSE	2.43289832724258e-06	
S285	s__Eubacterium_eligens	TRUE	FALSE	9.5042196335271e-07	
S286	s__Eubacterium_hallii	TRUE	FALSE	1.55978341354057e-06	
S289	s__Eubacterium_rectale	TRUE	FALSE	8.00355337560177e-07	
S290	s__Eubacterium_siraeum	TRUE	FALSE	7.23048287909478e-07	
S292	s__Eubacterium_ventriosum	TRUE	FALSE	8.69022187544033e-06	
S299	s__Ruminococcus_gnavus	TRUE	FALSE	1.95996108232066e-06	
S300	s__Ruminococcus_obeum	TRUE	FALSE	2.19642970478162e-06	
S301	s__Ruminococcus_torques	TRUE	FALSE	1.74122760654427e-05	
S306	s__Coprococcus_comes	TRUE	FALSE	8.94033291842788e-06	
S310	s__Dorea_longicatena	TRUE	FALSE	5.98447513766587e-06	
S312	s__Lachnospiraceae_bacterium_1_1_57FAA	TRUE	FALSE	4.88398654852062e-06	
S316	s__Lachnospiraceae_bacterium_3_1_46FAA	TRUE	FALSE	8.50377546157688e-07	
S327	s__Roseburia_hominis	TRUE	FALSE	8.5401552496478e-06	
S328	s__Roseburia_intestinalis	TRUE	FALSE	8.99490260053426e-06	
S329	s__Roseburia_inulinivorans	TRUE	FALSE	1.48247636388987e-06	
S330	s__Roseburia_unclassified	TRUE	FALSE	6.23003870714456e-06	
S335	s__Oscillibacter_unclassified	TRUE	FALSE	8.79026629263535e-06	
S345	s__Faecalibacterium_prausnitzii	TRUE	FALSE	3.20142135024071e-06	
S348	s__Ruminococcus_bromii	TRUE	FALSE	4.36557456851006e-07	
S352	s__Ruminococcus_lactaris	TRUE	FALSE	5.82076609134674e-07	
S355	s__Subdoligranulum_unclassified	TRUE	FALSE	3.27872839989141e-06	
S384	s__Dialister_invisus	TRUE	FALSE	2.56477505899966e-06	
S399	s__Veillonella_parvula	TRUE	FALSE	1.07820596895181e-05	
S401	s__Veillonella_unclassified	TRUE	FALSE	1.62799551617354e-06	
S412	s__Burkholderiales_bacterium_1_1_47	TRUE	FALSE	1.81898940354586e-08	
S416	s__Sutterella_wadsworthensis	TRUE	FALSE	1.90993887372315e-06	
S425	s__Bilophila_unclassified	TRUE	FALSE	3.53793438989669e-06	
S450	s__Escherichia_coli	TRUE	FALSE	6.3664629124105e-07	
S484	s__Haemophilus_parainfluenzae	TRUE	FALSE	2.04181560548022e-06	
S505	s__Akkermansia_muciniphila	TRUE	FALSE	9.5042196335271e-07	
